object_id,object_class,component,ra_deg,dec_deg,ra_sex_fk5_j2000,dec_sex_fk5_j2000,pos_err_arcsec,kpc_per_arcsec,provenance_source,provenance_detail,axis_pa_deg__AX_A,sep_from_origin_arcsec__AX_A,sep_from_origin_kpc__AX_A,pa_from_origin_deg__AX_A,dpar_arcsec__AX_A,dpar_kpc__AX_A,dperp_arcsec__AX_A,dperp_kpc__AX_A,axis_pa_deg__AX_B,sep_from_origin_arcsec__AX_B,sep_from_origin_kpc__AX_B,pa_from_origin_deg__AX_B,dpar_arcsec__AX_B,dpar_kpc__AX_B,dperp_arcsec__AX_B,dperp_kpc__AX_B,axis_pa_deg__AX_C,sep_from_origin_arcsec__AX_C,sep_from_origin_kpc__AX_C,pa_from_origin_deg__AX_C,dpar_arcsec__AX_C,dpar_kpc__AX_C,dperp_arcsec__AX_C,dperp_kpc__AX_C,axis_pa_deg__AX_D,sep_from_origin_arcsec__AX_D,sep_from_origin_kpc__AX_D,pa_from_origin_deg__AX_D,dpar_arcsec__AX_D,dpar_kpc__AX_D,dperp_arcsec__AX_D,dperp_kpc__AX_D,axis_pa_deg__AX_E,sep_from_origin_arcsec__AX_E,sep_from_origin_kpc__AX_E,pa_from_origin_deg__AX_E,dpar_arcsec__AX_E,dpar_kpc__AX_E,dperp_arcsec__AX_E,dperp_kpc__AX_E,axis_pa_deg__AX_F,sep_from_origin_arcsec__AX_F,sep_from_origin_kpc__AX_F,pa_from_origin_deg__AX_F,dpar_arcsec__AX_F,dpar_kpc__AX_F,dperp_arcsec__AX_F,dperp_kpc__AX_F,axis_pa_deg__AX_G,sep_from_origin_arcsec__AX_G,sep_from_origin_kpc__AX_G,pa_from_origin_deg__AX_G,dpar_arcsec__AX_G,dpar_kpc__AX_G,dperp_arcsec__AX_G,dperp_kpc__AX_G,axis_pa_deg__AX_H,sep_from_origin_arcsec__AX_H,sep_from_origin_kpc__AX_H,pa_from_origin_deg__AX_H,dpar_arcsec__AX_H,dpar_kpc__AX_H,dperp_arcsec__AX_H,dperp_kpc__AX_H
WL_Medezinski16_NW,mass_weak_lensing,NW,3.5598151483426324,-30.357944399999997,00:14:14.356,-30:21:28.600,36.4,4.5277,Medezinski+2016 (arXiv:1507.03992) Table 4,"Subaru/Suprime-Cam WL NFW+tNFW 2-D shear fit; offsets X_c(W+),Y_c(N+) arcmin from Ebeling+2010 centre 00:14:18.9 -30:23:22",130.7648,68.813,311.56,12.997,-32.06,-145.16,-60.888,-275.68,126.0572,75.458,341.65,47.172,14.547,65.86,-74.042,-335.24,131.3794,68.813,311.56,12.997,-32.711,-148.1,-60.541,-274.11,127.1382,75.458,341.65,47.172,13.147,59.53,-74.303,-336.42,121.9714,68.813,311.56,12.997,-22.375,-101.31,-65.073,-294.63,153.3513,0.0,0.0,,0.0,0.0,0.0,0.0,136.3358,69.09,312.82,351.132,-56.736,-256.88,-39.426,-178.51,122.0115,83.858,379.68,67.593,48.794,220.92,-68.201,-308.79
WL_Medezinski16_Core,mass_weak_lensing,S,3.5851260214764604,-30.4014444,00:14:20.430,-30:24:05.200,14.4,4.5277,Medezinski+2016 (arXiv:1507.03992) Table 4,"Subaru/Suprime-Cam WL NFW+tNFW 2-D shear fit; offsets X_c(W+),Y_c(N+) arcmin from Ebeling+2010 centre 00:14:18.9 -30:23:22",130.7648,129.879,588.05,133.597,129.72,587.33,6.418,29.06,126.0572,170.365,771.36,128.187,170.248,770.83,6.332,28.67,131.3794,129.879,588.05,133.597,129.782,587.61,5.026,22.76,127.1382,170.365,771.36,128.187,170.337,771.23,3.119,14.12,121.9714,129.879,588.05,133.597,127.214,575.99,26.173,118.5,153.3513,175.222,793.35,153.351,175.222,793.35,0.0,0.0,136.3358,111.448,504.6,142.436,110.817,501.75,11.844,53.63,122.0115,199.755,904.43,128.614,198.43,898.43,22.968,103.99
WL_Medezinski16_W,mass_weak_lensing,W,3.552473063006102,-30.39927773333333,00:14:12.594,-30:23:57.400,36.1,4.5277,Medezinski+2016 (arXiv:1507.03992) Table 4,"Subaru/Suprime-Cam WL NFW+tNFW 2-D shear fit; offsets X_c(W+),Y_c(N+) arcmin from Ebeling+2010 centre 00:14:18.9 -30:23:22",130.7648,82.078,371.62,185.123,47.828,216.55,66.702,302.01,126.0572,102.782,465.36,161.555,83.678,378.87,59.682,270.22,131.3794,82.078,371.62,185.123,48.541,219.78,66.186,299.67,127.1382,102.782,465.36,161.555,84.789,383.9,58.093,263.03,121.9714,82.078,371.62,185.123,37.069,167.84,73.23,331.56,153.3513,150.537,681.59,188.711,122.769,555.86,87.116,394.43,136.3358,87.206,394.84,202.551,35.17,159.24,79.799,361.31,122.0115,129.0,584.07,154.913,108.31,490.39,70.072,317.26
WL_Medezinski16_NE,mass_weak_lensing,NE,3.6100504690662607,-30.37527773333333,00:14:26.412,-30:22:31.000,37.5,4.5277,Medezinski+2016 (arXiv:1507.03992) Table 4,"Subaru/Suprime-Cam WL NFW+tNFW 2-D shear fit; offsets X_c(W+),Y_c(N+) arcmin from Ebeling+2010 centre 00:14:18.9 -30:23:22",130.7648,171.557,776.76,88.461,126.881,574.48,-115.469,-522.81,126.0572,211.648,958.28,93.023,177.435,803.37,-115.376,-522.39,131.3794,171.557,776.76,88.461,125.635,568.84,-116.823,-528.94,127.1382,211.648,958.28,93.023,175.227,793.38,-118.703,-537.45,121.9714,171.557,776.76,88.461,143.041,647.65,-94.715,-428.84,153.3513,168.051,760.88,111.809,125.781,569.5,-111.446,-504.59,136.3358,145.49,658.74,87.702,96.15,435.34,-109.191,-494.38,122.0115,235.519,1066.36,97.442,214.194,969.81,-97.929,-443.39
WL_Merten11_NW,mass_weak_lensing,NW,3.5632439615881553,-30.376906666666667,00:14:15.179,-30:22:36.864,18.6,4.5277,"Merten+2011 (arXiv:1103.2772) Table ""Structures identified within our lensing reconstruction""","SaWLens joint SL+WL peak; x,y arcsec from BCG 3.58611,-30.40024; x>0=W,y>0=N verified against merten_v1 kappa map",130.7648,26.15,118.4,92.663,20.578,93.17,-16.136,-73.06,126.0572,68.127,308.46,104.424,63.328,286.73,-25.116,-113.72,131.3794,26.15,118.4,92.663,20.403,92.38,-16.356,-74.05,127.1382,68.127,308.46,104.424,62.843,284.53,-26.306,-119.1,121.9714,26.15,118.4,92.663,22.803,103.24,-12.801,-57.96,153.3513,69.09,312.82,171.133,65.789,297.87,21.1,95.53,136.3358,0.0,0.0,,0.0,0.0,0.0,0.0,122.0115,95.342,431.68,112.38,93.998,425.6,-15.952,-72.22
WL_Merten11_Core,mass_weak_lensing,S,3.590296739427521,-30.40135111111111,00:14:21.671,-30:24:04.864,17.0,4.5277,"Merten+2011 (arXiv:1103.2772) Table ""Structures identified within our lensing reconstruction""","SaWLens joint SL+WL peak; x,y arcsec from BCG 3.58611,-30.40024; x>0=W,y>0=N verified against merten_v1 kappa map",130.7648,141.73,641.71,129.02,141.664,641.41,-4.316,-19.54,126.0572,183.065,828.86,124.998,183.033,828.72,-3.385,-15.32,131.3794,141.73,641.71,129.02,141.61,641.17,-5.835,-26.42,127.1382,183.065,828.86,124.998,182.937,828.28,-6.837,-30.95,121.9714,141.73,641.71,129.02,140.659,636.86,17.391,78.74,153.3513,182.703,827.22,148.8,182.126,824.61,-14.499,-65.65,136.3358,121.662,550.85,136.336,121.662,550.85,0.0,0.0,122.0115,212.344,961.43,125.84,211.87,959.28,14.178,64.2
WL_Merten11_W,mass_weak_lensing,W,3.5291059324099083,-30.408573333333333,00:14:06.985,-30:24:30.864,27.5,4.5277,"Merten+2011 (arXiv:1103.2772) Table ""Structures identified within our lensing reconstruction""","SaWLens joint SL+WL peak; x,y arcsec from BCG 3.58611,-30.40024; x>0=W,y>0=N verified against merten_v1 kappa map",130.7648,140.203,634.8,214.731,14.736,66.72,139.426,631.28,126.0572,136.948,620.06,196.997,44.722,202.49,129.44,586.07,131.3794,140.203,634.8,214.731,16.231,73.49,139.26,630.53,127.1382,136.948,620.06,196.997,47.156,213.51,128.574,582.14,121.9714,140.203,634.8,214.731,-6.751,-30.57,140.04,634.06,153.3513,205.708,931.38,207.613,120.15,544.0,166.972,756.0,136.3358,155.672,704.84,222.911,9.3,42.11,155.394,703.58,122.0115,151.348,685.26,186.777,64.524,292.15,136.905,619.86
WL_Merten11_N,mass_weak_lensing,N,3.575160066112638,-30.35301777777778,00:14:18.038,-30:21:10.864,42.5,4.5277,"Merten+2011 (arXiv:1103.2772) Table ""Structures identified within our lensing reconstruction""","SaWLens joint SL+WL peak; x,y arcsec from BCG 3.58611,-30.40024; x>0=W,y>0=N verified against merten_v1 kappa map",130.7648,105.712,478.63,36.679,-7.531,-34.1,-105.444,-477.42,126.0572,123.998,561.43,56.177,42.654,193.12,-116.431,-527.17,131.3794,105.712,478.63,36.679,-8.662,-39.22,-105.357,-477.02,127.1382,123.998,561.43,56.177,40.45,183.14,-117.215,-530.72,121.9714,105.712,478.63,36.679,8.677,39.28,-105.356,-477.02,153.3513,50.861,230.28,69.595,5.532,25.05,-50.559,-228.92,136.3358,93.627,423.91,23.289,-36.653,-165.95,-86.154,-390.08,122.0115,134.699,609.88,68.354,79.824,361.42,-108.499,-491.25
KAPPAMAX_CATS_v4.1_NWBCG1,mass_kappa_map_maximum,NW,3.552869,-30.3767,00:14:12.689,-30:22:36.120,0.3,4.5277,THIS WORK: local maximum of the published kappa map,"Gaussian-smoothed FWHM=20""; search box +/-30"" centred on NWBCG1; HFF CATS v4.1 (Lenstool, parametric), 0.3002""/pix; box_cov=1.00 edge=False",130.7648,6.119,27.7,265.594,-4.314,-19.53,4.34,19.65,126.0572,37.452,169.57,115.666,36.838,166.79,-6.755,-30.58,131.3794,6.119,27.7,265.594,-4.267,-19.32,4.386,19.86,127.1382,37.452,169.57,115.666,36.704,166.18,-7.449,-33.73,121.9714,6.119,27.7,265.594,-4.926,-22.31,3.629,16.43,153.3513,70.883,320.94,197.719,50.672,229.43,49.566,224.42,136.3358,32.231,145.93,271.32,-22.785,-103.16,22.797,103.22,122.0115,66.279,300.09,122.437,66.278,300.09,0.493,2.23
KAPPAMAX_WSLAPplus_diego_v4.1_NWBCG1,mass_kappa_map_maximum,NW,3.554613,-30.377052,00:14:13.107,-30:22:37.387,0.516,4.5277,THIS WORK: local maximum of the published kappa map,"Gaussian-smoothed FWHM=20""; search box +/-30"" centred on NWBCG1; HFF Diego/WSLAP+ v4.1 (FREE-FORM), 0.5156""/pix; search box only 98% inside map; box_cov=0.98 edge=False",130.7648,1.867,8.45,201.5,0.616,2.79,1.763,7.98,126.0572,42.9,194.24,114.059,41.963,190.0,-8.918,-40.38,131.3794,1.867,8.45,201.5,0.635,2.87,1.756,7.95,127.1382,42.9,194.24,114.059,41.787,189.2,-9.708,-43.96,121.9714,1.867,8.45,201.5,0.339,1.54,1.836,8.31,153.3513,70.66,319.93,193.218,54.234,245.56,45.293,205.07,136.3358,26.811,121.39,268.88,-18.128,-82.08,19.753,89.44,122.0115,71.554,323.98,120.968,71.543,323.92,-1.303,-5.9
KAPPAMAX_SaWLens_merten_v1_NWBCG1,mass_kappa_map_maximum,NW,3.555254,-30.375931,00:14:13.261,-30:22:33.352,8.333,4.5277,THIS WORK: local maximum of the published kappa map,"Gaussian-smoothed FWHM=20""; search box +/-30"" centred on NWBCG1; HFF Merten/SaWLens v1 (FREE-FORM adaptive mesh), 8.3333""/pix - one pixel is 37.7 kpc; box_cov=1.00 edge=False",130.7648,2.644,11.97,29.616,-0.511,-2.31,-2.594,-11.74,126.0572,43.307,196.08,108.099,41.198,186.53,-13.352,-60.46,131.3794,2.644,11.97,29.616,-0.539,-2.44,-2.588,-11.72,127.1382,43.307,196.08,108.099,40.938,185.36,-14.127,-63.96,121.9714,2.644,11.97,29.616,-0.109,-0.49,-2.642,-11.96,153.3513,66.284,300.11,192.34,51.52,233.27,41.704,188.82,136.3358,25.063,113.48,278.054,-19.673,-89.08,15.527,70.3,122.0115,71.327,322.95,117.363,71.092,321.88,-5.78,-26.17
KAPPAMAX_UNCOVER_v2.0_zitrin_NWBCG1,mass_kappa_map_maximum,NW,3.553356,-30.375787,00:14:12.805,-30:22:32.833,0.1,4.5277,THIS WORK: local maximum of the published kappa map,"Gaussian-smoothed FWHM=20""; search box +/-30"" centred on NWBCG1; UNCOVER v2.0 Furtak&Zitrin best model, 0.1""/pix; box_cov=1.00 edge=False",130.7648,5.384,24.38,301.546,-5.314,-24.06,0.863,3.91,126.0572,37.567,170.09,110.14,36.126,163.57,-10.302,-46.65,131.3794,5.384,24.38,301.546,-5.305,-24.02,0.92,4.16,127.1382,37.567,170.09,110.14,35.926,162.66,-10.982,-49.72,121.9714,5.384,24.38,301.546,-5.384,-24.38,0.04,0.18,153.3513,67.294,304.69,197.344,48.413,219.2,46.74,211.62,136.3358,30.973,140.24,277.475,-24.118,-109.2,19.434,87.99,122.0115,65.891,298.34,119.318,65.818,298.01,-3.096,-14.02
KAPPAMAX_UNCOVER_v2.0_zitrin_NWBCG2,mass_kappa_map_maximum,NW,3.542345,-30.372313,00:14:10.163,-30:22:20.327,0.1,4.5277,THIS WORK: local maximum of the published kappa map,"Gaussian-smoothed FWHM=20""; search box +/-30"" centred on NWBCG2; UNCOVER v2.0 Furtak&Zitrin best model, 0.1""/pix; box_cov=1.00 edge=False",130.7648,41.704,188.82,291.554,-39.382,-178.31,13.723,62.13,126.0572,1.153,5.22,111.718,1.117,5.06,-0.286,-1.29,131.3794,41.704,188.82,291.554,-39.232,-177.63,14.144,64.04,127.1382,1.153,5.22,111.718,1.112,5.03,-0.307,-1.39,121.9714,41.704,188.82,291.554,-41.017,-185.71,7.541,34.14,153.3513,74.969,339.44,226.367,21.899,99.15,71.699,324.63,136.3358,66.983,303.28,284.288,-56.775,-257.06,35.543,160.93,122.0115,30.512,138.15,130.347,30.189,136.69,4.423,20.03
XRAY_Ebeling10_centre,gas_xray,S,3.57875,-30.389444444444443,00:14:18.900,-30:23:22.000,3.0,4.5277,Ebeling+2010 as quoted by Medezinski+2016 Sec.1,"adopted cluster centre; ""closely corresponds to the cluster X-ray brightness peak""",130.7648,87.551,396.4,121.971,86.522,391.74,-13.384,-60.6,126.0572,129.934,588.3,118.56,128.823,583.27,-16.954,-76.76,131.3794,87.551,396.4,121.971,86.373,391.07,-14.311,-64.8,127.1382,129.934,588.3,118.56,128.48,581.72,-19.381,-87.75,121.9714,87.551,396.4,121.971,87.551,396.4,0.0,0.0,153.3513,127.743,578.38,152.593,127.731,578.33,-1.69,-7.65,136.3358,66.001,298.83,133.15,65.899,298.37,-3.668,-16.61,122.0115,158.785,718.93,120.862,158.753,718.79,-3.185,-14.42
XRAY_Kempner04_S_ridge,gas_xray,S,3.58125,-30.4025,00:14:19.500,-30:24:09.000,5.0,4.5277,Kempner&David 2004 (astro-ph/0310185) Sec.3,"secondary surface-brightness peak of the south ridge, quoted to 0.1s / 1 arcsec",130.7648,124.273,562.67,138.698,123.084,557.29,17.153,77.66,126.0572,163.584,740.66,131.841,162.751,736.89,16.485,74.64,131.3794,124.273,562.67,138.698,123.26,558.09,15.832,71.68,127.1382,163.584,740.66,131.841,163.033,738.17,13.412,60.72,121.9714,124.273,562.67,138.698,119.015,538.86,35.767,161.94,153.3513,173.666,786.31,157.466,173.218,784.28,12.461,56.42,136.3358,107.776,487.98,148.752,105.255,476.56,23.173,104.92,122.0115,193.003,873.86,131.726,190.236,861.33,32.566,147.45
XRAY_Kempner04_N_ridge,gas_xray,N,3.5854166666666663,-30.379166666666666,00:14:20.500,-30:22:45.000,5.0,4.5277,Kempner&David 2004 (astro-ph/0310185) Sec.3,secondary surface-brightness peak of the north ridge,130.7648,95.443,432.14,95.63,78.053,353.4,-54.928,-248.7,126.0572,137.161,621.02,100.555,123.797,560.52,-59.053,-267.38,131.3794,95.443,432.14,95.63,77.46,350.71,-55.762,-252.48,127.1382,137.161,621.02,100.555,122.661,555.37,-61.378,-277.9,121.9714,95.443,432.14,95.63,85.533,387.27,-42.351,-191.75,153.3513,110.274,499.29,133.86,103.955,470.68,-36.794,-166.59,136.3358,69.342,313.96,96.744,53.435,241.94,-44.193,-200.09,122.0115,163.194,738.89,105.81,156.713,709.55,-45.534,-206.17
XRAY_thiswork_main_peak,gas_xray,S,3.578428,-30.390314,00:14:18.823,-30:23:25.130,5.0,4.5277,"THIS WORK: Chandra CDC 257 (DOI 10.25574/cdc.257), 102 files, 2.162 Ms, 0.5-2 keV","0.5-2 keV merged counts image, 2""/pix TAN, NO exposure correction. Position = mean of 15 variants (FWHM 15/20/30/40/60"" x {all,splitA,splitB}); rms scatter 1.1"", max 4.0"". Reproduces Ebeling+2010 adopted centre 00:14:18.9 -30:23:22 to 3"".",130.7648,88.417,400.32,124.036,87.808,397.57,-10.36,-46.91,126.0572,130.591,591.28,119.976,129.856,587.95,-13.834,-62.64,131.3794,88.417,400.32,124.036,87.692,397.04,-11.301,-51.17,127.1382,130.591,591.28,119.976,129.572,586.66,-16.281,-73.72,121.9714,88.417,400.32,124.036,88.359,400.07,3.185,14.42,153.3513,130.082,588.97,153.619,130.08,588.96,0.609,2.76,136.3358,67.478,305.52,135.671,67.473,305.5,-0.783,-3.54,122.0115,159.563,722.45,122.011,159.563,722.45,0.0,0.0
