CATID,RA_OBJ,DEC_OBJ,z_spec,PA_GASKIN,PA_GASKIN_ERR,LAMBDAR_RE,n_src_1p,n_src_2p,n_src_3p,n_src_5p,n_src_10p,n_src_15p,n_clean_1p,n_clean_2p,n_clean_3p,n_clean_5p,n_clean_10p,n_clean_15p
516973,130.12337717,2.37446987,0.05007,36.0,0.16666667,0.34107092,1,58,151,450,1599,3079,1,58,141,384,1315,2356
599095,130.13598673,0.26200573,0.03471,57.5,0.16666667,0.362148,11,38,87,295,1277,2863,0,0,4,124,698,1932
422291,130.1433787,2.61132645,0.04964,96.5,0.25,0.0626609,0,54,165,469,1491,2936,0,28,100,309,933,1911
422286,130.14867535,2.47704361,0.04969,349.0,0.16666667,nan,18,74,148,469,1596,3174,18,71,144,366,1000,2269
422292,130.15751857,2.61965909,0.04973,6.0,0.16666667,0.22162557,13,60,163,476,1457,2843,4,30,100,312,854,1831
549070,130.15791303,-0.61422241,0.05217,271.5,0.16666667,nan,20,61,141,416,1345,2867,19,58,135,392,1232,2647
202531,130.16601169,-0.41330685,0.05799,54.0,0.16666667,0.4348771,0,0,2,95,1058,3054,0,0,2,71,960,2550
208781,130.16662503,0.15007598,0.02459,146.0,0.9166667,nan,23,70,148,358,1154,2831,23,62,119,265,746,2013
300613,130.18723999,1.09923154,0.02925,232.5,0.25,nan,0,0,0,0,146,592,0,0,0,0,51,398
599134,130.26050226,0.39589784,0.03737,106.0,0.5833333,nan,13,45,127,358,1408,3188,13,44,119,315,995,2233
3896912,130.26668651,-0.90120625,0.02984,351.0,0.33333334,nan,3,26,84,289,1404,3482,3,25,82,278,1222,2752
422289,130.27727795,2.57668398,0.03176,110.5,0.16666667,0.07205709,26,91,164,355,1243,2520,13,38,46,73,484,1381
371145,130.28147505,0.99556917,0.08471,301.5,0.16666667,0.23815157,0,0,11,63,536,1328,0,0,3,9,357,1075
422320,130.31083216,2.58433988,0.03142,3.0,0.16666667,0.69037205,10,59,129,284,1084,2381,0,1,23,70,289,1305
214462,130.35113394,0.53025161,0.05103,122.5,0.16666667,nan,12,51,158,519,1666,3391,12,51,156,449,1235,2762
3897281,130.38835354,-0.82828163,0.05688,287.5,0.6666667,nan,22,82,183,496,1475,3421,21,70,155,413,1203,2799
417392,130.39306525,2.18884647,0.02873,165.5,0.16666667,0.32891476,12,43,100,258,1308,2743,12,43,99,254,1136,2325
345646,130.40959635,1.96808945,0.0137,31.0,1.75,nan,1,15,53,168,827,1788,1,15,52,148,677,1416
300691,130.41233479,1.1166267,0.04558,262.5,0.16666667,0.09960199,0,0,0,0,402,1578,0,0,0,0,192,963
278350,130.4485082,0.81933648,0.07781,41.5,0.16666667,0.11792305,7,51,128,364,1412,3017,7,51,127,360,1372,2610
573872,130.48617572,-0.06020826,0.01022,172.5,0.41666666,nan,13,57,136,429,1750,4121,0,0,8,173,1303,3255
371171,130.49093127,0.92989378,0.0399,13.0,0.33333334,0.14989349,15,83,171,437,1440,2871,14,82,166,419,1230,2465
371172,130.49630279,1.01727921,0.07714,154.5,0.16666667,0.10424652,0,24,81,284,1262,2756,0,7,32,145,980,2163
371170,130.4986216,0.92779175,0.03977,53.5,0.25,0.27675092,8,80,174,444,1470,2928,7,79,169,426,1253,2513
422355,130.50503649,2.52837186,0.02848,12.5,0.5833333,nan,0,13,39,148,795,1881,0,0,1,46,502,998
517046,130.50556873,2.39787155,0.02583,256.0,0.41666666,nan,2,14,26,122,622,2051,0,1,2,34,314,1241
323133,130.5238463,1.55214343,0.02526,106.5,0.41666666,nan,12,37,84,282,1195,2411,12,36,78,245,991,2029
521719,130.53875743,2.89517246,0.02475,309.5,0.16666667,nan,16,54,125,364,980,1868,16,54,125,362,969,1736
422359,130.55487715,2.62461209,0.05,94.5,0.16666667,0.46271282,21,56,136,329,1025,2111,21,54,132,312,828,1600
375751,130.56517567,1.26826881,0.07836,195.5,0.16666667,0.545416,16,71,165,434,1394,2709,0,8,44,176,718,1531
422366,130.59559741,2.4973292,0.02867,348.0,0.16666667,0.5322402,2,23,67,190,854,1815,2,23,66,173,494,1114
208876,130.60860556,0.13638264,0.05063,68.0,9.833333,0.21888192,14,70,141,386,1724,4141,14,62,102,286,1322,3177
573915,130.61363005,-0.14516727,0.05191,174.5,0.16666667,0.44524324,19,90,185,608,2449,4912,0,10,71,299,1892,4055
202636,130.61721084,-0.28353658,0.05134,58.0,0.5,0.41599938,17,115,310,761,2510,5290,16,108,294,726,2125,4167
517070,130.64239983,2.42777394,0.05096,99.5,0.16666667,0.5955797,6,47,122,308,783,1873,3,21,46,114,337,1166
202673,130.65275259,-0.23097146,0.04991,35.0,0.16666667,0.7298176,15,102,244,813,2502,5240,15,102,232,672,2027,4293
549180,130.6671153,-0.56315641,0.0305,21.5,0.16666667,0.684539,8,75,127,411,2088,4573,8,57,93,299,1600,3470
345682,130.67706597,1.95196116,0.02546,115.5,0.25,0.2293968,32,102,168,333,1487,3325,13,47,93,239,1289,2835
521736,130.67894037,2.87319427,0.05005,199.5,0.33333334,0.13012034,12,71,129,403,1277,2414,12,71,129,399,1037,1996
549182,130.68272439,-0.48247536,0.05266,255.0,0.5,nan,35,124,237,573,2139,5241,35,115,197,423,1476,4244
422389,130.68721995,2.58308823,0.05084,42.0,0.6666667,0.19520652,4,40,94,229,953,2481,4,40,93,224,865,1864
622084,130.74313207,0.64404862,0.03456,53.5,2.6666667,nan,13,59,154,432,1775,3999,13,58,149,409,1441,3343
422406,130.75188586,2.64168892,0.05052,175.5,7.8333335,nan,16,48,102,273,1219,2801,16,47,99,267,1083,2321
208892,130.7545533,0.16932554,0.02927,357.0,0.16666667,nan,8,64,185,597,1965,4357,8,62,180,535,1604,3545
549216,130.7609144,-0.46948561,0.05204,273.0,0.25,0.28804117,24,88,217,588,2442,5276,0,0,17,291,1903,4315
323194,130.8163021,1.48409537,0.01308,259.5,0.16666667,nan,12,51,127,381,1595,3555,12,33,83,247,1186,2737
521753,130.858308,2.90583006,0.0261,225.0,0.16666667,0.6305969,24,76,142,384,1144,2249,23,73,115,204,553,1447
422411,130.86483826,2.53693921,0.02855,186.5,1.0,nan,4,52,116,314,1165,2840,4,52,115,295,1001,2109
417424,130.88820363,2.21104155,0.02992,209.0,0.16666667,nan,14,65,127,289,1244,2682,13,61,112,251,1034,2172
422446,130.89751011,2.66970523,0.0503,176.0,0.5,0.62227637,19,82,175,515,1582,3153,19,80,173,509,1427,2519
517130,130.90756441,2.51521928,0.02617,86.0,0.6666667,nan,16,72,144,357,1226,2908,16,67,133,321,966,2155
422464,130.92814509,2.58916639,0.02571,209.0,0.16666667,nan,28,108,216,584,1647,2836,28,108,216,577,1448,2318
202745,130.93342305,-0.2122157,0.04991,160.5,0.25,0.5468067,41,116,220,558,2011,5151,38,110,210,531,1907,4620
300787,130.9349533,1.0791881,0.04384,307.5,0.16666667,0.108559005,22,79,163,503,1950,4231,20,53,108,320,1448,3415
278390,130.94886005,0.83844404,0.02876,4.5,0.16666667,0.7536498,2,31,97,351,1400,3651,0,0,10,151,907,2527
422436,130.96284193,2.7138535,0.0259,138.0,0.16666667,0.53843397,25,62,124,360,1620,3542,25,61,123,356,1496,2662
599310,130.9724596,0.35243157,0.05011,315.5,0.16666667,0.5055027,30,126,228,534,1810,4102,29,116,198,404,1360,3112
323224,130.9870486,1.58429284,0.0135,273.0,0.25,nan,19,65,165,431,1377,3398,19,64,160,406,1136,2574
323242,131.00308945,1.67132815,0.02814,32.0,0.41666666,0.10878936,15,59,130,337,1302,3224,0,10,36,178,1070,2657
422443,131.01758554,2.71152712,0.02613,126.5,0.16666667,0.09445571,27,73,136,340,1522,3684,27,72,133,336,1481,2883
3623223,131.01940913,-0.74868075,0.01336,349.0,0.9166667,nan,14,108,276,654,2537,5705,8,47,114,297,1752,4199
345758,131.02693494,1.89640977,0.07681,162.0,0.16666667,0.07412854,11,61,128,322,1380,3033,11,60,117,305,1170,2586
574008,131.02734909,-0.10349761,0.05121,76.0,0.16666667,0.5363491,19,101,265,742,2580,4401,17,96,260,714,2312,3964
417433,131.03180623,2.28261373,0.05094,127.5,0.16666667,0.48622507,15,47,129,299,1405,3475,15,47,123,236,1033,2672
300821,131.03733582,1.21434506,0.01306,297.5,0.16666667,nan,18,60,139,414,1922,3996,18,59,134,355,1507,3214
549296,131.07139086,-0.42489859,0.05217,129.0,0.16666667,0.08210863,0,9,45,238,1942,4765,0,7,27,154,1520,4172
521768,131.07263022,2.88117438,0.05046,60.0,0.16666667,0.50067276,17,84,181,400,1128,2465,0,28,87,190,617,1819
574029,131.07729226,-0.0492133,0.05144,65.0,0.16666667,0.41202128,22,109,247,616,2132,4615,21,78,182,478,1837,4194
549313,131.07827193,-0.51864822,0.05727,349.0,0.16666667,nan,19,98,231,550,2262,5253,18,91,219,513,1968,4385
345767,131.10314972,2.05687434,0.07782,83.5,0.16666667,0.11072483,14,54,146,491,1602,3505,14,53,141,482,1493,3178
599329,131.10371408,0.34288565,0.0145,175.0,7.249998,nan,13,58,122,347,1545,3275,0,9,31,165,1187,2620
345754,131.11856269,2.063963,0.02555,284.5,0.16666667,0.3094517,5,63,146,482,1587,3587,4,60,139,474,1478,3241
417440,131.12793191,2.29491763,0.05062,214.5,0.25,0.13033363,9,71,195,553,1829,4010,9,56,144,381,1395,3357
417441,131.13327494,2.29648443,0.05114,41.5,0.16666667,0.5779241,8,71,205,555,1866,4016,8,56,150,382,1431,3376
517167,131.16137135,2.41098443,0.0299,98.0,0.16666667,0.35750565,22,88,216,534,2015,3885,0,10,68,287,1458,3196
422486,131.17992357333333,2.572460492222222,0.02615,147.5,0.16666667,nan,18,75,176,505,1951,3663,18,75,176,502,1751,3047
417453,131.18677554,2.2935429,0.04938,196.5,0.16666667,0.5951717,47,159,272,580,2124,4131,47,157,253,486,1732,3566
386268,131.18920984,2.18550531,0.07444,284.0,0.16666667,0.4280893,14,67,164,490,2045,4344,14,64,161,482,1957,3805
422501,131.20912142,2.56391963,0.04984,356.0,0.16666667,nan,21,78,157,506,1847,3663,21,78,157,503,1690,2975
521794,131.21183174,2.8308294,0.07664,242.5,0.16666667,0.34886014,19,92,183,431,1409,2736,17,89,177,418,1245,2230
300887,131.21480237,1.15562061,0.01353,333.5,0.16666667,nan,21,103,226,540,1881,4192,18,98,218,516,1722,3072
345820,131.24559559,2.05165301,0.05091,170.0,2.0833316,0.26497293,6,25,62,317,1651,3949,6,25,62,301,1400,3579
517164,131.24677756,2.47634811,0.04962,97.5,0.16666667,0.4844094,18,73,192,553,1651,3843,17,70,186,545,1424,3148
375904,131.2701537,1.40141056,0.01369,284.0,0.25,nan,27,111,246,586,2070,4766,27,106,222,448,1351,3297
345848,131.30016633,2.04119469,0.07532,151.5,0.16666667,0.18225227,13,58,110,358,1731,3981,13,58,109,314,1503,3587
386285,131.30603338,2.21775391,0.07582,25.0,0.16666667,0.57162225,21,107,224,613,2351,4296,21,106,220,606,2317,3835
417486,131.32368836,2.2805638,0.05004,237.5,0.16666667,0.19562647,26,106,247,589,2013,4354,26,104,244,580,1956,3766
521823,131.33012371,2.92524828,0.07834,6.5,0.41666666,0.086664274,7,32,93,269,978,1978,6,31,92,267,925,1633
345845,131.33667803,2.0039701,0.07548,350.0,6.25,0.1359991,10,56,155,379,1733,3784,10,43,116,271,1495,3254
386286,131.34372137,2.1900553,0.00624,85.5,0.25,nan,7,76,211,634,2313,4303,7,74,209,619,2272,3765
517211,131.34479878,2.52395232,0.0764,238.5,0.16666667,0.45007142,4,33,68,187,1351,3508,4,33,67,184,1188,2857
517205,131.38247114,2.4758725,0.07651,114.5,0.16666667,0.08385288,3,21,44,177,1153,3571,3,21,44,169,1021,2893
323329,131.40646768,1.60664109,0.04927,334.5,0.16666667,0.3984639,20,81,170,453,1714,3878,0,0,25,203,1310,2817
517256,131.42709697,2.35608399,0.03261,335.0,0.16666667,nan,0,4,37,232,1548,3624,0,4,37,210,1336,3082
386316,131.44404811,2.1992819,0.07577,12.0,0.6666667,0.5624191,24,102,223,608,2200,4184,24,101,220,594,1802,3420
517244,131.46055278,2.50981418,0.07512,248.5,0.16666667,0.39675328,20,60,132,336,1063,2864,19,48,98,258,737,2164
517247,131.51096495,2.53367037,0.02795,202.0,0.16666667,0.73299944,12,63,128,368,1110,2514,12,45,94,258,739,1767
517249,131.55101172,2.41047481,0.0281,118.5,0.16666667,nan,13,85,195,418,1044,2641,12,83,172,352,790,1744
517295,131.62760336,2.54407472,0.02843,197.0,0.16666667,nan,4,11,31,97,1021,2625,4,11,31,95,718,1843
376001,131.63040725,1.48336357,0.05124,265.0,0.25,0.23930141,35,119,270,657,2140,4343,33,116,262,614,1770,3336
381156,131.65187842,1.7760589,0.05127,355.5,0.16666667,0.39355287,19,84,196,540,1814,4350,18,80,186,477,1585,3485
381157,131.65300249,1.81095988,0.05231,169.5,0.16666667,nan,33,99,204,527,1924,4482,31,94,195,507,1642,3585
521894,131.65458201,2.82702752,0.01328,160.0,0.5,nan,19,58,130,378,1516,2885,19,56,127,372,1410,2487
422639,131.65702678,2.61436443,0.02837,332.5,5.3333335,nan,0,0,15,137,1019,2980,0,0,15,132,779,2316
381159,131.65976008,1.72853296,0.05051,317.5,0.33333334,0.5296228,35,109,207,529,1807,4242,35,106,187,429,1597,3514
381160,131.66053406,1.73812095,0.05103,286.0,0.25,0.1876896,36,101,192,529,1826,4271,36,97,182,431,1619,3513
517273,131.66885877,2.40802114,0.01326,22.5,0.75,0.2344121,0,24,55,147,1136,2920,0,24,54,134,759,1993
517279,131.6803687,2.53922464,0.02876,119.0,0.5,nan,0,0,10,55,885,2848,0,0,0,18,668,2152
381215,131.68184337,1.84332,0.04997,324.0,0.16666667,0.51266325,11,56,155,528,2211,4604,10,52,149,507,1897,3658
517278,131.6831757,2.53742151,0.02813,155.5,0.41666666,0.3025617,0,1,13,59,878,2841,0,0,0,15,660,2150
521898,131.68612207,2.79427531,0.02787,16.5,0.75,nan,14,62,140,427,1620,2980,13,61,138,421,1574,2629
381207,131.68919723,1.82157611,0.05128,321.0,0.25,0.2904965,0,17,93,429,2235,4575,0,15,88,414,1952,3620
381206,131.69182644,1.830811,0.05052,330.0,0.75,0.13530147,0,23,100,467,2248,4593,0,21,94,448,1960,3644
381219,131.70335373,1.80824085,0.04974,192.0,0.16666667,0.3439487,0,0,37,347,2399,4563,0,0,35,333,2089,3645
517306,131.71343753,2.56970539,0.0296,71.0,0.16666667,nan,0,1,15,92,888,2916,0,1,11,64,670,2335
517307,131.71561266,2.56809196,0.02775,316.5,0.16666667,nan,0,1,15,90,885,2921,0,1,10,60,665,2340
517302,131.7262154,2.56007097,0.02871,313.5,0.75,0.38333204,0,1,15,100,873,2918,0,0,6,53,647,2356
517310,131.73220454,2.40483398,0.03515,213.5,4.3333335,nan,0,0,26,205,1199,2869,0,0,0,50,853,2036
381221,131.73262516,1.86472984,0.0504,223.5,0.25,0.23966736,21,80,219,590,2417,4975,21,77,209,568,2094,4025
386366,131.73624677,2.24486835,0.06003,179.0,0.16666667,0.37233996,8,69,195,588,1646,3474,8,69,194,536,1127,2259
517334,131.74502056,2.38752174,0.02778,150.0,0.25,nan,0,9,50,280,1292,2885,0,0,10,140,904,2014
422610,131.74772787,2.58167268,0.0277,12.0,2.8333328,0.3982686,0,8,31,136,999,2909,0,8,31,112,780,2413
422619,131.78174581,2.62180486,0.02896,319.0,0.33333334,nan,1,39,97,298,1240,2831,1,37,93,291,1061,2410
381225,131.78764337,1.8534322,0.05036,16.5,0.16666667,0.56761575,33,124,249,635,2510,5273,33,115,236,576,2136,4494
376033,131.80870779,1.36240142,0.03986,244.0,0.16666667,0.370309,0,13,83,378,1778,4220,0,9,49,288,1478,3550
381229,131.81455082,1.89556314,0.04999,230.0,0.16666667,0.11753583,27,119,304,786,2484,5124,26,112,291,745,2155,4369
422649,131.82766801,2.76226338,0.02853,306.0,0.5833333,0.3518482,17,80,181,487,1833,3328,15,77,177,474,1795,3211
417568,131.87080351,2.27709609,0.0284,295.0,0.33333334,nan,13,69,128,385,1652,3648,0,0,26,189,1156,2568
422683,131.88075027,2.7356685,0.02805,344.5,0.75,nan,13,59,161,480,1808,3288,10,55,152,464,1762,3103
214860,131.8966701,0.5618423,0.0584,191.5,0.16666667,nan,24,83,214,564,2161,4988,21,75,148,357,1505,3820
622228,131.94986973,0.65372118,0.05817,157.5,0.16666667,0.32668236,23,134,283,659,2128,4952,0,33,93,269,1416,3996
323504,131.95082098,1.53447364,0.06297,80.0,0.16666667,0.7084239,8,62,192,463,1728,4289,8,60,190,400,1315,3609
323505,131.97722421,1.6281822,0.04308,98.0,0.16666667,0.65212333,26,103,254,627,1898,4610,26,100,242,582,1524,3586
214895,131.97905512,0.5666869,0.05855,229.0,2.0833333,nan,1,29,93,367,1971,5154,0,0,2,55,1244,4187
386402,131.9851712,2.19123289,0.06136,179.5,0.16666667,0.479828,24,94,218,544,1585,3855,23,88,171,360,902,2988
521991,131.99036326,2.88992694,0.05861,214.5,0.16666667,0.5775088,29,90,191,514,1350,2474,29,88,184,495,1233,2129
521997,132.02858001,2.83096061,0.0768,351.5,0.16666667,0.59075254,27,94,187,492,1535,2685,27,89,180,438,1288,2220
376097,132.03493449,1.35794045,0.06768,259.5,1.0833334,0.07541145,18,87,212,544,1755,4267,18,82,205,526,1618,3555
323507,132.03546043666665,1.56604385,0.03988,208.0,0.16666667,0.27559593,17,68,187,505,2033,4423,0,11,62,282,1724,3603
301098,132.07783182,1.26399279,0.00581,177.0,0.5833333,nan,4,43,87,316,1824,4375,4,42,84,310,1750,3880
417580,132.10673934,2.28780776,0.0396,321.5,9.583333,0.3413846,16,98,216,641,2127,4136,0,27,76,324,1606,3261
376121,132.1177753,1.39725819,0.05149,160.0,0.16666667,0.5801399,18,79,200,615,2190,4640,18,77,192,595,1838,3780
346046,132.12090752,2.07601626,0.04292,79.0,0.16666667,0.2814872,0,11,35,142,1475,4252,0,0,8,73,1142,3003
209181,132.12519777,0.17087478,0.0581,145.0,0.16666667,0.41292033,25,141,327,840,2666,5379,25,139,319,800,2536,4985
323541,132.1358474,1.53295049,0.06762,191.0,0.16666667,0.21435453,12,82,190,477,2159,4769,12,69,149,345,1692,3815
422721,132.13653336,2.63758665,0.02867,141.0,0.16666667,nan,0,0,5,79,984,3040,0,0,0,9,502,2216
371633,132.16755964,1.03878473,0.02881,272.0,0.5,0.27354386,0,34,121,381,1772,3893,0,31,111,330,1362,3029
376165,132.17023847,1.49956155,0.02893,271.0,0.33333334,nan,22,86,190,544,2242,4772,21,81,181,479,1607,3856
386431,132.18219539,2.25849674,0.02875,234.0,0.16666667,nan,29,115,243,556,2206,4244,24,110,229,466,1805,3226
522033,132.18252005,2.85015716,0.0663,25.0,0.16666667,0.18658431,0,20,73,262,1139,2238,0,0,11,63,648,1497
209185,132.18426782,0.16849947,0.05158,94.0,0.25,0.5130183,28,115,256,762,2739,5606,28,108,247,731,2574,5258
599582,132.19011347,0.29151858,0.05302,177.5,0.25,0.39996952,0,8,53,377,2546,5782,0,8,42,338,2430,5411
323575,132.25577133,1.5739509,0.04331,198.5,0.16666667,nan,11,58,136,510,2054,4502,0,16,44,285,1602,3492
203037,132.2566078,-0.34910161,0.01479,52.0,0.16666667,nan,42,131,241,568,1876,4475,41,111,173,355,1109,2820
323558,132.26310063,1.53844211,0.04259,182.0,0.25,0.4512662,0,44,161,514,2125,4625,0,26,106,361,1583,3657
376163,132.2735744,1.50360512,0.04228,237.5,0.33333334,nan,24,69,179,526,2113,4752,24,68,159,357,1499,3783
376161,132.27742911,1.34589272,0.02564,184.5,0.6666667,nan,33,108,230,649,2418,4845,10,49,124,402,2019,4095
323577,132.27829186,1.5656973,0.04174,179.0,1.6666641,nan,16,48,133,488,2075,4507,0,0,35,261,1633,3448
