CATID,SRC,RA_OBJ,DEC_OBJ,z_spec,Mstar,r_e,ellip,PA_phot,PA_GASKIN,PA_GASKIN_ERR,PA_STELKIN,PA_STELKIN_ERR,LAMBDAR_RE,VSIGMA_RE,SIGMA_RE,WARNMULT,WARNFILL,WARNZ,IN_KIDS1000
214211,GAMA,129.26993475,0.42908598,0.07765,10.9,3.52,0.0402,142.81999,154.0,1.0,165.0,12.499997,0.07946873,0.081496365,144.87468,0,0,0,1
573617,GAMA,129.27720437,-0.18714711,0.05135,10.07,2.88,0.6764,95.08,113.5,0.16666667,266.5,7.25,0.30825418,0.38997686,82.97265,0,0,0,1
573620,GAMA,129.29406495,-0.10437752,0.03784,9.35,2.99,0.7394,106.85,281.0,0.25,284.5,10.833333,0.4270743,0.53188914,74.63321,0,0,0,1
300372,GAMA,129.29410089,1.00136297,0.03935,9.16,1.43,0.1799,88.22,266.0,2.0833333,255.5,29.916666,nan,nan,51.285988,0,0,0,1
598911,GAMA,129.30130306,0.38743001,0.0417,9.39,7.51,0.2079,104.19,144.5,0.33333334,132.0,29.83333,nan,nan,55.32255,0,0,0,1
202354,GAMA,129.30828796,-0.27483759,0.03745,9.74,56.5,0.7462,64.899994,246.5,0.16666667,244.5,4.1666665,0.8947812,1.9169743,nan,0,0,0,1
573621,GAMA,129.32407282,-0.08586238,0.05228,10.22,5.08,0.7819,87.51001,93.5,0.16666667,95.5,2.1666667,0.62955046,0.8981475,119.85482,0,0,0,1
202373,GAMA,129.34532855,-0.24348281,0.03486,9.06,3.46,0.5055,62.869995,56.5,0.33333334,82.0,29.83333,0.24104755,0.29173553,80.95653,0,0,0,1
202360,GAMA,129.3541012,-0.25781052,0.03576,10.39,3.9,0.2662,104.909996,198.5,0.16666667,40.5,10.583333,0.060816918,0.06449217,101.81101,0,0,0,1
573625,GAMA,129.38191751,-0.04488618,0.03502,10.28,7.39,0.5187,156.86,167.5,0.16666667,170.5,1.0,0.5306797,0.6034725,104.91573,0,0,0,1
548835,GAMA,129.38250453,-0.4617983,0.07885,10.81,3.41,0.1825,158.28,334.0,3.5833333,316.5,25.416664,0.06250212,0.068149045,199.47002,0,0,0,1
322910,GAMA,129.39530537,1.57389058,0.03094,9.74,5.32,0.1885,150.03,101.5,0.75,92.0,10.583333,nan,nan,50.31966,0,0,0,1
300406,GAMA,129.40513092,1.07307332,0.05085,10.92,6.25,0.2164,54.20999,248.0,0.5833333,100.5,2.0833333,0.11688639,0.12091695,204.09332,0,0,0,1
208520,GAMA,129.40911525,0.05066585,0.03464,9.65,6.24,0.1567,175.04,167.0,0.16666667,170.5,2.6666667,0.5957607,0.7814082,60.714127,0,0,0,1
548872,GAMA,129.41228336,-0.58625457,0.07903,10.52,2.56,0.6698,148.03,335.5,0.41666666,335.0,1.6666666,0.47121474,0.58425415,119.346375,0,0,0,1
3895257,GAMA,129.43796633,-0.86161142,0.03059,10.34,nan,nan,nan,335.0,0.16666667,339.0,0.6666667,nan,nan,nan,0,0,0,1
202399,GAMA,129.45734504,-0.2516077,0.05184,10.95,5.0,0.3089,148.42,74.5,0.16666667,118.0,1.9166666,0.17959994,0.18371274,178.08374,0,0,0,1
202398,GAMA,129.46039763,-0.26209844,0.05117,10.6,2.49,0.2369,62.43,319.5,0.16666667,320.5,1.6666666,0.14221795,0.15334424,104.420395,0,0,0,1
380682,GAMA,129.47482911,1.7844923,0.01354,8.36,7.18,0.8043,43.97,71.0,0.25,nan,nan,nan,nan,nan,0,0,0,1
300411,GAMA,129.48588591,1.07243016,0.05109,10.81,3.2,0.1637,139.3,42.5,0.25,304.5,29.499998,0.04604535,0.053450145,158.78639,0,0,0,1
3895503,GAMA,129.49317179,-0.94238616,0.05777,10.11,nan,nan,nan,334.0,0.16666667,330.0,2.6666667,nan,nan,nan,0,0,0,1
214245,GAMA,129.52446003,0.6089599,0.0139,9.4,4.46,0.3239,2.649994,32.0,0.41666666,242.5,29.916666,nan,nan,nan,0,0,0,1
214250,GAMA,129.54078778,0.46444018,0.07785,11.52,8.29,0.0428,9.729996,149.5,5.25,272.0,2.25,0.22132543,0.2325905,nan,0,0,0,1
598968,GAMA,129.56040312,0.352079,0.04178,10.06,7.35,0.1988,68.610016,193.5,0.16666667,194.0,2.25,0.41901955,0.52672976,62.63455,0,0,0,1
380697,GAMA,129.58584589,1.73254222,0.0733,10.99,2.98,0.2922,0.33999634,350.0,0.6666667,355.5,1.5833317,0.24692468,0.2690706,215.78069,0,0,0,1
548914,GAMA,129.59523495,-0.44538265,0.08541,10.7,3.93,0.5971,39.680008,220.5,0.16666667,222.5,0.8333333,0.6717198,1.0081602,155.61053,0,0,0,1
214295,GAMA,129.5972045,0.42185284,0.08204,10.49,4.3,0.7779,39.229996,41.5,0.16666667,41.0,4.5833335,0.47844672,0.6525406,146.82039,0,0,0,1
208589,GAMA,129.63253268,0.01241761,0.07803,10.56,4.6,0.4924,83.850006,268.0,0.16666667,249.5,5.5833335,0.35609466,0.3766496,97.53876,0,0,0,1
3895823,GAMA,129.66193853,-0.85333128,0.05095,10.12,nan,nan,nan,224.0,0.16666667,226.5,1.1666666,nan,nan,nan,0,0,0,1
598999,GAMA,129.70201131,0.38917733,0.07773,10.52,3.07,0.304,176.72,119.0,0.16666667,111.0,2.25,0.2687615,0.28361452,84.15618,0,0,0,1
300477,GAMA,129.70677327,1.12100647,0.02913,9.25,5.52,0.2552,99.76,117.0,0.16666667,112.5,29.916666,nan,nan,52.040672,0,0,0,1
375531,GAMA,129.7108753,1.40502449,0.02903,9.45,5.64,0.592,10.160004,35.0,0.16666667,nan,nan,nan,nan,nan,0,0,0,1
202443,GAMA,129.71213153,-0.33372829,0.05222,10.18,6.48,0.429,122.42,114.5,0.16666667,121.5,1.5,0.5716941,0.7423899,102.38702,0,0,0,1
208612,GAMA,129.71517654,0.05914337,0.02455,8.49,2.29,0.4239,26.930008,152.5,0.33333334,280.0,29.916666,nan,nan,42.29058,0,0,0,1
202464,GAMA,129.73726756,-0.35566315,0.05187,10.02,1.65,0.7564,94.32001,6.5,0.16666667,272.0,2.0,0.28171268,0.34677833,86.65963,0,0,0,1
370997,GAMA,129.74054739,0.95970311,0.08538,10.9,4.75,0.2732,164.47,341.5,0.16666667,347.0,0.9166667,0.59519374,0.84926087,154.05157,0,0,0,1
380734,GAMA,129.74517063,1.73462278,0.07243,10.96,3.23,0.0457,152.09,57.0,0.25,339.0,6.0,0.0932061,0.10085832,193.04333,0,0,0,1
208652,GAMA,129.7534118,0.0622835,0.04982,11.0,5.25,0.0048,39.070007,295.5,0.16666667,249.0,3.3333333,0.14647487,0.15550439,153.8418,0,0,0,1
548947,GAMA,129.82095935,-0.61351413,0.0509,10.67,7.68,0.6594,52.36,57.5,0.16666667,53.5,0.75,0.68993956,1.0563908,144.6318,0,0,0,1
548946,GAMA,129.82867229,-0.61208574,0.05048,10.42,3.23,0.3883,72.75,49.0,0.16666667,43.5,4.3333335,0.13505055,0.14494537,92.76313,0,0,0,1
621988,GAMA,129.8529669,0.68918937,0.07791,10.96,7.27,0.108,64.95001,208.0,0.16666667,195.5,1.9166666,0.36647868,0.39209896,109.964714,0,0,0,1
573736,GAMA,129.85892654,-0.19714267,0.05104,9.44,2.57,0.5059,169.78,168.0,0.16666667,166.5,4.7499976,0.41092482,0.5130585,70.40936,0,0,0,1
371037,GAMA,129.86251028,0.80888329,0.00661,8.14,4.33,0.2936,154.70001,208.5,16.33333,87.5,29.83333,nan,nan,nan,0,0,0,1
375560,GAMA,129.87422108,1.23344437,0.04985,11.11,6.14,0.2451,94.43,265.5,0.16666667,273.0,1.0,0.31453717,0.343898,215.59544,0,0,0,1
375564,GAMA,129.89422026,1.2511931,0.04922,10.19,1.69,0.521,83.45999,25.0,0.16666667,81.5,4.5833335,nan,nan,142.67899,0,0,0,1
202480,GAMA,129.92932234,-0.33696963,0.05202,10.56,4.24,0.3106,100.19,34.0,0.33333334,104.5,3.9166667,0.1776529,0.19766495,194.53346,0,0,0,1
3622327,GAMA,129.9544064,-0.74392522,0.0373,9.37,nan,nan,nan,200.5,0.41666666,210.5,7.4166665,nan,nan,nan,0,0,0,1
214363,GAMA,129.97057844,0.43242663,0.04213,10.99,6.67,0.3061,55.550003,234.0,0.33333334,237.5,1.1666666,0.3039295,0.32102063,187.61394,0,0,0,1
573756,GAMA,129.98087125,-0.18774618,0.02437,8.55,7.4,0.8345,146.04,146.0,0.33333334,175.0,29.83333,nan,nan,nan,0,0,0,1
375610,GAMA,130.00079311,1.30209053,0.04852,10.09,7.05,0.2255,168.95,163.0,0.16666667,168.0,2.5833333,0.66874975,0.8718179,67.5497,0,0,0,1
375615,GAMA,130.04200051,1.24630305,0.07791,10.7,2.44,0.1404,23.919998,213.0,0.16666667,216.0,2.1666667,0.24484497,0.25650126,109.183235,0,0,0,1
573776,GAMA,130.07845067,-0.00295952,0.03759,10.27,8.0,0.7823,175.49,181.0,0.16666667,177.0,0.8333333,0.7250787,1.1933024,nan,0,0,0,1
516973,GAMA,130.12337717,2.37446987,0.05007,10.83,4.03,0.2743,4.580002,36.0,0.16666667,34.0,0.6666667,0.34107092,0.3787875,196.95088,0,0,0,1
599095,GAMA,130.13598673,0.26200573,0.03471,9.44,3.57,0.3391,70.25,57.5,0.16666667,58.0,4.4166665,0.362148,0.4696024,77.10818,0,0,0,1
422291,GAMA,130.1433787,2.61132645,0.04964,11.39,8.04,0.0106,8.540009,96.5,0.25,141.0,14.75,0.0626609,0.068577595,nan,0,0,0,1
422286,GAMA,130.14867535,2.47704361,0.04969,10.47,3.12,0.3692,33.119995,349.0,0.16666667,nan,nan,nan,nan,nan,2,0,0,1
422292,GAMA,130.15751857,2.61965909,0.04973,10.42,1.67,0.5702,96.649994,6.0,0.16666667,94.0,0.8333333,0.22162557,0.26931825,198.55585,0,0,0,1
549070,GAMA,130.15791303,-0.61422241,0.05217,10.07,0.99,0.1166,151.46,271.5,0.16666667,343.0,4.0833335,nan,nan,128.62375,0,0,0,1
202531,GAMA,130.16601169,-0.41330685,0.05799,9.86,2.03,0.8441,18.130005,54.0,0.16666667,23.5,3.4166667,0.4348771,0.6116363,78.78609,0,0,0,1
208781,GAMA,130.16662503,0.15007598,0.02459,8.45,5.34,0.8182,140.84999,146.0,0.9166667,265.5,29.83333,nan,nan,nan,0,0,0,1
300613,GAMA,130.18723999,1.09923154,0.02925,9.25,5.99,0.5546,72.29001,232.5,0.25,244.5,6.0,nan,nan,52.559265,0,0,0,1
599134,GAMA,130.26050226,0.39589784,0.03737,9.09,2.7,0.3757,104.170006,106.0,0.5833333,338.5,29.916666,nan,nan,55.484604,0,0,0,1
3896912,GAMA,130.26668651,-0.90120625,0.02984,9.32,nan,nan,nan,351.0,0.33333334,333.5,6.0833335,nan,nan,nan,0,0,0,1
422289,GAMA,130.27727795,2.57668398,0.03176,9.56,2.77,0.6526,108.33,110.5,0.16666667,125.5,29.83333,0.07205709,0.09099068,74.26487,1,0,0,1
371145,GAMA,130.28147505,0.99556917,0.08471,10.46,1.82,0.7712,170.4,301.5,0.16666667,352.5,1.8333334,0.23815157,0.2855794,137.15833,0,0,0,1
422320,GAMA,130.31083216,2.58433988,0.03142,9.56,9.5,0.6219,166.18001,3.0,0.16666667,351.5,6.583332,0.69037205,0.9333968,nan,1,0,0,1
214462,GAMA,130.35113394,0.53025161,0.05103,9.6,4.72,0.3298,143.89,122.5,0.16666667,108.5,8.416667,nan,nan,50.20624,0,0,0,1
3897281,GAMA,130.38835354,-0.82828163,0.05688,10.22,nan,nan,nan,287.5,0.6666667,284.0,2.1666667,nan,nan,nan,0,0,0,1
417392,GAMA,130.39306525,2.18884647,0.02873,8.88,2.66,0.5398,161.47,165.5,0.16666667,139.0,7.4166665,0.32891476,0.41116238,61.934166,0,0,0,1
345646,GAMA,130.40959635,1.96808945,0.0137,8.44,12.56,0.0753,143.09,31.0,1.75,nan,nan,nan,nan,nan,0,0,0,1
300691,GAMA,130.41233479,1.1166267,0.04558,10.35,2.34,0.2731,35.809998,262.5,0.16666667,20.0,5.3333335,0.09960199,0.1122572,119.93721,0,0,0,1
278350,GAMA,130.4485082,0.81933648,0.07781,11.23,8.15,0.3127,128.04,41.5,0.16666667,320.5,6.6666665,0.11792305,0.13636999,nan,0,0,0,1
573872,GAMA,130.48617572,-0.06020826,0.01022,8.2,6.74,0.6039,171.87,172.5,0.41666666,59.0,29.916666,nan,nan,42.346294,0,0,0,1
371171,GAMA,130.49093127,0.92989378,0.0399,10.15,1.52,0.2284,22.399994,13.0,0.33333334,21.5,1.9166666,0.14989349,0.1533883,95.27819,0,0,0,1
371172,GAMA,130.49630279,1.01727921,0.07714,11.16,4.01,0.2197,24.070007,154.5,0.16666667,195.5,4.5,0.10424652,0.12023513,258.79404,0,0,0,1
371170,GAMA,130.4986216,0.92779175,0.03977,10.71,4.8,0.2237,170.85,53.5,0.25,75.5,0.9166667,0.27675092,0.2764737,96.89403,0,0,0,1
422355,GAMA,130.50503649,2.52837186,0.02848,9.26,5.08,0.0426,45.909996,12.5,0.5833333,7.5,28.083334,nan,nan,52.666725,0,0,0,1
517046,GAMA,130.50556873,2.39787155,0.02583,8.49,5.33,0.814,75.57999,256.0,0.41666666,149.5,29.83333,nan,nan,37.584003,0,0,0,1
323133,GAMA,130.5238463,1.55214343,0.02526,8.87,1.6,0.5321,36.329987,106.5,0.41666666,nan,nan,nan,nan,nan,0,0,0,1
521719,GAMA,130.53875743,2.89517246,0.02475,8.48,2.17,0.6296,131.47,309.5,0.16666667,281.0,29.916666,nan,nan,nan,1,0,0,1
422359,GAMA,130.55487715,2.62461209,0.05,10.07,2.47,0.4488,86.45999,94.5,0.16666667,94.0,1.3333334,0.46271282,0.59348756,91.71162,0,0,0,1
375751,GAMA,130.56517567,1.26826881,0.07836,10.95,6.91,0.6567,18.029999,195.5,0.16666667,193.0,1.0,0.545416,0.67453086,199.28293,0,0,0,1
422366,GAMA,130.59559741,2.4973292,0.02867,9.62,8.86,0.493,166.33002,348.0,0.16666667,353.0,3.3333333,0.5322402,0.68361396,nan,0,0,0,1
208876,GAMA,130.60860556,0.13638264,0.05063,10.39,1.84,0.5937,76.350006,68.0,9.833333,257.5,1.25,0.21888192,0.2613135,154.76094,0,0,0,1
573915,GAMA,130.61363005,-0.14516727,0.05191,10.49,5.53,0.078,164.37,174.5,0.16666667,174.0,2.0833316,0.44524324,0.5182259,88.84398,0,0,0,1
202636,GAMA,130.61721084,-0.28353658,0.05134,9.73,3.08,0.6804,81.41998,58.0,0.5,98.5,5.5833335,0.41599938,0.48936334,58.5974,0,0,0,1
517070,GAMA,130.64239983,2.42777394,0.05096,10.16,5.94,0.277,105.16999,99.5,0.16666667,102.5,1.75,0.5955797,0.8199723,62.481052,0,0,0,1
202673,GAMA,130.65275259,-0.23097146,0.04991,10.54,8.41,0.3975,33.820007,35.0,0.16666667,31.0,1.0,0.7298176,1.1569256,nan,0,0,0,1
549180,GAMA,130.6671153,-0.56315641,0.0305,10.47,10.17,0.3073,23.309998,21.5,0.16666667,22.5,0.6666667,0.684539,0.9719431,nan,0,0,0,1
345682,GAMA,130.67706597,1.95196116,0.02546,9.27,4.19,0.5392,113.90999,115.5,0.25,122.5,29.916666,0.2293968,0.27598214,57.872314,0,0,0,1
521736,GAMA,130.67894037,2.87319427,0.05005,9.87,1.55,0.3344,26.929993,199.5,0.33333334,185.0,2.9166641,0.13012034,0.13812059,54.17093,0,0,0,1
549182,GAMA,130.68272439,-0.48247536,0.05266,9.82,7.86,0.2236,108.93,255.0,0.5,nan,nan,nan,nan,nan,2,0,0,1
422389,GAMA,130.68721995,2.58308823,0.05084,10.43,3.11,0.0594,120.83,42.0,0.6666667,98.0,3.5833333,0.19520652,0.19604465,95.64762,0,0,0,1
622084,GAMA,130.74313207,0.64404862,0.03456,9.83,8.57,0.4339,74.240005,53.5,2.6666667,76.0,28.0,nan,nan,nan,0,0,0,1
422406,GAMA,130.75188586,2.64168892,0.05052,10.05,1.2,0.2075,82.45999,175.5,7.8333335,285.0,29.916666,nan,nan,83.2005,0,0,0,1
208892,GAMA,130.7545533,0.16932554,0.02927,9.39,10.95,0.4807,172.85,357.0,0.16666667,356.0,8.333333,nan,nan,nan,0,0,0,1
549216,GAMA,130.7609144,-0.46948561,0.05204,9.51,4.21,0.3286,140.27,273.0,0.25,230.0,29.916666,0.28804117,0.3018534,66.46621,0,0,0,1
323194,GAMA,130.8163021,1.48409537,0.01308,8.61,2.83,0.3682,100.020004,259.5,0.16666667,248.0,29.916666,nan,nan,37.151672,0,0,0,1
521753,GAMA,130.858308,2.90583006,0.0261,9.79,5.82,0.7119,41.679993,225.0,0.16666667,223.0,1.0833334,0.6305969,0.9488744,89.19772,0,0,0,1
422411,GAMA,130.86483826,2.53693921,0.02855,8.23,0.83,0.2438,33.04001,186.5,1.0,344.5,29.916666,nan,nan,nan,0,0,0,1
417424,GAMA,130.88820363,2.21104155,0.02992,9.3,9.65,0.746,24.36,209.0,0.16666667,216.5,10.583331,nan,nan,nan,0,0,0,1
422446,GAMA,130.89751011,2.66970523,0.0503,10.36,4.13,0.7463,179.19,176.0,0.5,184.0,1.4166666,0.62227637,0.88574344,111.222015,0,0,0,1
517130,GAMA,130.90756441,2.51521928,0.02617,8.28,1.4,0.4211,116.05,86.0,0.6666667,nan,nan,nan,nan,65.05851,0,0,0,1
422464,GAMA,130.92814509,2.58916639,0.02571,8.57,3.71,0.7328,42.229996,209.0,0.16666667,nan,nan,nan,nan,88.700966,0,0,0,1
202745,GAMA,130.93342305,-0.2122157,0.04991,10.65,6.33,0.7879,163.95001,160.5,0.25,166.0,1.3333334,0.5468067,0.7260498,159.45825,0,0,0,1
300787,GAMA,130.9349533,1.0791881,0.04384,10.32,3.08,0.3228,124.22,307.5,0.16666667,124.5,1.5833334,0.108559005,0.13064656,120.14132,0,0,0,1
278390,GAMA,130.94886005,0.83844404,0.02876,10.51,13.42,0.6662,179.09,4.5,0.16666667,4.5,0.5833333,0.7536498,1.1716872,nan,0,0,0,1
422436,GAMA,130.96284193,2.7138535,0.0259,10.81,8.19,0.5823,141.74,138.0,0.16666667,138.5,0.33333334,0.53843397,0.6679605,nan,0,0,0,1
599310,GAMA,130.9724596,0.35243157,0.05011,10.88,6.3,0.4616,125.78,315.5,0.16666667,316.0,0.9166667,0.5055027,0.56112576,163.53403,0,0,0,1
323224,GAMA,130.9870486,1.58429284,0.0135,8.61,3.45,0.1121,96.43,273.0,0.25,302.5,29.916666,nan,nan,37.797337,0,0,0,1
323242,GAMA,131.00308945,1.67132815,0.02814,9.5,2.23,0.2335,66.46001,32.0,0.41666666,280.0,14.166667,0.10878936,0.13133113,51.377796,0,0,0,1
422443,GAMA,131.01758554,2.71152712,0.02613,10.06,1.94,0.2971,136.92001,126.5,0.16666667,139.0,2.5833333,0.09445571,0.099306524,103.39444,0,0,0,1
3623223,GAMA,131.01940913,-0.74868075,0.01336,8.42,nan,nan,nan,349.0,0.9166667,202.5,29.83333,nan,nan,nan,0,0,0,1
345758,GAMA,131.02693494,1.89640977,0.07681,11.2,4.19,0.1501,164.2,162.0,0.16666667,350.0,13.083331,0.07412854,0.08512318,248.30537,0,0,0,1
574008,GAMA,131.02734909,-0.10349761,0.05121,10.18,5.44,0.4689,57.300003,76.0,0.16666667,67.0,1.8333334,0.5363491,0.69367594,85.784676,0,0,0,1
417433,GAMA,131.03180623,2.28261373,0.05094,10.57,4.09,0.7903,127.56999,127.5,0.16666667,129.0,1.3333334,0.48622507,0.6207319,143.50629,0,0,0,1
300821,GAMA,131.03733582,1.21434506,0.01306,8.82,3.41,0.2914,114.2,297.5,0.16666667,283.0,3.1666667,nan,nan,39.62806,0,0,0,1
549296,GAMA,131.07139086,-0.42489859,0.05217,10.95,5.0,0.0801,94.47,129.0,0.16666667,95.5,5.5,0.08210863,0.09066658,183.11467,0,0,0,1
521768,GAMA,131.07263022,2.88117438,0.05046,10.19,4.3,0.2182,77.44,60.0,0.16666667,59.0,2.5833333,0.50067276,0.6156876,85.053474,0,0,0,1
574029,GAMA,131.07729226,-0.0492133,0.05144,10.04,2.8,0.2321,62.579987,65.0,0.16666667,63.0,2.25,0.41202128,0.47584936,72.88409,0,0,0,1
549313,GAMA,131.07827193,-0.51864822,0.05727,9.94,1.91,0.2389,161.09,349.0,0.16666667,175.0,10.083331,nan,nan,46.98904,0,0,0,1
345767,GAMA,131.10314972,2.05687434,0.07782,11.04,5.11,0.2172,81.57001,83.5,0.16666667,202.0,7.9999986,0.11072483,0.1210887,251.09619,0,0,0,1
599329,GAMA,131.10371408,0.34288565,0.0145,8.4,2.23,0.3299,151.83,175.0,7.249998,330.5,29.916666,nan,nan,nan,0,0,0,1
345754,GAMA,131.11856269,2.063963,0.02555,10.25,5.73,0.4525,16.269989,284.5,0.16666667,278.0,1.1666666,0.3094517,0.34606826,99.84539,0,0,0,1
417440,GAMA,131.12793191,2.29491763,0.05062,11.21,4.51,0.0195,77.119995,214.5,0.25,84.0,2.0833333,0.13033363,0.12720764,205.22902,0,0,0,1
417441,GAMA,131.13327494,2.29648443,0.05114,10.78,7.75,0.6861,26.859985,41.5,0.16666667,28.0,1.5,0.5779241,0.7471767,188.14218,1,0,0,1
517167,GAMA,131.16137135,2.41098443,0.0299,9.24,3.67,0.3091,92.93,98.0,0.16666667,106.0,4.6666665,0.35750565,0.42446825,67.28617,0,0,0,1
422486,GAMA,131.17992357333333,2.572460492222222,0.02615,8.78,3.76,0.4249,24.559998,147.5,0.16666667,292.0,29.916666,nan,nan,39.8458,0,0,0,1
417453,GAMA,131.18677554,2.2935429,0.04938,10.37,6.4,0.72,23.339996,196.5,0.16666667,194.0,1.75,0.5951717,0.84757334,116.41,0,0,0,1
386268,GAMA,131.18920984,2.18550531,0.07444,10.95,4.17,0.5116,93.05,284.0,0.16666667,274.5,0.8333333,0.4280893,0.50319856,212.11531,0,0,0,1
422501,GAMA,131.20912142,2.56391963,0.04984,9.43,1.87,0.185,16.359985,356.0,0.16666667,349.0,13.416664,nan,nan,37.602863,0,0,0,1
521794,GAMA,131.21183174,2.8308294,0.07664,10.4,1.91,0.621,52.89,242.5,0.16666667,227.0,2.4166667,0.34886014,0.40325078,159.85861,0,0,0,1
300887,GAMA,131.21480237,1.15562061,0.01353,9.11,13.15,0.566,156.45999,333.5,0.16666667,338.5,8.833333,nan,nan,nan,0,0,0,1
345820,GAMA,131.24559559,2.05165301,0.05091,10.26,1.94,0.2758,3.730011,170.0,2.0833316,192.5,1.9166666,0.26497293,0.2827351,117.58012,0,0,0,1
517164,GAMA,131.24677756,2.47634811,0.04962,10.36,6.76,0.5711,98.2,97.5,0.16666667,97.5,1.5833334,0.4844094,0.60329604,122.42353,0,0,0,1
375904,GAMA,131.2701537,1.40141056,0.01369,8.07,3.54,0.3455,122.79001,284.0,0.25,204.0,29.916666,nan,nan,nan,0,0,0,1
345848,GAMA,131.30016633,2.04119469,0.07532,10.94,3.34,0.0766,125.59,151.5,0.16666667,114.5,3.6666667,0.18225227,0.19902587,173.30333,0,0,0,1
386285,GAMA,131.30603338,2.21775391,0.07582,10.42,3.88,0.6476,30.679993,25.0,0.16666667,23.0,1.75,0.57162225,0.771516,131.7973,0,0,0,1
417486,GAMA,131.32368836,2.2805638,0.05004,10.09,2.87,0.012,101.3,237.5,0.16666667,94.0,8.333333,0.19562647,0.22892804,63.110176,0,0,0,1
521823,GAMA,131.33012371,2.92524828,0.07834,10.94,3.21,0.0558,148.01,6.5,0.41666666,23.5,22.333334,0.086664274,0.09386044,163.53142,0,0,0,1
345845,GAMA,131.33667803,2.0039701,0.07548,11.29,8.71,0.1563,50.899994,350.0,6.25,280.5,2.4166667,0.1359991,0.13306873,nan,0,0,0,1
386286,GAMA,131.34372137,2.1900553,0.00624,8.22,7.76,0.2427,69.359985,85.5,0.25,60.0,29.916666,nan,nan,nan,0,0,0,1
517211,GAMA,131.34479878,2.52395232,0.0764,10.79,3.95,0.5747,137.25,238.5,0.16666667,136.5,1.1666666,0.45007142,0.5276747,162.59781,0,0,0,1
517205,GAMA,131.38247114,2.4758725,0.07651,11.24,6.76,0.214,70.09,114.5,0.16666667,60.5,29.83333,0.08385288,0.09069005,244.93637,0,0,0,1
323329,GAMA,131.40646768,1.60664109,0.04927,10.34,2.75,0.5304,153.28,334.5,0.16666667,335.0,0.9166667,0.3984639,0.47506315,124.85621,0,0,0,1
517256,GAMA,131.42709697,2.35608399,0.03261,9.25,7.15,0.6943,162.61,335.0,0.16666667,20.0,18.249998,nan,nan,63.780056,1,0,0,1
386316,GAMA,131.44404811,2.1992819,0.07577,10.61,3.77,0.8444,12.199997,12.0,0.6666667,19.0,1.4166666,0.5624191,0.7590805,144.06845,0,0,0,1
517244,GAMA,131.46055278,2.50981418,0.07512,10.44,2.11,0.3248,68.42999,248.5,0.16666667,253.5,2.75,0.39675328,0.48367876,120.97889,0,0,0,1
517247,GAMA,131.51096495,2.53367037,0.02795,10.2,12.05,0.8305,24.330002,202.0,0.16666667,206.0,1.25,0.73299944,1.2292885,nan,0,0,0,1
517249,GAMA,131.55101172,2.41047481,0.0281,9.4,5.47,0.3849,71.979996,118.5,0.16666667,131.5,7.8333335,nan,nan,58.39757,0,0,0,1
517295,GAMA,131.62760336,2.54407472,0.02843,8.94,3.0,0.2142,134.51,197.0,0.16666667,141.0,29.916666,nan,nan,nan,0,0,0,1
376001,GAMA,131.63040725,1.48336357,0.05124,10.25,2.41,0.0721,104.770004,265.0,0.25,273.0,3.0,0.23930141,0.26082578,75.81322,0,0,0,1
381156,GAMA,131.65187842,1.7760589,0.05127,10.01,3.1,0.6715,173.62,355.5,0.16666667,173.5,4.2499976,0.39355287,0.46539325,82.297165,0,0,0,1
