release,tile_file,ra_centre,dec_centre,patch,url
DR4.0,KiDS_DR4.0_135.0_0.5_ugriZYJHKs_cat.fits,135.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_135.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_135.0_-1.5_ugriZYJHKs_cat.fits,135.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_135.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_135.0_1.5_ugriZYJHKs_cat.fits,135.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_135.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_13.5_-28.2_ugriZYJHKs_cat.fits,13.5,-28.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_13.5_-28.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_135.4_2.5_ugriZYJHKs_cat.fits,135.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_135.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_136.0_-0.5_ugriZYJHKs_cat.fits,136.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_136.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_136.0_0.5_ugriZYJHKs_cat.fits,136.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_136.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_136.0_-1.5_ugriZYJHKs_cat.fits,136.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_136.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_136.0_1.5_ugriZYJHKs_cat.fits,136.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_136.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_136.4_2.5_ugriZYJHKs_cat.fits,136.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_136.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_137.0_-0.5_ugriZYJHKs_cat.fits,137.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_137.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_137.0_0.5_ugriZYJHKs_cat.fits,137.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_137.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_137.0_-1.5_ugriZYJHKs_cat.fits,137.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_137.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_137.0_1.5_ugriZYJHKs_cat.fits,137.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_137.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_13.7_-29.2_ugriZYJHKs_cat.fits,13.7,-29.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_13.7_-29.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_137.4_2.5_ugriZYJHKs_cat.fits,137.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_137.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_138.0_-0.5_ugriZYJHKs_cat.fits,138.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_138.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_138.0_0.5_ugriZYJHKs_cat.fits,138.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_138.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_138.0_-1.5_ugriZYJHKs_cat.fits,138.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_138.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_138.0_1.5_ugriZYJHKs_cat.fits,138.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_138.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.1_13.8_-30.2_ugriZYJHKs_cat.fits,13.8,-30.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.1_13.8_-30.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_138.4_2.5_ugriZYJHKs_cat.fits,138.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_138.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_139.0_-0.5_ugriZYJHKs_cat.fits,139.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_139.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_139.0_0.5_ugriZYJHKs_cat.fits,139.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_139.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_139.0_-1.5_ugriZYJHKs_cat.fits,139.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_139.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_139.0_1.5_ugriZYJHKs_cat.fits,139.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_139.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_139.4_2.5_ugriZYJHKs_cat.fits,139.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_139.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_140.0_-0.5_ugriZYJHKs_cat.fits,140.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_140.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_140.0_0.5_ugriZYJHKs_cat.fits,140.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_140.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_140.0_-1.5_ugriZYJHKs_cat.fits,140.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_140.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_140.0_1.5_ugriZYJHKs_cat.fits,140.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_140.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_14.0_-31.2_ugriZYJHKs_cat.fits,14.0,-31.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_14.0_-31.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_140.4_2.5_ugriZYJHKs_cat.fits,140.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_140.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_141.0_-0.5_ugriZYJHKs_cat.fits,141.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_141.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_141.0_0.5_ugriZYJHKs_cat.fits,141.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_141.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_141.0_-1.5_ugriZYJHKs_cat.fits,141.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_141.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_141.0_1.5_ugriZYJHKs_cat.fits,141.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_141.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_14.1_-32.1_ugriZYJHKs_cat.fits,14.1,-32.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_14.1_-32.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_141.4_2.5_ugriZYJHKs_cat.fits,141.4,2.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_141.4_2.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_14.3_-33.1_ugriZYJHKs_cat.fits,14.3,-33.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_14.3_-33.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_14.4_-34.1_ugriZYJHKs_cat.fits,14.4,-34.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_14.4_-34.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_14.7_-28.2_ugriZYJHKs_cat.fits,14.7,-28.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_14.7_-28.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_14.8_-29.2_ugriZYJHKs_cat.fits,14.8,-29.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_14.8_-29.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_150.1_2.2_ugriZYJHKs_cat.fits,150.1,2.2,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_150.1_2.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_15.0_-30.2_ugriZYJHKs_cat.fits,15.0,-30.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_15.0_-30.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_15.1_-31.2_ugriZYJHKs_cat.fits,15.1,-31.2,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_15.1_-31.2_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_15.3_-32.1_ugriZYJHKs_cat.fits,15.3,-32.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_15.3_-32.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_15.4_-33.1_ugriZYJHKs_cat.fits,15.4,-33.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_15.4_-33.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_156.0_-0.5_ugriZYJHKs_cat.fits,156.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_156.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_156.0_0.5_ugriZYJHKs_cat.fits,156.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_156.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_156.0_-1.5_ugriZYJHKs_cat.fits,156.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_156.0_-1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_156.0_1.5_ugriZYJHKs_cat.fits,156.0,1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_156.0_1.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_15.6_-34.1_ugriZYJHKs_cat.fits,15.6,-34.1,KiDS-S,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_15.6_-34.1_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_157.0_-0.5_ugriZYJHKs_cat.fits,157.0,-0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_157.0_-0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.0_157.0_0.5_ugriZYJHKs_cat.fits,157.0,0.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.0_157.0_0.5_ugriZYJHKs_cat.fits
DR4.0,KiDS_DR4.1_157.0_-1.5_ugriZYJHKs_cat.fits,157.0,-1.5,KiDS-N,http://ds.astro.rug.astro-wise.org:8000/KiDS_DR4.1_157.0_-1.5_ugriZYJHKs_cat.fits
