brickname,ra,dec,ra1,ra2,dec1,dec2
1286p020,128.625,2,128.5,128.75,1.875,2.125
1286p022,128.625,2.25,128.5,128.75,2.125,2.375
1286p025,128.625,2.5,128.5,128.75,2.375,2.625
1286p027,128.625,2.75,128.5,128.75,2.625,2.875
1286p030,128.625,3,128.5,128.75,2.875,3.125
1288m002,128.875,-0.25,128.75,129,-0.375,-0.125
1288m005,128.875,-0.5,128.75,129,-0.625,-0.375
1288m007,128.875,-0.75,128.75,129,-0.875,-0.625
1288m010,128.875,-1,128.75,129,-1.125,-0.875
1288m012,128.875,-1.25,128.75,129,-1.375,-1.125
1288m015,128.875,-1.5,128.75,129,-1.625,-1.375
1288m017,128.875,-1.75,128.75,129,-1.875,-1.625
1288m020,128.875,-2,128.75,129,-2.125,-1.875
1288m022,128.875,-2.25,128.75,129,-2.375,-2.125
1288m025,128.875,-2.5,128.75,129,-2.625,-2.375
1288m027,128.875,-2.75,128.75,129,-2.875,-2.625
1288m030,128.875,-3,128.75,129,-3.125,-2.875
1288m032,128.8038942976356,-3.25,128.6787204450626,128.92906815020865,-3.375,-3.125
1288m035,128.8038942976356,-3.5,128.6787204450626,128.92906815020865,-3.625,-3.375
1288p000,128.875,0,128.75,129,-0.125,0.125
1288p002,128.875,0.25,128.75,129,0.125,0.375
1288p005,128.875,0.5,128.75,129,0.375,0.625
1288p007,128.875,0.75,128.75,129,0.625,0.875
1288p010,128.875,1,128.75,129,0.875,1.125
1288p012,128.875,1.25,128.75,129,1.125,1.375
1288p015,128.875,1.5,128.75,129,1.375,1.625
1288p017,128.875,1.75,128.75,129,1.625,1.875
1288p020,128.875,2,128.75,129,1.875,2.125
1288p022,128.875,2.25,128.75,129,2.125,2.375
1288p025,128.875,2.5,128.75,129,2.375,2.625
1288p027,128.875,2.75,128.75,129,2.625,2.875
1288p030,128.875,3,128.75,129,2.875,3.125
1288p032,128.8038942976356,3.25,128.6787204450626,128.92906815020865,3.125,3.375
1288p035,128.8038942976356,3.5,128.6787204450626,128.92906815020865,3.375,3.625
1290m032,129.05424200278165,-3.25,128.92906815020865,129.1794158553547,-3.375,-3.125
1290m035,129.05424200278165,-3.5,128.92906815020865,129.1794158553547,-3.625,-3.375
1290p032,129.05424200278165,3.25,128.92906815020865,129.1794158553547,3.125,3.375
1290p035,129.05424200278165,3.5,128.92906815020865,129.1794158553547,3.375,3.625
1291m002,129.125,-0.25,129,129.25,-0.375,-0.125
1291m005,129.125,-0.5,129,129.25,-0.625,-0.375
1291m007,129.125,-0.75,129,129.25,-0.875,-0.625
1291m010,129.125,-1,129,129.25,-1.125,-0.875
1291m012,129.125,-1.25,129,129.25,-1.375,-1.125
1291m015,129.125,-1.5,129,129.25,-1.625,-1.375
1291m017,129.125,-1.75,129,129.25,-1.875,-1.625
1291m020,129.125,-2,129,129.25,-2.125,-1.875
1291m022,129.125,-2.25,129,129.25,-2.375,-2.125
1291m025,129.125,-2.5,129,129.25,-2.625,-2.375
1291m027,129.125,-2.75,129,129.25,-2.875,-2.625
1291m030,129.125,-3,129,129.25,-3.125,-2.875
1291p000,129.125,0,129,129.25,-0.125,0.125
1291p002,129.125,0.25,129,129.25,0.125,0.375
1291p005,129.125,0.5,129,129.25,0.375,0.625
1291p007,129.125,0.75,129,129.25,0.625,0.875
1291p010,129.125,1,129,129.25,0.875,1.125
1291p012,129.125,1.25,129,129.25,1.125,1.375
1291p015,129.125,1.5,129,129.25,1.375,1.625
1291p017,129.125,1.75,129,129.25,1.625,1.875
1291p020,129.125,2,129,129.25,1.875,2.125
1291p022,129.125,2.25,129,129.25,2.125,2.375
1291p025,129.125,2.5,129,129.25,2.375,2.625
1291p027,129.125,2.75,129,129.25,2.625,2.875
1291p030,129.125,3,129,129.25,2.875,3.125
1293m002,129.375,-0.25,129.25,129.5,-0.375,-0.125
1293m005,129.375,-0.5,129.25,129.5,-0.625,-0.375
1293m007,129.375,-0.75,129.25,129.5,-0.875,-0.625
1293m010,129.375,-1,129.25,129.5,-1.125,-0.875
1293m012,129.375,-1.25,129.25,129.5,-1.375,-1.125
1293m015,129.375,-1.5,129.25,129.5,-1.625,-1.375
1293m017,129.375,-1.75,129.25,129.5,-1.875,-1.625
1293m020,129.375,-2,129.25,129.5,-2.125,-1.875
1293m022,129.375,-2.25,129.25,129.5,-2.375,-2.125
1293m025,129.375,-2.5,129.25,129.5,-2.625,-2.375
1293m027,129.375,-2.75,129.25,129.5,-2.875,-2.625
1293m030,129.375,-3,129.25,129.5,-3.125,-2.875
1293m032,129.30458970792768,-3.25,129.17941585535465,129.4297635605007,-3.375,-3.125
1293m035,129.30458970792768,-3.5,129.17941585535465,129.4297635605007,-3.625,-3.375
1293p000,129.375,0,129.25,129.5,-0.125,0.125
1293p002,129.375,0.25,129.25,129.5,0.125,0.375
1293p005,129.375,0.5,129.25,129.5,0.375,0.625
1293p007,129.375,0.75,129.25,129.5,0.625,0.875
1293p010,129.375,1,129.25,129.5,0.875,1.125
1293p012,129.375,1.25,129.25,129.5,1.125,1.375
1293p015,129.375,1.5,129.25,129.5,1.375,1.625
1293p017,129.375,1.75,129.25,129.5,1.625,1.875
1293p020,129.375,2,129.25,129.5,1.875,2.125
1293p022,129.375,2.25,129.25,129.5,2.125,2.375
1293p025,129.375,2.5,129.25,129.5,2.375,2.625
1293p027,129.375,2.75,129.25,129.5,2.625,2.875
1293p030,129.375,3,129.25,129.5,2.875,3.125
1293p032,129.30458970792768,3.25,129.17941585535465,129.4297635605007,3.125,3.375
1293p035,129.30458970792768,3.5,129.17941585535465,129.4297635605007,3.375,3.625
1295m032,129.5549374130737,-3.25,129.42976356050065,129.6801112656467,-3.375,-3.125
1295m035,129.5549374130737,-3.5,129.42976356050065,129.6801112656467,-3.625,-3.375
1295p032,129.5549374130737,3.25,129.42976356050065,129.6801112656467,3.125,3.375
1295p035,129.5549374130737,3.5,129.42976356050065,129.6801112656467,3.375,3.625
1296m002,129.625,-0.25,129.5,129.75,-0.375,-0.125
1296m005,129.625,-0.5,129.5,129.75,-0.625,-0.375
1296m007,129.625,-0.75,129.5,129.75,-0.875,-0.625
1296m010,129.625,-1,129.5,129.75,-1.125,-0.875
1296m012,129.625,-1.25,129.5,129.75,-1.375,-1.125
1296m015,129.625,-1.5,129.5,129.75,-1.625,-1.375
1296m017,129.625,-1.75,129.5,129.75,-1.875,-1.625
1296m020,129.625,-2,129.5,129.75,-2.125,-1.875
1296m022,129.625,-2.25,129.5,129.75,-2.375,-2.125
1296m025,129.625,-2.5,129.5,129.75,-2.625,-2.375
1296m027,129.625,-2.75,129.5,129.75,-2.875,-2.625
1296m030,129.625,-3,129.5,129.75,-3.125,-2.875
1296p000,129.625,0,129.5,129.75,-0.125,0.125
1296p002,129.625,0.25,129.5,129.75,0.125,0.375
1296p005,129.625,0.5,129.5,129.75,0.375,0.625
1296p007,129.625,0.75,129.5,129.75,0.625,0.875
1296p010,129.625,1,129.5,129.75,0.875,1.125
1296p012,129.625,1.25,129.5,129.75,1.125,1.375
1296p015,129.625,1.5,129.5,129.75,1.375,1.625
1296p017,129.625,1.75,129.5,129.75,1.625,1.875
1296p020,129.625,2,129.5,129.75,1.875,2.125
1296p022,129.625,2.25,129.5,129.75,2.125,2.375
1296p025,129.625,2.5,129.5,129.75,2.375,2.625
1296p027,129.625,2.75,129.5,129.75,2.625,2.875
1296p030,129.625,3,129.5,129.75,2.875,3.125
1298m002,129.875,-0.25,129.75,130,-0.375,-0.125
1298m005,129.875,-0.5,129.75,130,-0.625,-0.375
1298m007,129.875,-0.75,129.75,130,-0.875,-0.625
1298m010,129.875,-1,129.75,130,-1.125,-0.875
1298m012,129.875,-1.25,129.75,130,-1.375,-1.125
1298m015,129.875,-1.5,129.75,130,-1.625,-1.375
1298m017,129.875,-1.75,129.75,130,-1.875,-1.625
1298m020,129.875,-2,129.75,130,-2.125,-1.875
1298m022,129.875,-2.25,129.75,130,-2.375,-2.125
1298m025,129.875,-2.5,129.75,130,-2.625,-2.375
1298m027,129.875,-2.75,129.75,130,-2.875,-2.625
1298m030,129.875,-3,129.75,130,-3.125,-2.875
1298m032,129.80528511821976,-3.25,129.6801112656467,129.93045897079276,-3.375,-3.125
1298m035,129.80528511821976,-3.5,129.6801112656467,129.93045897079276,-3.625,-3.375
1298p000,129.875,0,129.75,130,-0.125,0.125
1298p002,129.875,0.25,129.75,130,0.125,0.375
1298p005,129.875,0.5,129.75,130,0.375,0.625
1298p007,129.875,0.75,129.75,130,0.625,0.875
1298p010,129.875,1,129.75,130,0.875,1.125
1298p012,129.875,1.25,129.75,130,1.125,1.375
1298p015,129.875,1.5,129.75,130,1.375,1.625
1298p017,129.875,1.75,129.75,130,1.625,1.875
1298p020,129.875,2,129.75,130,1.875,2.125
1298p022,129.875,2.25,129.75,130,2.125,2.375
1298p025,129.875,2.5,129.75,130,2.375,2.625
1298p027,129.875,2.75,129.75,130,2.625,2.875
1298p030,129.875,3,129.75,130,2.875,3.125
1298p032,129.80528511821976,3.25,129.6801112656467,129.93045897079276,3.125,3.375
1298p035,129.80528511821976,3.5,129.6801112656467,129.93045897079276,3.375,3.625
1300m032,130.05563282336578,-3.25,129.93045897079276,130.1808066759388,-3.375,-3.125
1300m035,130.05563282336578,-3.5,129.93045897079276,130.1808066759388,-3.625,-3.375
1300p032,130.05563282336578,3.25,129.93045897079276,130.1808066759388,3.125,3.375
1300p035,130.05563282336578,3.5,129.93045897079276,130.1808066759388,3.375,3.625
1301m002,130.125,-0.25,130,130.25,-0.375,-0.125
1301m005,130.125,-0.5,130,130.25,-0.625,-0.375
1301m007,130.125,-0.75,130,130.25,-0.875,-0.625
1301m010,130.125,-1,130,130.25,-1.125,-0.875
1301m012,130.125,-1.25,130,130.25,-1.375,-1.125
1301m015,130.125,-1.5,130,130.25,-1.625,-1.375
1301m017,130.125,-1.75,130,130.25,-1.875,-1.625
1301m020,130.125,-2,130,130.25,-2.125,-1.875
1301m022,130.125,-2.25,130,130.25,-2.375,-2.125
1301m025,130.125,-2.5,130,130.25,-2.625,-2.375
1301m027,130.125,-2.75,130,130.25,-2.875,-2.625
1301m030,130.125,-3,130,130.25,-3.125,-2.875
1301p000,130.125,0,130,130.25,-0.125,0.125
1301p002,130.125,0.25,130,130.25,0.125,0.375
1301p005,130.125,0.5,130,130.25,0.375,0.625
1301p007,130.125,0.75,130,130.25,0.625,0.875
1301p010,130.125,1,130,130.25,0.875,1.125
1301p012,130.125,1.25,130,130.25,1.125,1.375
1301p015,130.125,1.5,130,130.25,1.375,1.625
1301p017,130.125,1.75,130,130.25,1.625,1.875
1301p020,130.125,2,130,130.25,1.875,2.125
1301p022,130.125,2.25,130,130.25,2.125,2.375
1301p025,130.125,2.5,130,130.25,2.375,2.625
1301p027,130.125,2.75,130,130.25,2.625,2.875
1301p030,130.125,3,130,130.25,2.875,3.125
1303m002,130.375,-0.25,130.25,130.5,-0.375,-0.125
1303m005,130.375,-0.5,130.25,130.5,-0.625,-0.375
1303m007,130.375,-0.75,130.25,130.5,-0.875,-0.625
1303m010,130.375,-1,130.25,130.5,-1.125,-0.875
1303m012,130.375,-1.25,130.25,130.5,-1.375,-1.125
1303m015,130.375,-1.5,130.25,130.5,-1.625,-1.375
1303m017,130.375,-1.75,130.25,130.5,-1.875,-1.625
1303m020,130.375,-2,130.25,130.5,-2.125,-1.875
1303m022,130.375,-2.25,130.25,130.5,-2.375,-2.125
1303m025,130.375,-2.5,130.25,130.5,-2.625,-2.375
1303m027,130.375,-2.75,130.25,130.5,-2.875,-2.625
1303m030,130.375,-3,130.25,130.5,-3.125,-2.875
1303m032,130.3059805285118,-3.25,130.1808066759388,130.43115438108487,-3.375,-3.125
1303m035,130.3059805285118,-3.5,130.1808066759388,130.43115438108487,-3.625,-3.375
1303p000,130.375,0,130.25,130.5,-0.125,0.125
1303p002,130.375,0.25,130.25,130.5,0.125,0.375
1303p005,130.375,0.5,130.25,130.5,0.375,0.625
1303p007,130.375,0.75,130.25,130.5,0.625,0.875
1303p010,130.375,1,130.25,130.5,0.875,1.125
1303p012,130.375,1.25,130.25,130.5,1.125,1.375
1303p015,130.375,1.5,130.25,130.5,1.375,1.625
1303p017,130.375,1.75,130.25,130.5,1.625,1.875
1303p020,130.375,2,130.25,130.5,1.875,2.125
1303p022,130.375,2.25,130.25,130.5,2.125,2.375
1303p025,130.375,2.5,130.25,130.5,2.375,2.625
1303p027,130.375,2.75,130.25,130.5,2.625,2.875
1303p030,130.375,3,130.25,130.5,2.875,3.125
1303p032,130.3059805285118,3.25,130.1808066759388,130.43115438108487,3.125,3.375
1303p035,130.3059805285118,3.5,130.1808066759388,130.43115438108487,3.375,3.625
1305m032,130.55632823365787,-3.25,130.43115438108487,130.68150208623092,-3.375,-3.125
1305m035,130.55632823365787,-3.5,130.43115438108487,130.68150208623092,-3.625,-3.375
1305p032,130.55632823365787,3.25,130.43115438108487,130.68150208623092,3.125,3.375
1305p035,130.55632823365787,3.5,130.43115438108487,130.68150208623092,3.375,3.625
1306m002,130.625,-0.25,130.5,130.75,-0.375,-0.125
1306m005,130.625,-0.5,130.5,130.75,-0.625,-0.375
1306m007,130.625,-0.75,130.5,130.75,-0.875,-0.625
1306m010,130.625,-1,130.5,130.75,-1.125,-0.875
1306m012,130.625,-1.25,130.5,130.75,-1.375,-1.125
1306m015,130.625,-1.5,130.5,130.75,-1.625,-1.375
1306m017,130.625,-1.75,130.5,130.75,-1.875,-1.625
1306m020,130.625,-2,130.5,130.75,-2.125,-1.875
1306m022,130.625,-2.25,130.5,130.75,-2.375,-2.125
1306m025,130.625,-2.5,130.5,130.75,-2.625,-2.375
1306m027,130.625,-2.75,130.5,130.75,-2.875,-2.625
1306m030,130.625,-3,130.5,130.75,-3.125,-2.875
1306p000,130.625,0,130.5,130.75,-0.125,0.125
1306p002,130.625,0.25,130.5,130.75,0.125,0.375
1306p005,130.625,0.5,130.5,130.75,0.375,0.625
1306p007,130.625,0.75,130.5,130.75,0.625,0.875
1306p010,130.625,1,130.5,130.75,0.875,1.125
1306p012,130.625,1.25,130.5,130.75,1.125,1.375
1306p015,130.625,1.5,130.5,130.75,1.375,1.625
1306p017,130.625,1.75,130.5,130.75,1.625,1.875
1306p020,130.625,2,130.5,130.75,1.875,2.125
1306p022,130.625,2.25,130.5,130.75,2.125,2.375
1306p025,130.625,2.5,130.5,130.75,2.375,2.625
1306p027,130.625,2.75,130.5,130.75,2.625,2.875
1306p030,130.625,3,130.5,130.75,2.875,3.125
1308m002,130.875,-0.25,130.75,131,-0.375,-0.125
1308m005,130.875,-0.5,130.75,131,-0.625,-0.375
1308m007,130.875,-0.75,130.75,131,-0.875,-0.625
1308m010,130.875,-1,130.75,131,-1.125,-0.875
1308m012,130.875,-1.25,130.75,131,-1.375,-1.125
1308m015,130.875,-1.5,130.75,131,-1.625,-1.375
1308m017,130.875,-1.75,130.75,131,-1.875,-1.625
1308m020,130.875,-2,130.75,131,-2.125,-1.875
1308m022,130.875,-2.25,130.75,131,-2.375,-2.125
1308m025,130.875,-2.5,130.75,131,-2.625,-2.375
1308m027,130.875,-2.75,130.75,131,-2.875,-2.625
1308m030,130.875,-3,130.75,131,-3.125,-2.875
1308m032,130.8066759388039,-3.25,130.68150208623086,130.93184979137692,-3.375,-3.125
1308m035,130.8066759388039,-3.5,130.68150208623086,130.93184979137692,-3.625,-3.375
1308p000,130.875,0,130.75,131,-0.125,0.125
1308p002,130.875,0.25,130.75,131,0.125,0.375
1308p005,130.875,0.5,130.75,131,0.375,0.625
1308p007,130.875,0.75,130.75,131,0.625,0.875
1308p010,130.875,1,130.75,131,0.875,1.125
1308p012,130.875,1.25,130.75,131,1.125,1.375
1308p015,130.875,1.5,130.75,131,1.375,1.625
1308p017,130.875,1.75,130.75,131,1.625,1.875
1308p020,130.875,2,130.75,131,1.875,2.125
1308p022,130.875,2.25,130.75,131,2.125,2.375
1308p025,130.875,2.5,130.75,131,2.375,2.625
1308p027,130.875,2.75,130.75,131,2.625,2.875
1308p030,130.875,3,130.75,131,2.875,3.125
1308p032,130.8066759388039,3.25,130.68150208623086,130.93184979137692,3.125,3.375
1308p035,130.8066759388039,3.5,130.68150208623086,130.93184979137692,3.375,3.625
1310m032,131.05702364394992,-3.25,130.93184979137686,131.18219749652292,-3.375,-3.125
1310m035,131.05702364394992,-3.5,130.93184979137686,131.18219749652292,-3.625,-3.375
1310p032,131.05702364394992,3.25,130.93184979137686,131.18219749652292,3.125,3.375
1310p035,131.05702364394992,3.5,130.93184979137686,131.18219749652292,3.375,3.625
1311m002,131.125,-0.25,131,131.25,-0.375,-0.125
1311m005,131.125,-0.5,131,131.25,-0.625,-0.375
1311m007,131.125,-0.75,131,131.25,-0.875,-0.625
1311m010,131.125,-1,131,131.25,-1.125,-0.875
1311m012,131.125,-1.25,131,131.25,-1.375,-1.125
1311m015,131.125,-1.5,131,131.25,-1.625,-1.375
1311m017,131.125,-1.75,131,131.25,-1.875,-1.625
1311m020,131.125,-2,131,131.25,-2.125,-1.875
1311m022,131.125,-2.25,131,131.25,-2.375,-2.125
1311m025,131.125,-2.5,131,131.25,-2.625,-2.375
1311m027,131.125,-2.75,131,131.25,-2.875,-2.625
1311m030,131.125,-3,131,131.25,-3.125,-2.875
1311p000,131.125,0,131,131.25,-0.125,0.125
1311p002,131.125,0.25,131,131.25,0.125,0.375
1311p005,131.125,0.5,131,131.25,0.375,0.625
1311p007,131.125,0.75,131,131.25,0.625,0.875
1311p010,131.125,1,131,131.25,0.875,1.125
1311p012,131.125,1.25,131,131.25,1.125,1.375
1311p015,131.125,1.5,131,131.25,1.375,1.625
1311p017,131.125,1.75,131,131.25,1.625,1.875
1311p020,131.125,2,131,131.25,1.875,2.125
1311p022,131.125,2.25,131,131.25,2.125,2.375
1311p025,131.125,2.5,131,131.25,2.375,2.625
1311p027,131.125,2.75,131,131.25,2.625,2.875
1311p030,131.125,3,131,131.25,2.875,3.125
1313m002,131.375,-0.25,131.25,131.5,-0.375,-0.125
1313m005,131.375,-0.5,131.25,131.5,-0.625,-0.375
1313m007,131.375,-0.75,131.25,131.5,-0.875,-0.625
1313m010,131.375,-1,131.25,131.5,-1.125,-0.875
1313m012,131.375,-1.25,131.25,131.5,-1.375,-1.125
1313m015,131.375,-1.5,131.25,131.5,-1.625,-1.375
1313m017,131.375,-1.75,131.25,131.5,-1.875,-1.625
1313m020,131.375,-2,131.25,131.5,-2.125,-1.875
1313m022,131.375,-2.25,131.25,131.5,-2.375,-2.125
1313m025,131.375,-2.5,131.25,131.5,-2.625,-2.375
1313m027,131.375,-2.75,131.25,131.5,-2.875,-2.625
1313m030,131.375,-3,131.25,131.5,-3.125,-2.875
1313m032,131.30737134909597,-3.25,131.18219749652292,131.43254520166897,-3.375,-3.125
1313m035,131.30737134909597,-3.5,131.18219749652292,131.43254520166897,-3.625,-3.375
1313p000,131.375,0,131.25,131.5,-0.125,0.125
1313p002,131.375,0.25,131.25,131.5,0.125,0.375
1313p005,131.375,0.5,131.25,131.5,0.375,0.625
1313p007,131.375,0.75,131.25,131.5,0.625,0.875
1313p010,131.375,1,131.25,131.5,0.875,1.125
1313p012,131.375,1.25,131.25,131.5,1.125,1.375
1313p015,131.375,1.5,131.25,131.5,1.375,1.625
1313p017,131.375,1.75,131.25,131.5,1.625,1.875
1313p020,131.375,2,131.25,131.5,1.875,2.125
1313p022,131.375,2.25,131.25,131.5,2.125,2.375
1313p025,131.375,2.5,131.25,131.5,2.375,2.625
1313p027,131.375,2.75,131.25,131.5,2.625,2.875
1313p030,131.375,3,131.25,131.5,2.875,3.125
1313p032,131.30737134909597,3.25,131.18219749652292,131.43254520166897,3.125,3.375
1313p035,131.30737134909597,3.5,131.18219749652292,131.43254520166897,3.375,3.625
1315m032,131.557719054242,-3.25,131.43254520166897,131.68289290681503,-3.375,-3.125
1315m035,131.557719054242,-3.5,131.43254520166897,131.68289290681503,-3.625,-3.375
1315p032,131.557719054242,3.25,131.43254520166897,131.68289290681503,3.125,3.375
1315p035,131.557719054242,3.5,131.43254520166897,131.68289290681503,3.375,3.625
1316m002,131.625,-0.25,131.5,131.75,-0.375,-0.125
1316m005,131.625,-0.5,131.5,131.75,-0.625,-0.375
1316m007,131.625,-0.75,131.5,131.75,-0.875,-0.625
1316m010,131.625,-1,131.5,131.75,-1.125,-0.875
1316m012,131.625,-1.25,131.5,131.75,-1.375,-1.125
1316m015,131.625,-1.5,131.5,131.75,-1.625,-1.375
1316m017,131.625,-1.75,131.5,131.75,-1.875,-1.625
1316m020,131.625,-2,131.5,131.75,-2.125,-1.875
1316m022,131.625,-2.25,131.5,131.75,-2.375,-2.125
1316m025,131.625,-2.5,131.5,131.75,-2.625,-2.375
1316m027,131.625,-2.75,131.5,131.75,-2.875,-2.625
1316m030,131.625,-3,131.5,131.75,-3.125,-2.875
1316p000,131.625,0,131.5,131.75,-0.125,0.125
1316p002,131.625,0.25,131.5,131.75,0.125,0.375
1316p005,131.625,0.5,131.5,131.75,0.375,0.625
1316p007,131.625,0.75,131.5,131.75,0.625,0.875
1316p010,131.625,1,131.5,131.75,0.875,1.125
1316p012,131.625,1.25,131.5,131.75,1.125,1.375
1316p015,131.625,1.5,131.5,131.75,1.375,1.625
1316p017,131.625,1.75,131.5,131.75,1.625,1.875
1316p020,131.625,2,131.5,131.75,1.875,2.125
1316p022,131.625,2.25,131.5,131.75,2.125,2.375
1316p025,131.625,2.5,131.5,131.75,2.375,2.625
1316p027,131.625,2.75,131.5,131.75,2.625,2.875
1316p030,131.625,3,131.5,131.75,2.875,3.125
1318m002,131.875,-0.25,131.75,132,-0.375,-0.125
1318m005,131.875,-0.5,131.75,132,-0.625,-0.375
1318m007,131.875,-0.75,131.75,132,-0.875,-0.625
1318m010,131.875,-1,131.75,132,-1.125,-0.875
1318m012,131.875,-1.25,131.75,132,-1.375,-1.125
1318m015,131.875,-1.5,131.75,132,-1.625,-1.375
1318m017,131.875,-1.75,131.75,132,-1.875,-1.625
1318m020,131.875,-2,131.75,132,-2.125,-1.875
1318m022,131.875,-2.25,131.75,132,-2.375,-2.125
1318m025,131.875,-2.5,131.75,132,-2.625,-2.375
1318m027,131.875,-2.75,131.75,132,-2.875,-2.625
1318m030,131.875,-3,131.75,132,-3.125,-2.875
1318m032,131.80806675938803,-3.25,131.68289290681503,131.93324061196108,-3.375,-3.125
1318m035,131.80806675938803,-3.5,131.68289290681503,131.93324061196108,-3.625,-3.375
1318p000,131.875,0,131.75,132,-0.125,0.125
1318p002,131.875,0.25,131.75,132,0.125,0.375
1318p005,131.875,0.5,131.75,132,0.375,0.625
