element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ti	2	"325.71470"	"0.00002"	"325.714720"	"0.000024"	"88"	""		"5.21587241"	"9.02130230"	"3d2.(3P).4p"	"z 4P*"	"3/2"	"3d2.(3P).5s"	"4P"	"5/2"	4	6		""	"u37"	
Ti	2	"325.73238"	"0.00002"	"325.732388"	"0.000020"	"136"	""		"5.69194831"	"9.49717180"	"3d2.(1G).4p"	"z 2H*"	"11/2"	"3d2.(1G).5s"	"2G"	"9/2"	12	10		""	"u37"	
Ti	1	"325.8265"	"0.0004"	"325.8270"	"0.0003"	"6"	""		"2.2555912"	"6.059710"	"3d3.(2H).4s"	"a 3H"	"6"	"3d2.4s.(2F).5p"	"3G*"	"5"	13	11		""	"L10989"	
Ti	2	"325.86365"	"0.00015"	"325.863698"	"0.000014"	"7"	""		"4.06261454"	"7.86630473"	"3d2.(3F).4p"	"z 4D*"	"7/2"	"3d2.(3F).5s"	"e 2F"	"7/2"	8	8		""	"u37"	
Ti	1	"325.9045"	"0.0004"	"325.90445"	"0.00005"	"4"	""		"1.42975614"	"5.2329707"	"3d3.(4F).4s"	"b 3F"	"2"	"3d.4s2.4p"	"q 3D*"	"2"	5	5		""	"L10989"	
Ti	1	"325.9420"	"0.0004"	"325.94208"	"0.00005"	"5"	""		"1.44315262"	"5.2459282"	"3d3.(4F).4s"	"b 3F"	"3"	"3d.4s2.4p"	"q 3D*"	"3"	7	7		""	"L10989"	
Ti	2	"326.02010"	"0.00002"	"326.020095"	"0.000018"	"79"	""		"5.20693336"	"9.00879892"	"3d2.(3P).4p"	"z 4P*"	"1/2"	"3d2.(3P).5s"	"4P"	"3/2"	2	4		""	"u37"	
Ti	2	"326.02701"	"0.00002"	"326.027071"	"0.000015"	"69bl"	"6.23e+06"	B+	"1.16095611"	"4.96274032"	"3d3"	"a 4P"	"1/2"	"3d2.(3P).4p"	"z 4S*"	"3/2"	2	4		"T7385"	"u37"	
Ti	1	"326.02706"	"0.00013"	"326.02690"	"0.00007"	"15"	""		"1.06655474"	"4.8683410"	"3d2.4s2"	"a 3P"	"2"	"3d.4s2.4p"	"w 1D*"	"2"	5	5		""	"L10989"	
Ti	1	"326.0403"	"0.0004"	"326.04057"	"0.00004"	"5"	""		"1.42975614"	"5.2313829"	"3d3.(4F).4s"	"b 3F"	"2"	"3d2.4s.(4F).5p"	"5D*"	"1"	5	3		""	"L10989"	
Ti	2	"326.15845"	"0.00002"	"326.158451"	"0.000015"	"1320"	"1.77e+08"	B+	"1.89169544"	"5.69194831"	"3d2.(1G).4s"	"b 2G"	"9/2"	"3d2.(1G).4p"	"z 2H*"	"11/2"	10	12		"T7385"	"u37"	
Ti	2	"326.16114"	"0.00002"	"326.161143"	"0.000011"	"1460"	"1.31e+08"	B+	"1.23125938"	"5.03148088"	"3d2.(3P).4s"	"b 4P"	"3/2"	"3d2.(3P).4p"	"y 4D*"	"5/2"	4	6		"T7385"	"u37"	
Ti	1	"326.2644"	"0.0004"	"326.26460"	"0.00006"	"4"	""		"1.0460073"	"4.8450239"	"3d2.4s2"	"a 3P"	"0"	"3d3.(2D2).4p"	"x 1P*"	"1"	1	3		""	"L10989"	
Ti	3	"326.3426"	""	"326.3421+"	""	"1"	""		"15.937720"	"19.735834"	"3p6.3d.4d"	"3D"	"2"	"3p6.3d.4f"	"1F*"	"3"	5	7		""	"L3593"	
Ti	2	"326.36831"	"0.00002"	"326.368310"	"0.000019"	"89"	"1.15e+07"	B+	"1.16493098"	"4.96274032"	"3d3"	"a 4P"	"3/2"	"3d2.(3P).4p"	"z 4S*"	"3/2"	4	4		"T7385"	"u37"	
Ti	1	"326.3841"	"0.0004"	"326.38410"	"0.00007"	"7"	""		"1.44315262"	"5.2407782"	"3d3.(4F).4s"	"b 3F"	"3"	"3d2.4s.(4F).5p"	"5D*"	"2"	7	5		""	"L10989"	
Ti	1	"326.54762"	"0.00013"	"326.54753"	"0.00005"	"9"	""		"1.42975614"	"5.2254812"	"3d3.(4F).4s"	"b 3F"	"2"	"3d.4s2.4p"	"q 3D*"	"1"	5	3		""	"L10989"	
Ti	2	"326.67821"	"0.00007"	"326.678186"	"0.000022"	"14"	""		"5.20693336"	"9.00114035"	"3d2.(3P).4p"	"z 4P*"	"1/2"	"3d2.(3P).5s"	"4P"	"1/2"	2	2		""	"u37"	
Ti	1	"326.70664"	"0.00013"	"326.70659"	"0.00006"	"6"	""		"1.46013860"	"5.2540158"	"3d3.(4F).4s"	"b 3F"	"4"	"3d2.4s.(4F).5p"	"5D*"	"3"	9	7		""	"L10989"	
Ti	1	"326.7411"	"0.0004"	"326.74114"	"0.00006"	"3"	""		"0.8995494"	"4.6930253"	"3d2.4s2"	"a 1D"	"2"	"3d2.(3P).4s.4p.(1P*)"	"u 3D*"	"1"	5	3		""	"L10989"	
Ti	2	"326.78841"	"0.00004"	"326.788476"	"0.000024"	"26"	""		"5.21587241"	"9.00879892"	"3d2.(3P).4p"	"z 4P*"	"3/2"	"3d2.(3P).5s"	"4P"	"3/2"	4	4		""	"u37"	
Ti	1	"326.86002"	"0.00013"	"326.85990"	"0.00005"	"6"	""		"1.05292613"	"4.8450239"	"3d2.4s2"	"a 3P"	"1"	"3d3.(2D2).4p"	"x 1P*"	"1"	3	3		""	"L10989"	
Ti	1	"327.05667"	"0.00013"	"327.05652"	"0.00005"	"11"	""		"1.44315262"	"5.2329707"	"3d3.(4F).4s"	"b 3F"	"3"	"3d.4s2.4p"	"q 3D*"	"2"	7	5		""	"L10989"	
Ti	2	"327.06166"	"0.00009"	"327.061652"	"0.000013"	"12"	""		"4.04221051"	"7.83196911"	"3d2.(3F).4p"	"z 4D*"	"3/2"	"3d2.(3F).5s"	"e 2F"	"5/2"	4	6		""	"u37"	
Ti	2	"327.16479"	"0.00002"	"327.164786"	"0.000011"	"710"	"5.39e+07"	B+	"1.24291690"	"5.03148088"	"3d2.(3P).4s"	"b 4P"	"5/2"	"3d2.(3P).4p"	"y 4D*"	"5/2"	6	6		"T7385"	"u37"	
Ti	2	"327.20758"	"0.00002"	"327.207002"	"0.000018"	"720*"	""		"5.23322711"	"9.02130230"	"3d2.(3P).4p"	"z 4P*"	"5/2"	"3d2.(3P).5s"	"4P"	"5/2"	6	6		""	"u37"	
Ti	2	"327.20758"	"0.00002"	"327.20773"	"0.00003"	"720*"	"1.00e+08"	B+	"1.2240835"	"5.01215028"	"3d2.(3P).4s"	"b 4P"	"1/2"	"3d2.(3P).4p"	"y 4D*"	"3/2"	2	4		"T7385"	"u37"	
Ti	1	"327.3121"	"0.0004"	"327.31212"	"0.00010"	"5"	""		"2.2492302"	"6.0360889"	"3d3.(2H).4s"	"a 3H"	"5"	"3d2.4s.(2F).5p"	"3G*"	"4"	11	9		""	"L10989"	
Ti	2	"327.3444"	"0.0003"	"327.34429"	"0.00004"	"4"	""		"6.53461713"	"10.3211037"	"3d.(2D).4s.4p.(3P*)"	"4F*"	"7/2"	"3d2.(3F).6s"	"2F"	"5/2"	8	6		""	"u37"	
Ti	1	"327.40448"	"0.00013"	"327.40456"	"0.00005"	"8"	""		"1.46013860"	"5.2459282"	"3d3.(4F).4s"	"b 3F"	"4"	"3d.4s2.4p"	"q 3D*"	"3"	9	7		""	"L10989"	
Ti	2	"327.44147"	"0.00009"	"327.441392"	"0.000019"	"12"	"1.27e+06"	C+	"1.16493098"	"4.95029467"	"3d3"	"a 4P"	"3/2"	"3d2.(1D).4p"	"y 2F*"	"5/2"	4	6		"T7385"	"u37"	
Ti	2	"327.44967"	"0.00002"	"327.44968"	"0.00003"	"76"	""		"5.21587241"	"9.00114035"	"3d2.(3P).4p"	"z 4P*"	"3/2"	"3d2.(3P).5s"	"4P"	"1/2"	4	2		""	"u37"	
Ti	2	"327.52902"	"0.00002"	"327.529034"	"0.000011"	"56"	"4.94e+06"	B+	"1.07997273"	"4.86432355"	"3d2.(1D).4s"	"a 2D"	"3/2"	"3d2.(1D).4p"	"z 2P*"	"3/2"	4	4		"T7385"	"u37"	
Ti	2	"327.60535"	"0.00014"	"327.605245"	"0.000012"	"8"	""		"3.93732163"	"7.72079212"	"3d2.(3F).4p"	"z 2D*"	"3/2"	"3d2.(3F).5s"	"e 4F"	"5/2"	4	6		""	"u37"	
Ti	2	"327.67717"	"0.00002"	"327.677181"	"0.000015"	"167"	"2.01e+07"	B+	"1.18010040"	"4.96274032"	"3d3"	"a 4P"	"5/2"	"3d2.(3P).4p"	"z 4S*"	"3/2"	6	4		"T7385"	"u37"	
Ti	2	"327.69917"	"0.00003"	"327.699163"	"0.000009"	"29"	""		"0.12199000"	"3.90437619"	"3d3"	"b 4F"	"5/2"	"3d2.(3F).4p"	"z 2F*"	"7/2"	6	8		""	"u37"	
Ti	1	"327.7198"	"0.0004"	"327.71963"	"0.00021"	"3"	""		"2.2363294"	"6.0184794"	"3d3.(2H).4s"	"a 3H"	"4"	"3d2.4s.(2F).5p"	"3G*"	"3"	9	7		""	"L10989"	
Ti	1	"327.7817"	"0.0004"	"327.78174"	"0.00012"	"4"	""		"2.2968146"	"6.0782480"	"3d2.(3F).4s.4p.(3P*)"	"z 5D*"	"2"	"3d2.4p2"	"h 5D"	"3"	5	7		""	"L10989"	
Ti	2	"327.82878"	"0.00002"	"327.828768"	"0.000014"	"800"	"7.43e+07"	B+	"1.23125938"	"5.01215028"	"3d2.(3P).4s"	"b 4P"	"3/2"	"3d2.(3P).4p"	"y 4D*"	"3/2"	4	4		"T7385"	"u37"	
Ti	3	""	""	"327.8306"	""	""	"3.4e+08"	D	"15.844011"	"19.624881"	"3p6.3d.4d"	"1F"	"3"	"3p6.3d.4f"	"1G*"	"4"	7	9		"T1216"	""	
Ti	3	"327.8754"	""	"327.8758+"	""	"2"	""		"15.955486"	"19.735834"	"3p6.3d.4d"	"3D"	"3"	"3p6.3d.4f"	"1F*"	"3"	7	7		""	"L3593"	
Ti	2	"327.89186"	"0.00002"	"327.891854"	"0.000011"	"1000"	"8.83e+07"	B+	"1.08416006"	"4.86432355"	"3d2.(1D).4s"	"a 2D"	"5/2"	"3d2.(1D).4p"	"z 2P*"	"3/2"	6	4		"T7385"	"u37"	
Ti	1	"327.89688"	"0.00013"	"327.89688"	"0.00005"	"15+"	""		"0.8995494"	"4.6796549"	"3d2.4s2"	"a 1D"	"2"	"3d3.(2D2).4p"	"u 3F*"	"3"	5	7		""	"L10989"	
Ti	2	"327.99875"	"0.00002"	"327.998767"	"0.000012"	"102"	"6.57e+06"	B+	"1.11558346"	"4.89451483"	"3d3"	"a 2G"	"7/2"	"3d2.(1D).4p"	"y 2D*"	"5/2"	8	6		"T7385"	"u37"	
Ti	1	"328.03871"	"0.00013"	"328.03889"	"0.00005"	"0"	""		"1.06655474"	"4.8450239"	"3d2.4s2"	"a 3P"	"2"	"3d3.(2D2).4p"	"x 1P*"	"1"	5	3		""	"L10989"	
Ti	2	"328.23271"	"0.00002"	"328.23267"	"0.00003"	"610"	"1.46e+08"	B+	"1.2240835"	"5.00032200"	"3d2.(3P).4s"	"b 4P"	"1/2"	"3d2.(3P).4p"	"y 4D*"	"1/2"	2	2		"T7385"	"u37"	
Ti	2	"328.29064"	"0.00002"	"328.290635"	"0.000017"	"99"	""		"5.23322711"	"9.00879892"	"3d2.(3P).4p"	"z 4P*"	"5/2"	"3d2.(3P).5s"	"4P"	"3/2"	6	4		""	"u37"	
Ti	1	"328.39422"	"0.00013"	"328.39415"	"0.00009"	"5"	""		"2.3053556"	"6.0797374"	"3d2.(3F).4s.4p.(3P*)"	"z 5D*"	"3"	"3d2.4p2"	"h 5D"	"4"	7	9		""	"L10989"	
Ti	2	"328.50247"	"0.00008"	"328.502311"	"0.000024"	"15"	""		"5.64734724"	"9.42048628"	"3d2.(3P).4p"	"y 2P*"	"3/2"	"3d2.(1D).4d"	"2D"	"5/2"	4	6		""	"u37"	
