CATID,RA_OBJ,DEC_OBJ,RA_IFU,DEC_IFU,r_petro,z_spec,z_tonry,M_r,r_e,ellip,PA,Mstar,g_i,SURV_SAMI,BAD_CLASS
"47290",212.06746571,-0.72788776,212.06746571,-0.72788776,17.481,0.05226,0.05319,-19.42,0.93,0.0671,119.78,9.63,0.85,3,0
"319381",214.39169666,1.81253676,214.39169666,1.81253676,14.407,0.02481,0.0257,-20.98,12.2,0.5323,114.58,10.26,0.8,8,0
"535007",176.12553925,-0.98985348,176.12553925,-0.98985348,18.664,0.01955,0.02136,-16.13,1.94,0.4472,120.96001,8.2,0.66,8,0
"71008",182.68946125,0.15680553,182.68946125,0.15680553,16.941,0.07766,0.07893,-20.88,3.54,0.1887,32.429993,10.5,1.27,3,0
"237661",211.83422441,1.74436102,211.83422441,1.74436102,17.717,0.04513,0.04605,-19.26,4.31,0.4078,142.63,9.92,1.19,3,1
"575625",140.73143347,-0.06198592,140.73143347,-0.06198592,16.624,0.05468,0.05583,-20.44,4.35,0.5939,85.73999,10.24,1.1,8,0
"508480",217.18223873,-1.6584437,217.18223873,-1.6584437,16.925,0.03585,0.03668,-19.1,2.75,0.182,139.11,9.62,0.97,8,0
"184579",177.08839921,-1.49376824,177.08839921,-1.49376824,16.266,0.08077,0.08208,-21.69,2.96,0.4442,72.41,10.74,1.16,3,0
"506009",222.67343448,-1.77672206,222.67343448,-1.77672206,14.826,0.02619,0.02689,-20.68,7.94,0.0239,131.51999,10.0,0.64,8,0
"252020",221.83094712,1.8926078,221.83094712,1.8926078,17.925,0.03323,0.03397,-17.93,1.5,0.1507,132.08,9.1,0.89,8,0
"319388",214.29966316,1.8826147,214.29966316,1.8826147,18.121,0.05069,0.05157,-18.84,1.52,0.5127,134.84,9.49,0.96,3,0
"517868",133.96788446,2.52429075,133.96788446,2.52429075,15.296,0.01277,0.01345,-18.75,12.02,0.6574,66.31,9.18,0.56,8,0
"271592",174.93538209,1.33467113,174.93538209,1.33467113,16.012,0.07577,0.07707,-21.78,5.88,0.0981,73.7,10.74,1.09,3,0
"534661",174.29677185,-0.86149868,174.29677185,-0.86149868,18.755,0.04662,0.04789,-18.67,1.57,0.1637,55.679993,10.04,1.53,8,1
"144690",181.07852505,-1.36329099,181.07852505,-1.36329099,17.523,0.08352,0.08481,-20.52,1.9,0.6671,8.419998,10.4,1.34,3,0
"373124",139.56696755,1.30679022,139.56696755,1.30679022,16.918,0.08892,0.09009,-21.23,3.41,0.6435,103.31,10.51,1.11,3,0
"545809",221.21238322,-0.98278165,221.21238322,-0.98278165,16.918,0.04376,0.04453,-19.6,2.6,0.6043,115.880005,9.77,0.91,8,0
"227516",213.8722126,1.20797131,213.8722126,1.20797131,17.51,0.05455,0.05544,-19.51,2.66,0.5232,167.28,9.85,1.08,3,0
"290172",184.97165422,1.77346719,184.97165422,1.77346719,15.192,0.00671,0.00891,-17.7,4.58,0.3831,61.64,8.58,0.35,8,0
"346257",133.04214777,1.98303585,133.04214777,1.98303585,17.903,0.02855,0.02956,-17.63,1.92,0.4975,6.7400055,8.63,0.46,8,0
"16948",221.10413229,0.78285742,221.10413229,0.78285742,16.901,0.02626,0.02699,-18.47,5.21,0.1717,31.630005,8.89,0.36,8,0
"177814",178.16190311,-1.96199736,178.16190311,-1.96199736,17.152,0.08539,0.0867,-20.93,2.57,0.7918,97.52,10.42,1.14,3,0
"296936",214.04996734,1.38058711,214.04996734,1.38058711,17.003,0.05415,0.05504,-19.99,4.56,0.4372,125.55,9.68,0.62,3,0
"55254",181.16932793,-0.26674149,181.16932793,-0.26674149,17.272,0.09369,0.09499,-21.29,4.05,0.247,109.91,10.36,0.86,3,0
"37064",216.37267307,-1.06617408,216.37267307,-1.06617408,15.291,0.05524,0.0561,-21.72,5.05,0.2617,115.6,10.65,0.97,8,0
"517162",131.19759876,2.45662196,131.19759876,2.45662196,16.84,0.07622,0.07726,-20.97,2.5,0.4358,122.0,10.36,1.01,3,0
"227289",212.8223054,1.35261696,212.8223054,1.35261696,16.917,0.02564,0.02654,-18.89,8.45,0.0821,43.690002,9.17,0.45,8,0
"288891",180.45106474,1.77235908,180.45106474,1.77235908,18.991,0.01917,0.02103,-15.83,1.83,0.4291,148.94,8.31,0.91,8,0
"55009",180.17673147,-0.23113951,180.17673147,-0.23113951,16.316,0.0806,0.08189,-21.61,3.75,0.1281,149.35,10.79,1.28,3,0
"548821",129.36323326,-0.46175759,129.36323326,-0.46175759,19.126,0.10836,0.10942,-22.58,0.3,0.545,130.18,11.31,1.43,4,3
"760733",183.976149,0.08568213,183.976149,0.08568213,19.867,0.04049,0.04171,,1.71,0.5538,172.21,9.15,0.97,8,0
"485740",217.18059845,-1.69808331,217.18059845,-1.69808331,19.094,0.07347,0.07433,-21.54,2.98,0.7444,147.69,10.46,0.85,3,3
"570141",222.29101364,-0.6087928,222.29101364,-0.6087928,17.514,0.02764,0.02835,-17.61,2.67,0.3504,8.079987,8.48,0.3,8,1
"92683",217.20616405,0.62545319,217.20616405,0.62545319,17.007,0.0513,0.05214,-19.8,2.52,0.4264,9.600006,9.59,0.59,3,0
"594790",221.70823779,-0.19296962,221.70823779,-0.19296962,16.109,0.08014,0.08092,-21.8,6.13,0.1077,41.699997,10.56,0.85,3,0
"382362",136.38581099,2.03944576,136.38581099,2.03944576,15.319,0.05188,0.05297,-21.59,3.71,0.323,98.42999,10.61,0.98,8,0
"493799",222.42628787,-1.18880541,222.42628787,-1.18880541,19.547,0.04189,0.04263,-16.9,1.02,0.5386,57.449997,8.64,0.86,3,0
"372374",135.4779428,1.17196309,135.4779428,1.17196309,15.767,0.01937,0.0201,-18.98,8.34,0.587,52.51999,9.28,0.59,8,0
"574122",131.58166222,-0.0959786,131.58166222,-0.0959786,17.254,0.05216,0.05319,-19.7,7.69,0.7367,119.94,9.62,0.69,3,0
"574930",137.79059682,-0.07331528,137.79059682,-0.07331528,16.821,0.0929,0.09405,-21.56,4.67,0.267,96.83,10.64,1.05,3,1
"30700",176.56382042,-1.09612706,176.56382042,-1.09612706,15.969,0.07898,0.08029,-21.99,4.37,0.0322,135.29001,10.66,0.88,3,0
"522258",134.41469841,2.98761637,134.41469841,2.98761637,16.161,0.01243,0.01313,-17.9,7.2,0.2574,47.299988,9.3,1.09,8,0
"599846",132.8101457,0.30373603,132.8101457,0.30373603,16.581,0.05228,0.05333,-20.33,4.05,0.7514,80.73999,10.24,1.15,8,0
"47224",211.86054777,-0.74540349,211.86054777,-0.74540349,17.561,0.03529,0.0362,-18.46,1.48,0.4017,101.329994,9.16,0.72,8,0
"220450",181.5130327,1.55494822,181.5130327,1.55494822,17.928,0.01971,0.02149,-16.83,4.81,0.515,28.320007,8.33,0.5,8,0
"517802",133.76902216,2.68481103,133.76902216,2.68481103,17.175,0.05839,0.05945,-20.02,7.64,0.8597,60.270004,10.04,1.05,8,0
"618116",214.40554601,0.32909915,214.40554601,0.32909915,15.583,0.05112,0.052,-21.29,5.76,0.2688,95.740005,10.25,0.68,8,0
"594490",220.26336838,-0.1891921,220.26336838,-0.1891921,16.898,0.07976,0.08057,-21.0,2.46,0.4576,156.82,10.4,1.06,3,0
"229065",220.0452698,1.08582877,220.0452698,1.08582877,16.315,0.0824,0.08321,-21.68,4.42,0.5247,151.52,10.45,0.77,3,0
"252030",221.80588236,1.89541475,221.80588236,1.89541475,18.532,0.03454,0.03528,-17.35,2.89,0.6828,82.140015,8.75,0.77,3,0
"64937",220.7507843,-0.38340634,220.7507843,-0.38340634,15.769,0.00513,0.00616,-16.51,16.98,0.4459,53.380005,8.36,0.64,8,0
"145073",182.65821201,-1.33734504,182.65821201,-1.33734504,17.458,0.03432,0.03555,-18.59,2.86,0.5603,119.18,9.32,0.84,8,0
"239490",217.99756757,1.58139943,217.99756757,1.58139943,16.712,0.02977,0.03057,-18.97,5.66,0.191,174.20999,9.21,0.51,8,0
"273301",183.07920634,1.26945288,183.07920634,1.26945288,17.069,0.07908,0.08035,-20.81,2.1,0.5763,119.97,10.36,1.1,3,0
"369144",138.56310989,0.87910759,138.56310989,0.87910759,17.358,0.05522,0.05634,-19.75,5.99,0.427,35.64,9.61,0.64,3,0
"509723",222.61889244,-1.510815,222.61889244,-1.510815,15.987,0.05346,0.05421,-20.98,3.96,0.5167,123.21001,10.08,0.61,8,0
"9064",184.81744407,0.64815974,184.81744407,0.64815974,16.903,0.02158,0.02313,-18.13,6.39,0.5628,154.17,9.14,0.83,8,0
"229097",220.18233995,1.03376107,220.18233995,1.03376107,16.866,0.03439,0.03516,-19.6,3.97,0.395,25.18,9.68,0.74,8,0
"204799",139.4616861,-0.27847945,139.4616861,-0.27847945,13.807,0.01737,0.0183,-20.86,17.32,0.7068,64.41,10.36,0.98,8,0
"296742",213.20534699,1.48923017,213.20534699,1.48923017,15.929,0.01781,0.01922,-18.69,3.4,0.461,117.96,9.15,0.56,8,0
"63855",217.29079067,-0.351682,217.29079067,-0.351682,16.045,0.03501,0.03584,-20.02,6.75,0.1295,112.619995,9.56,0.44,8,0
"319457",214.5409488,1.86789091,214.5409488,1.86789091,18.002,0.05318,0.05406,-18.94,2.54,0.6543,62.339996,9.59,1.05,3,0
"402898",177.930413,1.9912852,177.930413,1.9912852,15.155,0.07752,0.07881,-22.67,7.72,0.2402,95.43,10.86,0.78,3,0
"417403",130.49355957,2.18919327,130.49355957,2.18919327,17.857,0.032,0.03299,-17.84,7.46,0.3547,50.929993,8.79,0.56,3,0
"55367",181.79334172,-0.25958967,181.79334172,-0.25958967,18.069,0.02216,0.02366,-16.84,6.71,0.3037,137.21,8.4,0.51,8,0
"16429",218.65632464,0.66303607,218.65632464,0.66303607,17.494,0.0306,0.0314,-18.22,2.06,0.4789,145.11,9.34,1.04,8,0
"238094",213.24190684,1.71251992,213.24190684,1.71251992,16.323,0.02593,0.02682,-19.02,7.78,0.5309,156.65,9.17,0.43,8,0
"296689",212.86361945,1.45481151,212.86361945,1.45481151,16.808,0.08469,0.08562,-21.23,3.37,0.6207,84.95999,10.54,1.14,3,0
"376178",132.34201787,1.42259949,132.34201787,1.42259949,17.301,0.03428,0.0353,-18.91,10.99,0.8787,114.86,9.41,0.79,8,1
"325536",140.98395594,1.83442423,140.98395594,1.83442423,16.117,0.05072,0.05186,-20.76,6.66,0.7796,72.42001,10.34,1.05,8,0
"78791",218.64908598,0.07552206,218.64908598,0.07552206,16.854,0.02662,0.0274,-18.59,2.94,0.6899,81.380005,9.27,0.76,8,0
"8319",181.73802382,0.66292676,181.73802382,0.66292676,17.476,0.00447,0.00639,-14.63,11.72,0.2865,178.23001,7.49,0.49,8,0
"319853",216.02295255,1.79940418,216.02295255,1.79940418,17.637,0.05536,0.05622,-19.49,2.47,0.7817,143.51001,9.86,1.09,3,0
"273343",183.25387939,1.34689211,183.25387939,1.34689211,18.699,0.03687,0.03809,-17.49,1.33,0.4313,48.17,8.64,0.51,3,0
"136783",176.05256621,-1.83998565,176.05256621,-1.83998565,16.012,0.10655,0.10789,-22.62,5.39,0.2278,90.27001,11.09,1.19,4,0
"78523",217.50188872,0.2072006,217.50188872,0.2072006,17.175,0.05602,0.05686,-19.97,3.15,0.7645,162.04,10.12,1.2,8,0
"516955",129.9438983,2.40185511,129.9438983,2.40185511,18.132,0.0349,0.03589,-17.86,1.91,0.3068,40.710007,8.95,0.75,3,0
"227290",212.85395707,1.25320212,212.85395707,1.25320212,18.047,0.0255,0.0264,-17.32,2.75,0.0914,89.94,8.86,0.88,8,0
"288999",180.96637637,1.83607744,180.96637637,1.83607744,17.139,0.01901,0.02089,-17.68,4.16,0.277,44.020004,9.1,1.0,8,0
"610970",182.68298035,0.37032747,182.68298035,0.37032747,17.379,0.07879,0.08006,-20.51,2.3,0.4247,68.08,10.31,1.22,3,0
"372567",136.42497962,1.13970141,136.42497962,1.13970141,18.009,0.05249,0.05358,-18.93,1.91,0.3897,118.98,9.66,1.13,3,0
"47251",211.96031073,-0.79998225,211.96031073,-0.79998225,18.317,0.05402,0.05495,-18.64,1.61,0.5504,51.809998,9.51,1.09,3,0
"47493",213.10354599,-0.83202401,213.10354599,-0.83202401,15.713,0.02594,0.02683,-19.64,2.75,0.303,53.59001,9.61,0.67,8,0
"371644",132.24732376,0.94206297,132.24732376,0.94206297,18.548,0.10486,0.10595,-21.4,1.96,0.4871,146.75,11.12,1.97,4,1
"218681",139.25054316,0.84407294,139.25054316,0.84407294,16.211,0.03801,0.03912,-20.0,5.22,0.7477,47.399994,9.91,0.88,8,0
"560114",179.3229878,-0.58047379,179.3229878,-0.58047379,18.811,0.1084,0.10973,-21.47,3.16,0.7968,64.67,11.22,2.21,4,1
"71382",184.62741364,0.01323412,184.62741364,0.01323412,16.926,0.0213,0.02288,-18.06,3.93,0.1909,34.449997,8.95,0.64,8,0
"388390",139.85238872,2.57462744,139.85238872,2.57462744,17.681,0.05632,0.05745,-19.37,3.04,0.4865,75.20001,9.52,0.74,3,0
"71269",183.97349338,0.08162207,183.97349338,0.08162207,17.456,0.04051,0.04173,-18.87,2.59,0.4795,152.45999,9.09,0.41,8,0
"9115",184.9647231,0.81033712,184.9647231,0.81033712,17.71,0.03378,0.03499,-18.21,2.88,0.7863,111.01,9.06,0.71,8,0
"594364",219.83213233,-0.15888068,219.83213233,-0.15888068,17.908,0.03769,0.03847,-18.26,4.54,0.8163,84.09,9.19,0.85,8,0
"560946",182.33178944,-0.52747095,182.33178944,-0.52747095,17.612,0.03513,0.03636,-18.47,4.43,0.3465,90.56,9.19,0.73,8,0
"297835",217.38522212,1.45878693,217.38522212,1.45878693,18.014,0.0353,0.03612,-17.96,2.4,0.1651,26.839996,8.88,0.6,3,0
"492408",216.46431682,-1.4754683,216.46431682,-1.4754683,17.609,0.05498,0.05584,-19.44,3.38,0.5334,74.45001,9.42,0.56,3,0
"107799",222.67427084,0.9323861,222.67427084,0.9323861,17.158,0.04307,0.0438,-19.41,4.81,0.5851,77.350006,9.6,0.79,8,0
"386286",131.34372137,2.1900553,131.34372137,2.1900553,16.085,0.00624,0.00684,-16.32,7.76,0.2427,69.359985,8.22,0.57,8,0
"583357",174.42596779,-0.04446562,174.42596779,-0.04446562,16.691,0.02697,0.02822,-18.73,4.19,0.6723,48.369995,8.83,0.17,8,0
"30472",175.41751221,-1.21326591,175.41751221,-1.21326591,19.743,0.02731,0.02856,-17.28,3.1,0.593,119.39,8.98,1.03,8,0
"383033",139.59121212,2.17020499,139.59121212,2.17020499,18.331,0.02749,0.02855,-17.18,3.66,0.3118,138.45999,8.47,0.48,8,0
"41075",184.14764777,-0.70979189,184.14764777,-0.70979189,17.797,0.0209,0.02254,-17.23,7.23,0.7946,157.16,8.51,0.51,8,0
"62267",212.16394005,-0.36617213,212.16394005,-0.36617213,17.323,0.07666,0.0776,-20.72,2.91,0.0541,1.7099915,10.45,1.2,3,1
"251893",220.91387586,1.91923042,220.91387586,1.91923042,16.589,0.05862,0.05939,-20.64,9.96,0.8562,65.899994,10.27,1.05,8,0
"297667",216.7624932,1.36271545,216.7624932,1.36271545,16.361,0.05585,0.0567,-20.72,7.52,0.7474,21.36,10.22,0.93,8,0
"179012",182.8071396,-1.93922392,182.8071396,-1.93922392,17.363,0.03403,0.03526,-19.05,5.33,0.2893,67.759995,9.79,1.1,8,0
"347572",138.21498736,2.33195522,138.21498736,2.33195522,18.643,0.03838,0.03947,-17.56,2.4,0.7265,69.75,8.64,0.52,3,0
"40870",183.3534591,-0.63132002,183.3534591,-0.63132002,17.245,0.07814,0.07941,-20.6,2.86,0.7187,41.64,10.34,1.19,3,0
"70117",178.5614033,0.01548673,178.5614033,0.01548673,16.691,0.05648,0.05775,-21.1,4.21,0.6916,61.72,10.57,1.11,8,1
"208558",129.50573508,0.08506503,129.50573508,0.08506503,16.843,0.08408,0.08512,-21.19,1.95,0.1586,45.11,10.41,0.98,3,0
"543763",212.75336877,-0.90392577,212.75336877,-0.90392577,17.999,0.02592,0.02682,-17.3,3.53,0.4911,81.75,8.49,0.45,8,0
"551066",138.68185881,-0.62377849,138.68185881,-0.62377849,16.697,0.05305,0.05417,-20.25,5.54,0.2373,110.19,9.86,0.73,3,0
"610997",182.86904161,0.37864827,182.86904161,0.37864827,16.076,0.02036,0.02206,-18.85,5.48,0.2191,148.34,9.32,0.7,8,0
"609190",174.12292367,0.22388332,174.12292367,0.22388332,17.743,0.04995,0.05122,-19.21,4.6,0.1755,102.09,9.51,0.79,3,0
"559541",177.55191965,-0.46262267,177.55191965,-0.46262267,17.365,0.04763,0.04889,-19.32,2.94,0.5331,95.36,9.59,0.85,3,0
"373050",139.06897048,1.19233701,139.06897048,1.19233701,18.541,0.05458,0.0557,-19.6,35.12,0.8082,54.829994,10.47,1.55,8,1
"574692",136.73746951,-0.12355013,136.73746951,-0.12355013,15.632,0.01886,0.01966,-19.05,4.39,0.3653,156.92,9.31,0.59,8,0
"240227",221.25093104,1.40853686,221.25093104,1.40853686,15.241,0.03384,0.03459,-20.7,7.21,0.2358,35.009995,10.16,0.83,8,0
"84981",180.3265763,0.54008367,180.3265763,0.54008367,16.886,0.0771,0.07838,-20.97,3.2,0.5082,40.949997,10.38,1.04,3,0
"372105",134.36449907,1.14555092,134.36449907,1.14555092,16.786,0.06993,0.07101,-20.8,3.51,0.5729,161.9,10.39,1.15,3,0
"534625",174.16917881,-0.88755464,174.16917881,-0.88755464,19.167,0.04593,0.0472,-18.84,0.62,0.1431,101.79001,10.02,1.33,8,1
"289194",181.28790693,1.84601552,181.28790693,1.84601552,17.672,0.01983,0.02159,-17.16,5.08,0.2046,111.84,8.99,1.11,8,0
"610474",180.39355802,0.34747847,180.39355802,0.34747847,15.823,0.03861,0.03985,-20.43,2.82,0.2424,152.39,10.01,0.79,8,0
"319398",214.35473014,1.95501588,214.35473014,1.95501588,17.376,0.05457,0.05545,-19.69,2.4,0.5529,90.48,9.94,1.1,3,0
"319150",213.62262429,1.8126302,213.62262429,1.8126302,17.912,0.02544,0.02633,-17.55,1.9,0.3778,68.200005,8.56,0.4,8,0
"107812",222.7840696,0.88490332,222.7840696,0.88490332,16.343,0.06349,0.06424,-21.01,4.61,0.3176,159.62,10.44,1.09,3,0
"70801",181.52183479,0.05888652,181.52183479,0.05888652,16.741,0.07811,0.07939,-21.16,2.63,0.4889,45.83,10.69,1.34,3,1
"543543",211.92157993,-0.96168437,211.92157993,-0.96168437,17.647,0.05596,0.05689,-19.53,0.89,0.4829,109.7,9.94,1.19,3,0
"517308",131.72519421,2.50147579,131.72519421,2.50147579,15.571,0.0282,0.02918,-20.02,4.87,0.0825,124.92,9.83,0.76,8,1
"585625",183.74395576,-0.07660287,183.74395576,-0.07660287,16.898,0.07461,0.07587,-20.91,2.77,0.7481,57.550003,10.6,1.37,3,0
"86120",185.33907247,0.62009388,185.33907247,0.62009388,16.101,0.07873,0.07999,-21.79,4.34,0.6478,120.189995,10.82,1.2,3,0
"214184",129.00640444,0.43807939,129.00640444,0.43807939,15.021,0.03322,0.0342,-20.94,9.58,0.63,92.75,10.56,1.21,8,0
"386722",133.66016096,2.32098615,133.66016096,2.32098615,16.269,0.0514,0.05245,-20.6,2.37,0.3825,28.369995,10.29,1.08,8,0
"535642",178.92421484,-0.88665259,178.92421484,-0.88665259,17.833,0.07686,0.07815,-20.27,1.06,0.6907,73.630005,10.31,1.33,3,0
"396615",174.36234325,1.53514358,174.36234325,1.53514358,15.547,0.04572,0.04698,-21.1,4.3,0.3677,14.810005,10.52,1.12,8,0
"288724",179.93637626,1.82977183,179.93637626,1.82977183,16.258,0.07723,0.07851,-21.64,2.54,0.389,116.0,10.87,1.33,3,0
"543911",213.33322784,-1.02677171,213.33322784,-1.02677171,16.426,0.07036,0.07128,-21.19,2.75,0.5845,69.98001,10.47,1.06,3,0
"548954",129.72287337,-0.59026416,129.72287337,-0.59026416,16.407,0.08056,0.0816,-21.53,2.34,0.274,78.08002,10.7,1.2,3,0
"492231",215.45159851,-1.39188341,215.45159851,-1.39188341,16.318,0.08376,0.08466,-21.7,2.88,0.4886,106.77,10.73,1.14,3,0
"376001",131.63040725,1.48336357,131.63040725,1.48336357,16.313,0.05124,0.05227,-20.55,2.41,0.0721,104.770004,10.25,1.06,8,0
"288939",180.80348184,1.85687486,180.80348184,1.85687486,18.23,0.03343,0.03465,-18.07,6.63,0.6293,15.059998,8.86,0.51,3,0
"592805",214.0716564,-0.15700288,214.0716564,-0.15700288,16.235,0.08369,0.08461,-21.76,2.43,0.2864,119.01,10.69,1.05,3,0
"185282",179.79154972,-1.55396141,179.79154972,-1.55396141,16.238,0.052,0.05326,-20.64,4.25,0.1795,23.589996,10.11,0.83,8,0
"370997",129.74054739,0.95970311,129.74054739,0.95970311,16.046,0.08538,0.08642,-22.0,4.75,0.2732,164.47,10.9,1.23,8,0
"79301",221.01455231,3.147E-5,221.01455231,3.147E-5,15.828,0.03385,0.03461,-20.11,5.77,0.7162,65.55,9.86,0.75,8,0
"372141",134.53607502,1.01612759,134.53607502,1.01612759,16.668,0.06927,0.07036,-20.95,3.42,0.6785,107.4,10.52,1.23,3,0
"63237",215.08172822,-0.29471279,215.08172822,-0.29471279,17.387,0.05171,0.05259,-19.46,2.14,0.2049,105.32001,9.53,0.7,3,0
"346842",135.24349126,2.1944591,135.24349126,2.1944591,16.778,0.05774,0.05882,-20.4,8.37,0.8546,36.679993,10.04,0.87,8,0
"296859",213.7086597,1.5074082,213.7086597,1.5074082,17.763,0.05222,0.05311,-19.15,3.23,0.5277,52.67,9.51,0.81,3,0
"209742",134.78731606,0.11748243,134.78731606,0.11748243,19.632,0.10504,0.10617,-22.23,1.86,0.8297,122.1,11.76,3.19,4,1
"278865",133.99160854,0.85936503,133.99160854,0.85936503,19.471,0.04116,0.04221,,2.01,0.4831,130.81,8.98,0.87,3,0
"509727",222.64368146,-1.49045357,222.64368146,-1.49045357,18.051,0.04409,0.04483,-18.91,3.47,0.5362,106.68,9.2,0.54,8,0
"209204",132.27123559,0.06229894,132.27123559,0.06229894,18.557,0.04267,0.0437,-17.94,2.41,0.1165,110.97,8.7,0.41,3,0
"208781",130.16662503,0.15007598,130.16662503,0.15007598,18.135,0.02459,0.02541,-17.11,5.34,0.8182,140.84999,8.45,0.49,8,0
"508094",215.96040998,-1.53172253,215.96040998,-1.53172253,19.128,0.09074,0.09164,-21.39,1.36,0.3411,68.2,11.37,2.56,8,1
"550677",136.77411282,-0.54065304,136.77411282,-0.54065304,17.204,0.0276,0.02864,-18.42,5.4,0.6021,49.910004,8.94,0.46,8,0
"278843",133.90314131,0.9207065,133.90314131,0.9207065,17.512,0.0518,0.05286,-19.38,2.3,0.6809,2.0400085,9.47,0.65,3,0
"620012",222.76247502,0.39022802,222.76247502,0.39022802,17.432,0.05593,0.05667,-19.61,3.56,0.7546,166.04,9.73,0.86,3,0
"600877",137.78698395,0.31139847,137.78698395,0.31139847,15.716,0.07009,0.07122,-21.92,8.95,0.7829,3.7400055,10.81,1.1,3,0
"203684",134.79004656,-0.27214031,134.79004656,-0.27214031,17.413,0.04186,0.04293,-19.02,3.85,0.458,16.39,9.19,0.48,8,0
"423186",134.28374673,2.9318285,134.28374673,2.9318285,18.388,0.01334,0.01402,-15.52,4.43,0.1682,91.25,8.19,0.95,8,6
"507715",214.28274402,-1.75921359,214.28274402,-1.75921359,16.411,0.07732,0.07823,-21.43,7.58,0.7498,135.73001,10.43,0.88,3,0
"517595",133.00726623,2.54907547,133.00726623,2.54907547,17.818,0.02833,0.02933,-17.67,3.41,0.7573,76.79999,8.52,0.31,8,0
"106401",215.87259256,1.01966268,215.87259256,1.01966268,18.791,0.03979,0.04064,-17.44,2.6,0.7784,87.91,8.73,0.69,3,0
"622566",133.92910146,0.73636621,133.92910146,0.73636621,18.503,0.02873,0.02976,-17.14,3.19,0.6968,150.05,8.42,0.45,8,1
"41307",185.37413998,-0.71078143,185.37413998,-0.71078143,17.756,0.03977,0.04098,-18.6,5.26,0.5089,127.53,8.9,0.32,3,0
"273956",185.9160281,1.32375938,185.9160281,1.32375938,15.244,0.02644,0.02765,-20.23,7.57,0.6325,89.350006,9.98,0.83,8,0
"610700",181.41440627,0.40847358,181.41440627,0.40847358,17.506,0.02111,0.02272,-17.45,5.33,0.5053,172.91,8.63,0.55,8,0
"106411",215.96044692,1.00433143,215.96044692,1.00433143,16.747,0.07425,0.07513,-20.97,3.4,0.4745,124.880005,10.3,0.94,3,0
"8007",180.23508637,0.79309201,180.23508637,0.79309201,17.32,0.08132,0.08261,-20.69,3.17,0.6714,47.23999,10.48,1.34,3,0
"322972",129.7926462,1.43156665,129.7926462,1.43156665,17.326,0.08138,0.08241,-20.64,4.32,0.7871,137.81,10.33,1.17,3,0
"508748",218.11624011,-1.55209695,218.11624011,-1.55209695,16.994,0.05684,0.05767,-20.09,4.95,0.4606,40.089996,9.75,0.66,3,0
"15490",215.75291339,0.7074244,215.75291339,0.7074244,17.234,0.05375,0.05461,-19.75,5.9,0.5751,145.82,9.65,0.68,3,0
"619989",222.5996479,0.34824567,222.5996479,0.34824567,16.755,0.03983,0.04056,-19.52,3.17,0.4981,166.67,9.7,0.87,8,0
