CUBEIDPUB,CUBEID,CATID,CUBEFWHM,ISBEST,CATSOURCE,WARNSTAR,WARNFILL,WARNZ,WARNMULT,WARNSKER,WARNWCS,WARNEMFT,WARNSKEM,WARNSK2M,WARNSK4M
"288982_A","288982_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","288982",1.7784617,1,1,0,0,0,0,0,0,0,0,0,0
"288989_A","288989_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","288989",1.7784617,1,1,0,0,0,0,0,0,0,0,0,0
"288992_A","288992_7_Y13SAR1_P014_12T001_2013_04_12-2013_04_16","288992",2.1439502,1,1,0,0,0,0,0,0,0,0,0,0
"288999_A","288999_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","288999",2.7542882,0,1,0,0,0,0,0,0,0,0,0,0
"288999_B","288999_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25","288999",2.2604034,1,1,0,0,0,0,0,0,0,0,0,0
"289085_A","289085_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25","289085",2.1347282,1,1,0,0,0,0,0,0,0,0,0,0
"289089_A","289089_7_Y13SAR1_P014_12T001_2013_04_12-2013_04_16","289089",2.1439502,1,1,0,0,0,0,0,0,0,0,0,0
"289095_A","289095_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","289095",2.7542882,1,1,0,0,0,1,0,0,0,0,0,0
"289096_A","289096_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25","289096",2.1347282,1,1,0,0,0,0,0,0,0,0,0,0
"289097_A","289097_6_Y14SAR1_P002_12T042_2015_02_16-2015_02_25","289097",3.0932822,1,1,0,0,0,0,0,0,0,0,0,0
"289102_A","289102_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","289102",1.7784617,1,1,0,0,0,0,0,0,0,0,0,0
"289107_A","289107_6_Y14SAR1_P002_12T042_2015_02_16-2015_02_25","289107",3.0932822,1,1,0,0,0,0,0,0,0,0,0,0
"289109_A","289109_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25","289109",2.1347282,1,1,0,0,0,0,0,0,0,0,0,0
"289112_A","289112_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25","289112",2.1347282,1,1,0,0,0,0,0,0,0,0,0,0
"289113_A","289113_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02","289113",3.3219893,1,1,0,0,0,0,0,0,0,0,0,0
"289116_A","289116_7_Y13SAR1_P014_12T001_2013_04_12-2013_04_16","289116",2.1439502,1,1,0,0,0,0,0,0,0,0,0,0
"289118_A","289118_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","289118",2.7542882,1,1,0,0,0,0,0,0,0,0,0,0
"289168_A","289168_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02","289168",3.3219893,1,1,0,0,0,0,0,0,0,0,0,0
"289170_A","289170_6_Y14SAR1_P002_12T042_2015_02_16-2015_02_25","289170",3.0932822,1,1,0,0,0,0,0,0,0,0,0,0
"289176_A","289176_6_Y14SAR1_P002_12T042_2015_02_16-2015_02_25","289176",3.0932822,1,1,0,0,0,0,0,0,0,0,0,0
"289185_A","289185_7_Y13SAR1_P014_12T001_2013_04_12-2013_04_16","289185",2.1439502,1,1,0,0,0,0,0,0,0,0,0,0
"289194_A","289194_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25","289194",2.2604034,1,1,0,0,0,0,0,0,0,0,0,0
"289197_A","289197_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","289197",1.7784617,1,1,0,0,0,0,0,0,0,0,0,0
"289198_A","289198_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25","289198",2.2604034,1,1,0,0,0,0,0,0,0,0,0,0
"289200_A","289200_7_Y13SAR1_P014_12T001_2013_04_12-2013_04_16","289200",2.1439502,1,1,0,0,0,0,0,0,0,0,0,0
"289217_A","289217_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25","289217",2.1347282,1,1,0,0,0,0,0,0,0,0,0,0
"289279_A","289279_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","289279",2.7542882,1,1,0,0,0,0,0,0,0,0,0,0
"289427_A","289427_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20","289427",2.4650698,1,1,0,0,0,0,0,0,0,0,0,0
"289429_A","289429_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20","289429",2.4650698,1,1,0,0,0,0,0,0,0,0,0,0
"289957_A","289957_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19","289957",2.1275654,1,1,0,0,0,0,0,0,0,0,0,0
"290052_A","290052_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19","290052",2.1275654,1,1,0,0,0,0,0,0,0,0,0,0
"290071_A","290071_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19","290071",2.1275654,1,1,0,0,0,0,0,0,0,0,0,0
"290323_A","290323_7_Y15SAR3_P003_12T087_2016_02_08-2016_02_14","290323",1.7564168,1,1,0,0,0,0,0,0,0,0,0,0
"290328_A","290328_7_Y15SAR3_P003_12T087_2016_02_08-2016_02_14","290328",1.7564168,1,1,0,0,0,0,0,0,0,0,0,0
"290396_A","290396_7_Y15SAR3_P003_12T087_2016_02_08-2016_02_14","290396",1.7564168,1,1,0,0,0,0,0,0,0,0,0,0
"290423_A","290423_7_Y15SAR3_P003_12T087_2016_02_08-2016_02_14","290423",1.7564168,1,1,0,0,0,0,0,0,0,0,0,0
"296599_A","296599_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12","296599",2.4375935,1,1,0,0,0,0,0,0,0,0,0,0
"296638_A","296638_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12","296638",2.4375935,1,1,0,0,0,0,0,0,0,0,0,0
"296639_A","296639_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12","296639",2.4375935,1,1,0,0,0,0,0,0,0,0,0,0
"296677_A","296677_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12","296677",2.4375935,1,1,0,0,0,0,0,0,0,0,0,0
"296685_A","296685_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17","296685",3.783678,1,1,0,0,0,0,0,0,0,0,0,0
"296713_A","296713_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","296713",2.285146,0,1,0,0,0,0,0,0,0,0,0,0
"296713_B","296713_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","296713",1.9918307,1,1,0,0,0,0,0,0,0,0,0,0
"296713_C","296713_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13","296713",2.6007547,0,1,0,0,0,0,0,0,0,0,0,0
"296725_A","296725_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12","296725",2.4375935,1,1,0,0,0,0,0,0,0,0,0,0
"296742_A","296742_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12","296742",2.4375935,1,1,0,0,0,0,0,0,0,0,0,0
"296798_A","296798_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17","296798",3.783678,1,1,0,0,0,0,0,0,0,0,0,0
"296829_A","296829_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16","296829",2.1565826,1,1,0,0,0,1,0,0,0,0,0,0
"296847_A","296847_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","296847",2.285146,1,1,0,0,0,0,0,0,0,0,0,0
"296847_B","296847_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","296847",1.9918307,0,1,0,0,0,0,0,0,0,0,0,0
"296847_C","296847_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13","296847",2.6007547,0,1,0,0,0,0,0,0,0,0,0,0
"296848_A","296848_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17","296848",3.783678,1,1,0,0,0,0,0,0,0,0,0,0
"296927_A","296927_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22","296927",1.3769728,1,1,0,0,0,0,0,0,0,0,0,0
"296934_A","296934_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16","296934",2.1565826,1,1,0,0,0,0,0,0,0,0,0,0
"297053_A","297053_11_Y17SAR3_P009_15T132_2018_04_09-2018_04_19","297053",1.9270614,1,1,0,0,0,0,0,0,0,0,0,0
"297053_B","297053_9_Y17SAR3_P009_15T132_2018_05_07-2018_05_16","297053",1.9729545,0,1,0,0,0,0,0,0,0,0,0,0
"297557_A","297557_7_Y15SAR4_P002_15T111_2015_05_14-2015_05_20","297557",1.9425398,1,1,0,0,0,0,0,0,0,0,0,0
"297633_A","297633_7_Y15SAR4_P002_15T111_2015_05_14-2015_05_20","297633",1.9425398,1,1,0,0,0,0,0,0,0,0,0,0
"297667_A","297667_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","297667",1.9566231,1,1,0,0,0,0,0,0,0,0,0,0
"297667_B","297667_7_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","297667",1.8312169,0,1,0,0,0,0,0,0,0,0,0,0
"297667_C","297667_7_Y15SAR4_P002_15T111_2015_05_14-2015_05_20","297667",1.9425398,0,1,0,0,0,0,0,0,0,0,0,0
"297694_A","297694_7_Y15SAR4_P002_15T111_2015_05_14-2015_05_20","297694",1.9425398,1,1,0,0,0,0,0,0,0,0,0,0
"297705_A","297705_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","297705",1.9566231,1,1,0,0,0,0,0,0,0,0,0,0
"297705_B","297705_7_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","297705",1.8312169,0,1,0,0,0,0,0,0,0,0,0,0
"298042_A","298042_7_Y14SAR4_P009_15T095_2016_04_04-2016_04_12","298042",1.9913205,1,1,0,0,0,0,0,0,0,0,0,0
"298106_A","298106_7_Y14SAR4_P009_15T095_2016_04_04-2016_04_12","298106",1.9913205,1,1,0,0,0,0,0,0,0,0,0,0
"298114_A","298114_7_Y14SAR4_P009_15T095_2016_04_04-2016_04_12","298114",1.9913205,1,1,0,0,0,0,0,0,0,0,0,0
"298190_A","298190_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02","298190",3.0717208,1,1,0,0,0,0,0,0,0,0,0,0
"298572_A","298572_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17","298572",1.9381682,1,1,0,0,0,0,0,0,0,0,0,0
"298572_B","298572_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02","298572",2.2098472,0,1,0,0,0,0,0,0,0,0,0,0
"298590_A","298590_7_Y15SAR4_P004_15T113_2016_03_03-2016_03_13","298590",1.8218461,1,1,0,0,0,0,0,0,0,0,0,0
"298591_A","298591_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17","298591",1.9381682,1,1,0,0,0,0,0,0,0,0,0,0
"298591_B","298591_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02","298591",2.2098472,0,1,0,0,0,0,0,0,0,0,0,0
"298612_A","298612_7_Y15SAR4_P004_15T113_2016_03_03-2016_03_13","298612",1.8218461,1,1,0,0,0,0,0,0,0,0,0,0
"298665_A","298665_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17","298665",1.9381682,1,1,0,0,0,0,0,0,0,0,0,0
"298665_B","298665_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02","298665",2.2098472,0,1,0,0,0,0,0,0,0,0,0,0
"298666_A","298666_7_Y15SAR4_P004_15T113_2016_03_03-2016_03_13","298666",1.8218461,1,1,0,0,0,0,0,0,0,0,0,0
"298738_A","298738_10_Y14SAR3_P009_15T084_2016_03_03-2016_03_13","298738",2.2259822,1,1,0,0,0,0,0,0,0,0,0,0
"298862_A","298862_10_Y14SAR3_P009_15T084_2016_03_03-2016_03_13","298862",2.2259822,1,1,0,0,0,0,0,0,0,0,0,0
"298888_A","298888_7_Y17SAR3_P003_15T126_2018_04_09-2018_04_19","298888",2.3334086,1,1,0,0,0,0,0,0,0,0,0,0
"298980_A","298980_7_Y17SAR3_P003_15T126_2018_04_09-2018_04_19","298980",2.3334086,1,1,0,0,0,0,0,0,0,0,0,0
"300350_A","300350_7_Y14SAR2_P003_09T070_2014_04_02-2014_04_06","300350",2.4958227,1,1,0,0,0,0,0,0,0,0,0,0
"300372_A","300372_7_Y14SAR2_P003_09T070_2014_04_02-2014_04_06","300372",2.4958227,1,1,0,0,0,0,0,0,0,0,0,0
"300406_A","300406_7_Y17SAR2_P001_09T126_2017_03_24-2017_04_02","300406",1.8087604,1,1,0,0,0,0,0,0,0,0,0,0
"300411_A","300411_7_Y14SAR2_P003_09T070_2014_04_02-2014_04_06","300411",2.4958227,1,1,0,0,0,0,0,0,0,0,0,0
"300477_A","300477_7_Y14SAR2_P003_09T070_2014_04_02-2014_04_06","300477",2.4958227,1,1,0,0,0,0,0,0,0,0,0,0
"300613_A","300613_7_Y17SAR2_P003_09T134_2018_02_12-2018_02_19","300613",2.0887427,1,1,0,0,0,0,0,0,0,0,0,0
"300659_A","300659_7_Y17SAR2_P003_09T134_2018_02_12-2018_02_19","300659",2.0887427,1,3,0,1,0,1,0,0,0,0,0,0
"300691_A","300691_7_Y14SAR2_P007_09T074_2017_02_27-2017_03_05","300691",1.940672,1,1,0,0,0,0,0,0,0,0,0,0
"300787_A","300787_7_Y14SAR2_P007_09T074_2017_02_27-2017_03_05","300787",1.940672,1,1,0,0,0,0,0,0,0,0,0,0
"300821_A","300821_7_Y14SAR2_P007_09T074_2017_02_27-2017_03_05","300821",1.940672,1,1,0,0,0,0,0,0,0,0,0,0
"300887_A","300887_7_Y14SAR2_P007_09T074_2017_02_27-2017_03_05","300887",1.940672,1,1,0,0,0,0,0,0,0,0,0,0
"301098_A","301098_7_Y13SAR1_P002_09T004_2013_03_05-2013_03_17","301098",1.8350329,1,1,0,0,0,0,0,0,0,0,0,0
"301191_A","301191_7_Y14SBR2_P002_09T089_2015_01_19-2015_01_26","301191",2.7195387,1,1,0,0,0,0,0,0,0,0,0,0
"301199_A","301199_7_Y14SAR1_P005_09T065_2015_02_16-2015_02_25","301199",1.7759062,1,1,0,0,0,0,0,0,0,0,0,0
"301201_A","301201_7_Y14SBR2_P002_09T089_2015_01_19-2015_01_26","301201",2.7195387,1,1,0,0,0,0,0,0,0,0,0,0
"301346_A","301346_10_Y14SAR1_P003_09T063_2015_02_16-2015_02_25","301346",2.4886057,1,1,0,0,0,0,0,0,0,0,0,0
"301381_A","301381_7_Y16SAR2_P003_09T122_2017_03_24-2017_04_02","301381",1.6422914,1,1,0,0,0,0,0,0,0,0,0,0
"301382_A","301382_10_Y14SAR1_P003_09T063_2015_02_16-2015_02_25","301382",2.4886057,1,1,0,0,0,0,0,0,0,0,0,0
"301519_A","301519_7_Y16SAR2_P003_09T122_2017_03_24-2017_04_02","301519",1.6422914,1,1,0,0,0,0,0,0,0,0,0,0
"301799_A","301799_11_Y13SAR1_P004_09T018_2013_03_05-2013_03_17","301799",1.8180883,1,1,0,0,0,0,0,0,0,0,0,0
"301885_A","301885_7_Y16SAR2_P001_09T115_2016_03_03-2016_03_13","301885",1.469406,1,1,0,0,0,0,0,0,0,0,0,0
"301893_A","301893_9_Y17SAR2_P002_09T129_2018_02_12-2018_02_19","301893",2.0400054,1,3,0,1,0,1,0,0,0,0,0,0
"301937_A","301937_7_Y16SAR2_P001_09T115_2016_03_03-2016_03_13","301937",1.469406,1,1,0,0,0,0,0,0,0,0,0,0
"301994_A","301994_9_Y17SAR2_P002_09T129_2018_02_12-2018_02_19","301994",2.0400054,1,1,0,0,0,0,0,0,0,0,0,0
"302006_A","302006_9_Y17SAR2_P002_09T129_2018_02_12-2018_02_19","302006",2.0400054,1,3,0,1,0,0,0,0,0,0,0,0
"302657_A","302657_7_Y15SAR2_P002_09T110_2016_02_08-2016_02_14","302657",1.9860961,1,1,0,0,0,0,0,0,0,0,0,0
"302684_A","302684_7_Y15SAR2_P002_09T110_2016_02_08-2016_02_14","302684",1.9860961,1,1,0,0,0,0,0,0,0,0,0,0
"302810_A","302810_12_Y15SAR1_P002_09T100_2016_03_03-2016_03_13","302810",1.6049328,1,1,0,0,0,0,0,0,0,0,0,0
"302846_A","302846_7_Y13SAR1_P003_09T006_2013_03_05-2013_03_17","302846",1.852552,1,1,0,0,0,0,0,0,0,0,0,0
"302973_A","302973_12_Y15SAR1_P002_09T100_2016_03_03-2016_03_13","302973",1.6049328,1,1,0,0,0,0,0,0,0,0,0,0
"302994_A","302994_7_Y13SAR1_P003_09T006_2013_03_05-2013_03_17","302994",1.852552,1,1,0,0,0,0,0,0,0,0,0,0
"303099_A","303099_7_Y14SBR2_P001_09T088_2015_01_19-2015_01_26","303099",1.6550151,1,1,0,0,0,0,0,0,0,0,0,0
"30346_B","30346_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","30346",2.2188303,0,1,0,0,0,0,0,0,0,0,0,0
"30346_A","30346_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","30346",2.2280612,1,1,0,0,0,0,0,0,0,0,0,0
"30361_B","30361_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","30361",2.2188303,0,1,0,0,0,0,0,0,0,0,0,0
"30361_C","30361_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","30361",1.6118999,1,1,0,0,0,0,0,0,0,0,0,0
"30361_A","30361_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","30361",2.2280612,0,1,0,0,0,0,0,0,0,0,0,0
"30377_A","30377_8_Y13SAR1_P015_12T014_2013_04_12-2013_04_16","30377",2.9500344,1,1,0,0,0,0,0,0,0,0,0,0
"30469_A","30469_7_Y18SAR4_P001_12T128_2018_05_07-2018_05_16","30469",2.2502587,1,1,0,0,0,0,0,0,0,0,0,0
"30472_B","30472_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","30472",2.2188303,0,1,0,0,0,0,0,0,0,0,0,0
"30472_C","30472_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","30472",1.6118999,1,1,0,0,0,0,0,0,0,0,0,0
"30472_A","30472_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","30472",2.2280612,0,1,0,0,0,0,0,0,0,0,0,0
"30615_A","30615_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19","30615",2.5189373,1,1,0,0,0,0,0,0,0,0,0,0
"30784_A","30784_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19","30784",2.5189373,1,1,0,0,0,0,0,0,0,0,0,0
"30786_A","30786_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19","30786",2.5189373,1,1,0,0,0,0,0,0,0,0,0,0
"30847_A","30847_7_Y17SAR3_P008_12T109_2018_04_09-2018_04_19","30847",1.895166,1,1,0,0,0,0,0,0,0,0,0,0
"30890_A","30890_7_Y14SAR4_P006_12T068_2014_05_23-2014_06_01","30890",2.5497894,1,1,0,0,0,0,0,0,0,0,0,0
"30913_A","30913_7_Y14SAR3_P006_12T057_2016_04_04-2016_04_12","30913",2.132866,1,1,0,0,0,0,0,0,0,0,0,0
"30914_A","30914_7_Y14SAR4_P006_12T068_2014_05_23-2014_06_01","30914",2.5497894,1,1,0,0,0,0,0,0,0,0,0,0
"30916_A","30916_7_Y17SAR3_P008_12T109_2018_04_09-2018_04_19","30916",1.895166,1,1,0,0,0,0,0,0,0,0,0,0
"31079_A","31079_7_Y17SAR3_P006_12T107_2018_04_09-2018_04_19","31079",1.5882795,1,1,0,0,0,0,0,0,0,0,0,0
"31129_A","31129_7_Y17SAR3_P006_12T107_2018_04_09-2018_04_19","31129",1.5882795,1,1,0,0,0,0,0,0,0,0,0,0
"31353_A","31353_7_Y14SAR3_P011_12T062_2016_05_02-2016_05_10","31353",1.2563152,1,1,0,0,0,0,0,0,0,0,0,0
"31448_A","31448_7_Y17SAR3_P010_12T115_2018_04_09-2018_04_19","31448",1.4503161,1,1,0,0,0,0,0,0,0,0,0,0
"31452_A","31452_8_Y14SAR3_P001_12T052_2014_04_24-2014_05_04","31452",1.4943258,1,1,0,0,0,0,0,0,0,0,0,0
"31509_A","31509_8_Y14SAR3_P001_12T052_2014_04_24-2014_05_04","31509",1.4943258,1,1,0,0,0,0,0,0,0,0,0,0
"31620_A","31620_13_Y14SAR3_P003_12T054_2014_04_24-2014_05_04","31620",2.0915372,1,1,0,0,0,0,0,0,0,0,0,0
"31620_D","31620_6_Y14SAR3_P003_12T054_2016_04_04-2016_04_12","31620",1.6905924,0,1,0,0,0,0,0,0,0,0,0,0
"31620_B","31620_7_Y14SAR3_P003_12T054_2014_04_24-2014_05_04","31620",2.8480687,0,1,0,0,0,0,0,0,0,0,0,0
"31620_C","31620_7_Y15SAR3_P003_12T088_2016_02_08-2016_02_14","31620",2.9515972,0,1,0,0,0,0,0,0,0,0,0,0
"31623_A","31623_8_Y14SAR4_P008_12T070_2016_04_04-2016_04_12","31623",1.8024155,1,1,0,0,0,0,0,0,0,0,0,0
"31725_A","31725_8_Y18SAR4_P002_12T127_2018_05_07-2018_05_16","31725",1.874924,1,1,0,0,0,0,0,0,0,0,0,0
"31740_A","31740_8_Y18SAR4_P002_12T127_2018_05_07-2018_05_16","31740",1.874924,1,3,0,1,0,0,0,0,0,0,0,0
"318936_A","318936_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","318936",2.285146,1,1,0,0,0,0,0,0,0,0,0,0
