CUBEIDPUB,CUBEID,CATID,PA_STELKIN,PA_STELKIN_ERR,SIGMA_RE,SIGMA_RE_ERR,LAMBDAR_RE,LAMBDAR_RE_ERR,VSIGMA_RE,VSIGMA_RE_ERR,MEAN_K51_RE,APER_CORR_FLAG
"511456_A","511456_blue_red_7_Y14SAR3_P008_15T083_2016_05_02-2016_05_10","511456",182.0,2.4166648,101.46509,2.5129282,0.6618685,0.016538998,0.9943134,0.040696282,0.02575386,0.0
"511789_A","511789_blue_red_8_Y13SAR1_P005_15T018_2013_03_05-2013_03_17","511789",,,,,,,,,,
"511863_A","511863_blue_red_8_Y13SAR1_P005_15T018_2013_03_05-2013_03_17","511863",64.0,1.5,,,,,,,0.052974015,
"511864_A","511864_blue_red_7_Y14SAR4_P006_15T092_2014_05_23-2014_06_01","511864",352.0,4.083332,79.53777,3.2148523,,,,,,
"511867_A","511867_blue_red_8_Y13SAR1_P005_15T018_2013_03_05-2013_03_17","511867",37.5,0.5833333,130.66478,1.734263,0.63353604,0.005710845,0.9248774,0.011587191,0.03000251,0.0
"511890_A","511890_blue_red_8_Y13SAR1_P005_15T018_2013_03_05-2013_03_17","511890",221.5,1.0,136.24535,1.335492,0.35561743,0.007915912,0.41632062,0.009375157,0.02172359,0.0
"511892_A","511892_blue_red_7_Y14SAR4_P006_15T092_2014_05_23-2014_06_01","511892",301.5,1.5833334,168.37521,1.9089143,0.3048587,0.008463105,0.3262446,0.008564652,0.05823773,0.0
"511921_A","511921_blue_red_7_Y14SAR4_P006_15T092_2014_05_23-2014_06_01","511921",343.0,14.666664,42.263245,4.2948217,,,,,,
"511923_A","511923_blue_red_7_Y15SAR4_P003_15T114_2016_03_03-2016_03_13","511923",195.0,29.916666,70.46665,3.2163005,,,,,,
"512170_A","512170_blue_red_7_Y15SAR4_P004_15T112_2016_03_03-2016_03_13","512170",210.5,1.1666666,,,0.53744,0.006932584,0.65488684,0.009337283,0.024100313,1.0
"512197_A","512197_blue_red_7_Y15SAR4_P004_15T112_2016_03_03-2016_03_13","512197",24.5,4.6666665,93.76117,2.745667,0.33361417,0.020226136,0.39342687,0.024378218,0.12027028,0.0
"512204_A","512204_blue_red_6_Y17SAR3_P005_15T128_2018_04_09-2018_04_19","512204",174.5,3.499998,,,0.6644366,0.023222048,0.9703646,0.048498545,,1.0
"512254_A","512254_blue_red_6_Y17SAR3_P005_15T128_2018_04_09-2018_04_19","512254",102.0,0.16666667,,,,,,,,
"512312_A","512312_blue_red_6_Y17SAR3_P005_15T128_2018_04_09-2018_04_19","512312",204.0,2.3333333,190.44347,3.9402719,,,,,,
"512524_A","512524_blue_red_7_Y14SAR4_P007_15T093_2016_04_04-2016_04_12","512524",120.5,29.83333,100.373184,10.615353,,,,,,
"513001_A","513001_blue_red_7_Y14SAR4_P003_15T089_2014_05_23-2014_06_01","513001",291.0,9.5,47.167274,5.1034837,,,,,,
"513066_A","513066_blue_red_7_Y14SAR4_P003_15T089_2014_05_23-2014_06_01","513066",157.0,6.75,,,,,,,,
"513108_A","513108_blue_red_7_Y14SAR4_P003_15T089_2014_05_23-2014_06_01","513108",348.0,9.416665,,,,,,,,
"513236_A","513236_blue_red_7_Y14SAR2_P002_15T062_2017_02_27-2017_03_05","513236",259.5,2.5,105.05546,3.1347315,0.70528805,0.015742686,1.1790674,0.048150323,0.026555544,1.0
"513267_A","513267_blue_red_12_Y14SAR4_P010_15T096_2016_04_04-2016_04_12","513267",,,,,,,,,,
"513267_B","513267_blue_red_7_Y14SAR4_P010_15T096_2017_04_19-2017_05_01","513267",,,,,,,,,,
"514022_A","514022_blue_red_7_Y17SAR3_P008_15T131_2018_04_09-2018_04_19","514022",114.0,12.666667,96.981705,1.8213866,,,,,,
"514029_A","514029_blue_red_7_Y14SAR3_P008_15T083_2016_05_02-2016_05_10","514029",331.0,1.0833334,100.32456,1.6053016,0.6384015,0.007915195,0.8801228,0.016082406,0.037055574,0.0
"514212_A","514212_blue_red_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22","514212",294.0,2.5,71.50446,2.1264079,0.44503102,0.020308157,0.5350465,0.029349124,0.04862815,0.0
"514214_A","514214_blue_red_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17","514214",279.0,29.83333,,,0.12003782,0.008580517,0.1276964,0.007945417,,1.0
"514218_A","514218_blue_red_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22","514218",30.5,1.0,190.85982,1.7689028,0.3339168,0.008845662,0.39239392,0.009631453,0.014138019,0.0
"514260_A","514260_blue_red_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17","514260",190.0,28.25,,,,,,,,
"516973_A","516973_blue_red_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13","516973",34.0,0.6666667,196.95088,1.3582698,0.34107092,0.00484042,0.3787875,0.005127546,0.01753195,0.0
"517046_A","517046_blue_red_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13","517046",149.5,29.83333,37.584003,7.542597,,,,,,
"517070_A","517070_blue_red_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17","517070",102.5,1.75,62.481052,2.2952101,0.5955797,0.019162733,0.8199723,0.028432788,0.08594512,1.0
"517130_A","517130_blue_red_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17","517130",,,65.05851,11.043114,,,,,,
"517164_A","517164_blue_red_7_Y13SAR1_P005_09T009_2013_03_05-2013_03_17","517164",97.5,1.5833334,122.42353,1.9219464,0.4844094,0.01062146,0.60329604,0.0144380145,0.029964691,0.0
"517167_A","517167_blue_red_7_Y14SAR1_P002_09T062_2015_02_16-2015_02_25","517167",106.0,4.6666665,67.28617,3.2674277,0.35750565,0.030062182,0.42446825,0.03528881,0.06596626,0.0
"517205_A","517205_blue_red_7_Y13SAR1_P005_09T009_2013_03_05-2013_03_17","517205",60.5,29.83333,244.93637,2.7031415,0.08385288,0.0068442514,0.09069005,0.006363685,0.4852972,1.0
"517211_A","517211_blue_red_7_Y16SAR2_P003_09T121_2017_02_27-2017_03_05","517211",136.5,1.1666666,162.59781,1.8705598,0.45007142,0.01004335,0.5276747,0.013243596,0.042148184,0.0
"517212_A","517212_blue_red_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22","517212",114.5,4.75,,,,,,,,
"14552_A","14552_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12","14552",181.5,1.3333315,178.1168,1.2021414,0.31397676,0.0066388403,0.34870714,0.007078961,0.03437183,0.0
"14555_A","14555_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12","14555",319.5,11.5,42.54079,3.8155005,,,,,,
"14697_A","14697_blue_red_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16","14697",17.0,1.8333334,154.79999,2.0774527,0.36139402,0.012222682,0.41459182,0.0138563,0.015775777,0.0
"14753_A","14753_blue_red_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16","14753",,,,,,,,,,
"14812_A","14812_blue_red_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10","14812",293.0,2.1666667,70.63781,1.0463942,0.27468327,0.008910918,0.31350625,0.009716796,0.05479545,0.0
"15165_A","15165_blue_red_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01","15165",153.5,1.0833334,180.07,2.1366076,0.45352075,0.007738761,0.48498487,0.007852599,0.039652277,0.0
"15165_B","15165_blue_red_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20","15165",,,,,,,,,,
"15218_A","15218_blue_red_7_Y14SAR2_P003_15T063_2014_04_02-2014_04_06","15218",152.0,8.0,,,,,,,,
"15220_A","15220_blue_red_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01","15220",322.5,7.25,45.762318,7.4794497,,,,,,
"15220_B","15220_blue_red_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20","15220",,,,,,,,,,
"15481_A","15481_blue_red_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22","15481",199.0,8.75,225.85182,2.2824519,0.071238264,0.0052873613,0.07618185,0.004937271,0.28448382,0.0
"15847_A","15847_blue_red_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16","15847",163.0,9.333331,48.016155,5.3399405,,,,,,
"15898_A","15898_blue_red_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16","15898",143.0,0.6666667,,,0.73029965,0.005822839,1.1451142,0.012799953,,1.0
"16022_A","16022_blue_red_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16","16022",12.0,10.666667,119.587006,1.1548386,0.05999869,0.0096680345,0.06887668,0.009020786,0.14536962,0.0
"16026_A","16026_blue_red_7_Y13SAR1_P006_15T011_2013_03_05-2013_03_17","16026",165.0,2.5,125.67078,2.5834565,0.350902,0.020572605,0.41167733,0.025136732,0.026012195,0.0
"16242_A","16242_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16","16242",201.5,0.6666667,103.76884,1.3622514,0.51540637,0.006490509,0.6024662,0.008762983,0.04091044,1.0
"16294_A","16294_blue_red_7_Y13SAR1_P006_15T011_2013_03_05-2013_03_17","16294",162.5,29.83333,,,,,,,,
"16310_A","16310_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02","16310",,,,,,,,,,
"16317_A","16317_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16","16317",127.5,0.8333333,118.45002,0.72346735,0.35506725,0.004348237,0.39396772,0.004882771,0.035183795,0.0
"16382_A","16382_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16","16382",,,,,,,,,,
"16392_A","16392_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02","16392",253.5,29.83333,60.05975,3.6422493,,,,,,
"16426_A","16426_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02","16426",278.0,29.916666,98.98486,8.870267,,,,,,
"16429_A","16429_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02","16429",299.5,10.916667,60.40016,2.8986914,,,,,,
"16430_A","16430_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16","16430",210.0,18.08333,36.041138,6.3690352,,,,,,
"16445_A","16445_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16","16445",,,,,,,,,,
"16487_A","16487_blue_red_7_Y14SAR4_P002_15T088_2014_05_23-2014_06_01","16487",79.5,6.0,67.69355,4.4158883,,,,,0.032785997,
"16525_A","16525_blue_red_7_Y14SAR4_P002_15T088_2014_05_23-2014_06_01","16525",,,,,,,,,,
"16526_A","16526_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02","16526",156.0,4.9166665,98.526566,1.9801577,0.18912405,0.019127365,0.21800771,0.018569406,0.070079684,0.0
"16828_A","16828_blue_red_7_Y17SAR3_P002_15T125_2018_04_09-2018_04_19","16828",259.0,29.416666,,,,,,,,
"16863_B","16863_blue_red_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02","16863",,,,,,,,,,
"16863_A","16863_blue_red_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17","16863",265.0,4.9166665,,,,,,,,
"16920_A","16920_blue_red_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17","16920",,,,,,,,,,
"16920_B","16920_blue_red_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02","16920",,,,,,,,,,
"16926_B","16926_blue_red_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02","16926",,,,,,,,,,
"16926_A","16926_blue_red_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17","16926",207.5,1.0,121.8342,1.5057082,0.39551374,0.008911985,0.47550443,0.010864532,0.022963729,0.0
"16948_B","16948_blue_red_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02","16948",,,,,,,,,,
"16948_A","16948_blue_red_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17","16948",3.0,9.916665,39.39186,5.960312,,,,,,
"17273_A","17273_blue_red_7_Y17SAR3_P003_15T126_2018_04_09-2018_04_19","17273",282.5,1.75,94.382454,2.9661021,0.47082835,0.017333452,0.5755632,0.025130652,0.063292496,0.0
"17314_B","17314_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","17314",,,,,,,,,,
"17314_C","17314_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","17314",,,,,,,,,,
"17314_A","17314_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","17314",286.5,0.5833333,108.70986,0.88057494,0.41471946,0.005559743,0.46838927,0.006795892,0.023564912,0.0
"17390_A","17390_blue_red_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02","17390",184.0,8.916664,200.43686,1.8745421,0.066805966,0.006658439,0.0748046,0.006446821,0.20145845,0.0
"17390_C","17390_blue_red_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22","17390",,,,,,,,,,
"17390_B","17390_blue_red_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01","17390",,,,,,,,,,
"21836_A","21836_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16","21836",16.5,29.916666,,,,,,,,
"21979_A","21979_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01","21979",279.5,29.916666,,,,,,,,
"22121_A","22121_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16","22121",149.5,5.25,,,,,,,,
"22175_A","22175_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16","22175",207.5,23.833334,46.917587,8.535885,,,,,,
"22178_A","22178_blue_red_7_Y18SAR3_P002_12T122_2018_05_07-2018_05_16","22178",327.0,29.916666,,,,,,,,
"22582_A","22582_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20","22582",323.5,2.8333333,222.05295,1.7512776,0.14598055,0.0060894596,0.15564424,0.0055168713,0.030655518,0.0
"22595_A","22595_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20","22595",30.0,1.0,268.1537,2.1643705,0.3655032,0.005871011,0.40840617,0.0063174446,0.031032117,0.0
"22633_A","22633_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20","22633",328.0,4.1666665,58.98561,2.3733325,0.2633286,0.022663822,0.30034494,0.022440523,,0.0
"22839_A","22839_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01","22839",18.0,12.166667,58.448364,3.2266629,,,,,,
"22862_A","22862_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01","22862",,,,,,,,,,
"22887_A","22887_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01","22887",109.5,0.5833333,123.8668,1.1382183,0.5172682,0.0052070837,0.6282872,0.007538746,0.020986564,0.0
"22932_A","22932_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01","22932",162.0,14.083331,37.954926,5.5947866,,,,,,
"23070_A","23070_blue_red_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20","23070",119.0,2.0833333,171.80676,2.153238,0.27999765,0.00984431,0.30792776,0.009870778,0.05013325,0.0
"23075_A","23075_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01","23075",346.5,0.5833333,132.37561,1.3202976,0.5896759,0.006921265,0.81880647,0.013133633,0.015692739,0.0
"23082_A","23082_blue_red_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01","23082",112.0,7.8333335,253.00856,1.7546431,0.057847697,0.0055157724,0.061489157,0.004747263,0.099188626,0.0
"23117_A","23117_blue_red_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20","23117",210.0,1.3333334,203.31387,2.748353,0.4343533,0.007243885,0.48807997,0.008033562,0.023292925,1.0
"23225_A","23225_blue_red_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","23225",269.0,0.5833333,106.723434,0.7922707,0.425099,0.0042603696,0.45164397,0.0048870044,0.040564656,0.0
"23259_A","23259_blue_red_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","23259",275.5,6.3333335,139.4793,5.3234076,0.7146589,0.023133539,1.1837797,0.067754865,,1.0
"23265_A","23265_blue_red_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","23265",99.0,3.8333333,182.95624,2.5833027,0.14602935,0.009376824,0.15579619,0.008734657,0.04830624,0.0
"23337_A","23337_blue_red_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25","23337",319.0,1.9166666,61.09698,2.2115471,0.52269375,0.025841774,0.6142931,0.032601036,0.08310847,1.0
"23341_A","23341_blue_red_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","23341",127.0,1.6666666,257.73355,2.1715446,0.24672419,0.0070057395,0.2487748,0.006771809,0.06407612,0.0
"23519_A","23519_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20","23519",,,,,,,,,,
"23565_A","23565_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20","23565",213.0,1.4166666,112.48075,1.5156025,0.46272844,0.0086912615,0.5514351,0.011571642,0.016473278,0.0
"23578_A","23578_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20","23578",59.5,29.83333,,,,,,,,
"23591_A","23591_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01","23591",44.5,29.916666,43.57638,3.295418,,,,,,
"23593_A","23593_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01","23593",294.5,29.916666,37.755165,4.8912983,,,,,,
"23619_A","23619_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25","23619",258.0,1.5,228.14758,2.4024856,0.32937855,0.008569905,0.38386673,0.009525368,0.019835496,0.0
"23623_A","23623_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22","23623",,,,,,,,,,
"23669_A","23669_blue_red_7_Y14SAR1_P005_12T045_2015_02_16-2015_02_25","23669",259.5,29.83333,,,,,,,,
"23737_A","23737_blue_red_7_Y14SAR4_P001_12T063_2014_05_23-2014_06_01","23737",150.5,29.916666,,,,,,,,
"23865_A","23865_blue_red_7_Y15SAR3_P006_12T097_2017_04_19-2017_05_01","23865",352.5,2.8333328,,,,,,,,
"23868_A","23868_blue_red_7_Y15SAR3_P001_12T084_2015_04_14-2015_04_22","23868",218.5,29.83333,46.082348,4.5602655,,,,,,
"24013_A","24013_blue_red_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19","24013",24.0,1.1666666,115.794266,2.1474078,0.599886,0.008755608,0.80214536,0.015509442,0.040069196,0.0
"24414_A","24414_blue_red_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26","24414",,,,,,,,,,
"24433_A","24433_blue_red_8_Y14SAR3_P005_12T056_2015_01_19-2015_01_26","24433",52.5,12.833333,52.105125,3.3581488,,,,,,
"28654_A","28654_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12","28654",233.5,7.75,56.59579,3.957573,,,,,,
"28738_A","28738_blue_red_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10","28738",241.5,2.25,83.25485,1.9272581,0.36064565,0.015661476,0.42595178,0.019425832,0.059223533,0.0
"28860_A","28860_blue_red_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","28860",257.0,2.75,64.13892,2.5070524,0.60559916,0.020577474,0.64109755,0.029253665,0.0571305,1.0
"28860_B","28860_blue_red_7_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","28860",,,,,,,,,,
"30346_B","30346_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","30346",,,,,,,,,,
"30346_A","30346_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","30346",34.0,0.5,,,0.73839545,0.0031796594,1.1691874,0.0066671427,,1.0
"30361_A","30361_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","30361",,,,,,,,,,
"30361_C","30361_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","30361",129.0,1.4166666,304.32584,2.081595,0.27279815,0.004666054,0.2856161,0.0042631906,0.033066392,0.0
"30361_B","30361_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","30361",,,,,,,,,,
"30377_A","30377_blue_red_8_Y13SAR1_P015_12T014_2013_04_12-2013_04_16","30377",,,,,,,,,,
"30469_A","30469_blue_red_7_Y18SAR4_P001_12T128_2018_05_07-2018_05_16","30469",101.0,2.6666667,235.79944,1.9728508,0.13627046,0.0057669696,0.14115308,0.005106421,0.057988826,0.0
"30472_C","30472_blue_red_7_Y17SAR3_P001_12T102_2018_02_12-2018_02_19","30472",,,,,,,,,,
"30472_A","30472_blue_red_9_Y14SAR4_P004_12T066_2014_05_23-2014_06_01","30472",,,,,,,,,,
"30472_B","30472_blue_red_7_Y14SAR4_P004_12T066_2017_03_24-2017_04_02","30472",,,,,,,,,,
"30615_A","30615_blue_red_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19","30615",175.5,2.25,285.8886,2.657128,0.2234361,0.006767997,0.23066688,0.0063309735,0.05363816,0.0
"30784_A","30784_blue_red_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19","30784",,,,,,,,,,
"30786_A","30786_blue_red_7_Y18SAR3_P001_12T123_2018_04_09-2018_04_19","30786",190.0,2.0,123.01295,2.8023617,0.4981355,0.017299868,0.6112763,0.026171578,0.031489994,0.0
"30847_A","30847_blue_red_7_Y17SAR3_P008_12T109_2018_04_09-2018_04_19","30847",305.5,1.4166666,251.10297,2.2748299,0.24029483,0.0061928006,0.25173682,0.005813377,0.036286633,0.0
"30890_A","30890_blue_red_7_Y14SAR4_P006_12T068_2014_05_23-2014_06_01","30890",114.5,1.5,67.97672,1.6099046,0.5657307,0.008883176,0.745504,0.0156025095,0.048381835,1.0
"30913_A","30913_blue_red_7_Y14SAR3_P006_12T057_2016_04_04-2016_04_12","30913",51.5,29.916666,37.697327,4.2622256,,,,,,
"30914_A","30914_blue_red_7_Y14SAR4_P006_12T068_2014_05_23-2014_06_01","30914",,,,,,,,,,
"30916_A","30916_blue_red_7_Y17SAR3_P008_12T109_2018_04_09-2018_04_19","30916",253.5,0.75,,,0.650619,0.004542762,0.83564186,0.0052282675,,1.0
"31079_A","31079_blue_red_7_Y17SAR3_P006_12T107_2018_04_09-2018_04_19","31079",261.5,1.0,194.43938,2.0017126,0.5672703,0.008559479,0.6996491,0.012913958,0.056045458,0.0
"31129_A","31129_blue_red_7_Y17SAR3_P006_12T107_2018_04_09-2018_04_19","31129",132.0,5.4166665,,,,,,,,
"31353_A","31353_blue_red_7_Y14SAR3_P011_12T062_2016_05_02-2016_05_10","31353",310.5,29.916666,,,,,,,,
"31448_A","31448_blue_red_7_Y17SAR3_P010_12T115_2018_04_09-2018_04_19","31448",347.0,1.5,161.14995,1.8306835,0.36873025,0.010708326,0.41077486,0.011045937,0.040298034,0.0
"31452_A","31452_blue_red_8_Y14SAR3_P001_12T052_2014_04_24-2014_05_04","31452",108.5,2.0833333,,,,,,,0.07406491,
"31509_A","31509_blue_red_8_Y14SAR3_P001_12T052_2014_04_24-2014_05_04","31509",100.0,29.75,41.81665,8.636115,,,,,,
"31620_A","31620_blue_red_13_Y14SAR3_P003_12T054_2014_04_24-2014_05_04","31620",40.5,0.33333334,,,0.75175893,0.0035309661,1.2317331,0.006456141,,1.0
