CUBEIDPUB,CUBEID,CATID,PA_GASKIN,PA_GASKIN_ERR
"227168_A","227168_blue_red_7_Y14SAR4_P008_15T094_2016_04_04-2016_04_12","227168",188.5,0.5833333
"227176_A","227176_blue_red_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16","227176",111.5,0.16666667
"227223_A","227223_blue_red_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10","227223",109.5,0.16666667
"227230_A","227230_blue_red_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16","227230",271.0,0.16666667
"227264_A","227264_blue_red_7_Y17SAR3_P012_15T129_2018_05_07-2018_05_16","227264",274.5,0.16666667
"227266_A","227266_blue_red_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10","227266",4.5,0.33333334
"227278_A","227278_blue_red_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17","227278",353.5,0.33333334
"227289_A","227289_blue_red_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10","227289",199.5,0.6666667
"227290_A","227290_blue_red_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","227290",88.5,0.16666667
"227290_B","227290_blue_red_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","227290",240.5,0.16666667
"227290_C","227290_blue_red_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13","227290",255.0,0.16666667
"227317_A","227317_blue_red_6_Y14SAR2_P007_15T067_2016_05_02-2016_05_10","227317",295.5,0.25
"227351_A","227351_blue_red_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","227351",134.0,0.16666667
"227351_B","227351_blue_red_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","227351",136.5,0.41666666
"227351_C","227351_blue_red_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13","227351",135.5,0.25
"227371_A","227371_blue_red_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17","227371",68.0,1.8333334
"227407_A","227407_blue_red_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","227407",86.0,0.75
"227407_B","227407_blue_red_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","227407",89.0,0.6666667
"227407_C","227407_blue_red_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13","227407",77.5,5.1666665
"227428_A","227428_blue_red_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17","227428",297.5,0.16666667
"227572_A","227572_blue_red_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22","227572",124.0,0.16666667
"227607_A","227607_blue_red_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01","227607",279.5,0.16666667
"227607_B","227607_blue_red_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20","227607",283.0,0.16666667
"227611_A","227611_blue_red_11_Y17SAR3_P009_15T132_2018_04_09-2018_04_19","227611",56.5,0.16666667
"227611_B","227611_blue_red_9_Y17SAR3_P009_15T132_2018_05_07-2018_05_16","227611",196.5,0.16666667
"227614_A","227614_blue_red_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22","227614",118.5,0.16666667
"227617_A","227617_blue_red_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20","227617",269.5,0.75
"227618_A","227618_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05","227618",97.0,0.16666667
"227673_A","227673_blue_red_6_Y14SAR4_P001_15T087_2014_05_23-2014_06_01","227673",318.5,0.25
"227673_B","227673_blue_red_9_Y15SAR4_P001_15T110_2015_05_14-2015_05_20","227673",321.0,0.33333334
"227905_A","227905_blue_red_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22","227905",213.5,0.16666667
"227961_A","227961_blue_red_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22","227961",61.5,0.16666667
"227970_A","227970_blue_red_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22","227970",25.5,0.16666667
"228066_A","228066_blue_red_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22","228066",269.0,0.16666667
"228086_A","228086_blue_red_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22","228086",177.0,0.16666667
"228104_A","228104_blue_red_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22","228104",96.5,1.8333334
"228105_A","228105_blue_red_7_Y15SAR4_P002_15T111_2015_05_14-2015_05_20","228105",15.0,0.41666666
"228278_A","228278_blue_red_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16","228278",203.0,0.25
"228349_A","228349_blue_red_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16","228349",119.5,0.16666667
"228428_A","228428_blue_red_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","228428",60.0,0.16666667
"228428_B","228428_blue_red_7_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","228428",58.0,0.16666667
"228432_A","228432_blue_red_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","228432",228.0,0.16666667
"228432_B","228432_blue_red_7_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","228432",230.0,0.16666667
"228433_A","228433_blue_red_7_Y17SAR3_P010_15T133_2018_05_07-2018_05_16","228433",118.0,0.16666667
"228564_A","228564_blue_red_7_Y14SAR4_P009_15T095_2016_04_04-2016_04_12","228564",278.5,0.16666667
"228570_A","228570_blue_red_7_Y14SAR4_P009_15T095_2016_04_04-2016_04_12","228570",178.0,0.16666667
"228575_A","228575_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16","228575",99.0,0.33333334
"228608_A","228608_blue_red_7_Y14SAR4_P009_15T095_2016_04_04-2016_04_12","228608",245.5,0.5
"228708_A","228708_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16","228708",178.5,0.16666667
"228740_A","228740_blue_red_11_Y17SAR3_P012_12T136_2018_05_07-2018_05_16","228740",268.5,0.16666667
"228767_A","228767_blue_red_7_Y14SAR2_P006_15T066_2017_03_24-2017_04_02","228767",32.0,0.33333334
"229097_A","229097_blue_red_7_Y17SAR3_P002_15T125_2018_04_09-2018_04_19","229097",168.0,0.16666667
"229163_A","229163_blue_red_7_Y15SAR4_P004_15T113_2016_03_03-2016_03_13","229163",182.0,0.16666667
"229164_A","229164_blue_red_7_Y15SAR4_P004_15T113_2016_03_03-2016_03_13","229164",93.0,0.16666667
"229167_A","229167_blue_red_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17","229167",17.0,0.16666667
"229167_B","229167_blue_red_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02","229167",17.0,0.16666667
"229220_A","229220_blue_red_7_Y15SAR4_P004_15T113_2016_03_03-2016_03_13","229220",77.5,0.16666667
"229263_A","229263_blue_red_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17","229263",339.0,0.16666667
"229263_B","229263_blue_red_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02","229263",2.5,10.749997
"229335_A","229335_blue_red_7_Y17SAR3_P003_15T126_2018_04_09-2018_04_19","229335",145.0,0.8333333
"229369_A","229369_blue_red_7_Y17SAR3_P003_15T126_2018_04_09-2018_04_19","229369",160.5,0.33333334
"229461_A","229461_blue_red_7_Y17SAR3_P003_15T126_2018_04_09-2018_04_19","229461",101.0,0.75
"230174_A","230174_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20","230174",235.0,0.5833333
"230421_A","230421_blue_red_7_Y17SAR3_P009_12T110_2018_04_09-2018_04_19","230421",89.0,0.25
"230455_A","230455_blue_red_7_Y17SAR3_P009_12T110_2018_04_09-2018_04_19","230455",27.0,0.5833333
"230556_A","230556_blue_red_7_Y17SAR3_P009_12T110_2018_04_09-2018_04_19","230556",330.0,0.25
"230560_A","230560_blue_red_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20","230560",290.0,0.25
"230567_A","230567_blue_red_7_Y17SAR3_P009_12T110_2018_04_09-2018_04_19","230567",41.0,0.16666667
"230634_A","230634_blue_red_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20","230634",12.5,0.25
"230683_A","230683_blue_red_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","230683",12.0,0.16666667
"230714_A","230714_blue_red_7_Y13SAR1_P014_12T001_2013_04_12-2013_04_16","230714",139.0,0.16666667
"230719_A","230719_blue_red_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","230719",204.0,0.16666667
"230774_A","230774_blue_red_6_Y14SAR1_P002_12T042_2015_02_16-2015_02_25","230774",215.0,0.16666667
"230776_A","230776_blue_red_7_Y13SAR1_P014_12T001_2013_04_12-2013_04_16","230776",118.0,0.16666667
"230777_A","230777_blue_red_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25","230777",195.0,3.1666667
"230786_A","230786_blue_red_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","230786",207.0,0.16666667
"230787_A","230787_blue_red_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25","230787",130.0,0.41666666
"230789_A","230789_blue_red_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25","230789",167.0,0.41666666
"230793_A","230793_blue_red_6_Y14SAR1_P002_12T042_2015_02_16-2015_02_25","230793",121.0,0.41666666
"230796_A","230796_blue_red_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02","230796",181.0,0.33333156
"230797_A","230797_blue_red_11_Y14SAR1_P003_12T043_2015_02_16-2015_02_25","230797",340.5,0.16666667
"230813_A","230813_blue_red_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25","230813",29.5,0.16666667
"230829_A","230829_blue_red_7_Y13SAR1_P014_12T001_2013_04_12-2013_04_16","230829",32.5,10.833332
"230836_A","230836_blue_red_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","230836",161.0,0.41666666
"230837_A","230837_blue_red_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25","230837",96.0,0.16666667
"230880_A","230880_blue_red_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25","230880",74.0,0.5
"230884_A","230884_blue_red_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02","230884",284.5,0.16666667
"230898_A","230898_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20","230898",86.5,0.6666667
"230901_A","230901_blue_red_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02","230901",231.0,0.5
"231024_A","231024_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20","231024",134.0,0.25
"231528_A","231528_blue_red_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19","231528",232.5,0.16666667
"237990_A","237990_blue_red_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12","237990",55.0,0.16666667
"238072_A","238072_blue_red_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12","238072",216.0,0.5
"238080_C","238080_blue_red_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13","238080",23.0,0.33333334
"238080_A","238080_blue_red_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","238080",191.5,0.33333334
"238080_B","238080_blue_red_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","238080",6.5,0.5
"238085_A","238085_blue_red_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17","238085",98.0,0.8333333
"238094_A","238094_blue_red_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12","238094",323.0,0.16666667
"238125_A","238125_blue_red_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","238125",130.0,0.16666667
"238125_B","238125_blue_red_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","238125",142.5,0.16666667
"238125_C","238125_blue_red_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13","238125",128.0,0.16666667
"238131_A","238131_blue_red_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12","238131",183.5,0.16666667
"238164_A","238164_blue_red_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17","238164",36.0,0.8333333
"238203_A","238203_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16","238203",156.0,0.16666667
"238204_A","238204_blue_red_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17","238204",1.5,0.16666667
"238211_A","238211_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16","238211",298.5,0.25
"238212_A","238212_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05","238212",77.5,0.16666667
"238213_A","238213_blue_red_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22","238213",196.0,0.16666667
"238214_B","238214_blue_red_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","238214",62.5,0.16666667
"238214_A","238214_blue_red_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06","238214",127.0,0.33333334
"238214_C","238214_blue_red_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13","238214",31.5,0.25
"238216_A","238216_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17","238216",336.0,0.16666667
"238221_A","238221_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17","238221",138.0,0.16666667
"238276_A","238276_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16","238276",153.0,0.16666667
"238282_A","238282_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16","238282",210.5,0.16666667
"238325_A","238325_blue_red_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22","238325",282.0,0.16666667
"238328_A","238328_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17","238328",328.0,0.33333334
"238350_A","238350_blue_red_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22","238350",86.0,0.6666667
"238351_A","238351_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17","238351",3.0,5.6666665
"238358_A","238358_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16","238358",127.0,0.16666667
"238360_A","238360_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17","238360",49.0,0.5
"238369_A","238369_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05","238369",8.0,0.33333334
"238395_A","238395_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17","238395",249.0,0.16666667
"238398_A","238398_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05","238398",283.0,9.25
"238406_A","238406_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05","238406",16.5,0.16666667
"238412_A","238412_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05","238412",252.0,0.16666667
"238453_A","238453_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05","238453",20.0,0.33333334
"238458_B","238458_blue_red_9_Y17SAR3_P009_15T132_2018_05_07-2018_05_16","238458",169.0,0.5833333
"238458_A","238458_blue_red_11_Y17SAR3_P009_15T132_2018_04_09-2018_04_19","238458",208.0,0.16666667
"238496_A","238496_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16","238496",253.5,1.4166666
"238500_A","238500_blue_red_11_Y17SAR3_P009_15T132_2018_04_09-2018_04_19","238500",100.0,0.16666667
"238500_B","238500_blue_red_9_Y17SAR3_P009_15T132_2018_05_07-2018_05_16","238500",180.5,0.16666667
"238922_A","238922_blue_red_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22","238922",46.0,0.16666667
"239092_A","239092_blue_red_7_Y15SAR4_P002_15T111_2015_05_14-2015_05_20","239092",278.5,1.1666666
"239109_A","239109_blue_red_7_Y15SAR4_P002_15T111_2015_05_14-2015_05_20","239109",67.5,0.16666667
"239172_A","239172_blue_red_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","239172",146.0,0.16666667
"239172_B","239172_blue_red_7_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","239172",11.5,0.5833333
"239249_B","239249_blue_red_7_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","239249",123.5,0.16666667
"239249_A","239249_blue_red_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","239249",125.0,0.25
"239292_B","239292_blue_red_7_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","239292",248.0,0.33333334
"239292_A","239292_blue_red_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","239292",248.0,0.25
"239376_A","239376_blue_red_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","239376",176.5,0.16666667
"239376_B","239376_blue_red_7_Y14SAR3_P004_15T079_2014_04_24-2014_05_04","239376",178.0,0.16666667
"239490_A","239490_blue_red_7_Y14SAR4_P009_15T095_2016_04_04-2016_04_12","239490",169.5,0.16666667
"239560_A","239560_blue_red_7_Y14SAR4_P009_15T095_2016_04_04-2016_04_12","239560",35.0,0.16666667
"240108_A","240108_blue_red_7_Y15SAR4_P004_15T113_2016_03_03-2016_03_13","240108",224.0,0.16666667
"240202_A","240202_blue_red_7_Y15SAR4_P004_15T113_2016_03_03-2016_03_13","240202",46.5,0.33333334
"240205_A","240205_blue_red_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17","240205",234.0,0.41666666
"240205_B","240205_blue_red_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02","240205",230.5,0.16666667
"240227_A","240227_blue_red_12_Y14SAR2_P009_15T069_2015_08_12-2015_08_17","240227",171.0,0.16666667
"240227_B","240227_blue_red_9_Y14SAR2_P009_15T069_2017_03_24-2017_04_02","240227",169.5,0.16666667
"240263_A","240263_blue_red_10_Y14SAR3_P009_15T084_2016_03_03-2016_03_13","240263",136.5,0.16666667
"240352_A","240352_blue_red_10_Y14SAR3_P009_15T084_2016_03_03-2016_03_13","240352",52.5,0.16666667
"240432_A","240432_blue_red_7_Y17SAR3_P003_15T126_2018_04_09-2018_04_19","240432",261.0,0.16666667
"240449_A","240449_blue_red_7_Y17SAR3_P003_15T126_2018_04_09-2018_04_19","240449",149.5,0.16666667
"250179_A","250179_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05","250179",181.5,0.5833306
"250183_A","250183_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17","250183",126.0,0.16666667
"250192_A","250192_blue_red_11_Y17SAR3_P009_15T132_2018_04_09-2018_04_19","250192",261.0,8.666667
"250192_B","250192_blue_red_9_Y17SAR3_P009_15T132_2018_05_07-2018_05_16","250192",263.5,0.16666667
"250243_A","250243_blue_red_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22","250243",247.0,0.16666667
"250277_A","250277_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16","250277",134.0,0.16666667
"250466_B","250466_blue_red_9_Y17SAR3_P009_15T132_2018_05_07-2018_05_16","250466",143.5,0.25
"250466_A","250466_blue_red_11_Y17SAR3_P009_15T132_2018_04_09-2018_04_19","250466",139.5,0.16666667
"250473_B","250473_blue_red_9_Y17SAR3_P009_15T132_2018_05_07-2018_05_16","250473",135.5,0.33333334
"250473_A","250473_blue_red_11_Y17SAR3_P009_15T132_2018_04_09-2018_04_19","250473",137.5,0.16666667
"251297_A","251297_blue_red_7_Y14SAR4_P009_15T095_2016_04_04-2016_04_12","251297",16.0,0.16666667
"251367_A","251367_blue_red_7_Y14SAR4_P009_15T095_2016_04_04-2016_04_12","251367",121.0,0.16666667
"251887_A","251887_blue_red_7_Y15SAR4_P004_15T113_2016_03_03-2016_03_13","251887",127.0,0.16666667
"252005_A","252005_blue_red_10_Y14SAR3_P009_15T084_2016_03_03-2016_03_13","252005",171.0,0.16666667
"252008_A","252008_blue_red_10_Y14SAR3_P009_15T084_2016_03_03-2016_03_13","252008",84.5,0.16666667
"252021_A","252021_blue_red_10_Y14SAR3_P009_15T084_2016_03_03-2016_03_13","252021",165.0,0.16666667
"252057_A","252057_blue_red_10_Y14SAR3_P009_15T084_2016_03_03-2016_03_13","252057",34.0,0.16666667
"252074_A","252074_blue_red_10_Y14SAR3_P009_15T084_2016_03_03-2016_03_13","252074",129.0,3.75
"252091_A","252091_blue_red_10_Y14SAR3_P009_15T084_2016_03_03-2016_03_13","252091",300.0,0.16666667
"271385_A","271385_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16","271385",185.5,0.16666667
"271387_A","271387_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16","271387",230.0,1.25
"271431_A","271431_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16","271431",60.5,0.33333334
"271455_A","271455_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01","271455",190.0,0.16666667
"271465_A","271465_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16","271465",101.5,0.41666666
"271481_A","271481_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16","271481",141.0,0.25
"271538_A","271538_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01","271538",266.5,0.16666667
"271562_A","271562_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01","271562",170.5,0.16666667
"271610_A","271610_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01","271610",184.0,1.5833334
"272190_A","272190_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20","272190",88.5,0.16666667
"272298_A","272298_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20","272298",272.5,0.16666667
"272439_A","272439_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01","272439",79.5,0.16666667
"272443_A","272443_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01","272443",115.0,0.16666667
"272488_A","272488_blue_red_7_Y14SAR4_P002_12T064_2014_05_23-2014_06_01","272488",9.5,0.16666667
"272543_A","272543_blue_red_7_Y17SAR3_P009_12T110_2018_04_09-2018_04_19","272543",27.0,0.16666667
"272571_A","272571_blue_red_7_Y17SAR3_P009_12T110_2018_04_09-2018_04_19","272571",292.0,0.75
"272667_A","272667_blue_red_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20","272667",87.0,0.41666666
"272748_A","272748_blue_red_7_Y14SAR3_P009_12T060_2015_05_14-2015_05_20","272748",241.0,1.4166666
"272820_A","272820_blue_red_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","272820",337.0,0.5
"272822_A","272822_blue_red_8_Y17SAR3_P005_12T106_2018_05_07-2018_05_16","272822",288.5,0.16666667
"272831_A","272831_blue_red_7_Y13SAR1_P014_12T001_2013_04_12-2013_04_16","272831",226.0,0.33333334
"272833_A","272833_blue_red_6_Y14SAR1_P002_12T042_2015_02_16-2015_02_25","272833",1.5,0.25
